step,acquired,acquired_from_pool,test_accuracy,test_loss,attempt,weight_decay_used
0,20,0,0.5548,1.510236328125,1,0.0005
1,30,10,0.6451,1.176858203125,1,0.0005
2,40,20,0.6483,1.2056845703125,1,0.0005
3,50,30,0.646,1.14747236328125,1,0.0005
4,60,40,0.6739,1.11960419921875,1,0.0005
5,70,50,0.7048,1.03020908203125,1,0.0005
6,80,60,0.645,1.2477015625,1,0.0005
7,90,70,0.6827,1.01309140625,1,0.0005
8,100,80,0.7085,0.95926943359375,1,0.0005
9,110,90,0.7284,0.85171826171875,1,0.0005
10,120,100,0.7044,0.940215625,1,0.0001
11,130,110,0.7689,0.76933330078125,1,0.0001
12,140,120,0.7859,0.684776611328125,1,0.0001
13,150,130,0.7879,0.691330419921875,1,0.0001
14,160,140,0.7979,0.637839013671875,1,0.0001
15,170,150,0.8147,0.624331494140625,1,0.0001
16,180,160,0.8034,0.665335107421875,1,0.0001
17,190,170,0.8131,0.549502587890625,1,0.0001
18,200,180,0.8412,0.525575146484375,1,0.0001
19,210,190,0.7986,0.65058505859375,1,0.0001
20,220,200,0.8202,0.53654853515625,1,0.0001
21,230,210,0.8011,0.6668861328125,1,0.0001
22,240,220,0.8486,0.470992041015625,1,0.0001
23,250,230,0.8575,0.57746689453125,1,0.0001
24,260,240,0.8779,0.454027001953125,1,0.0001
25,270,250,0.8764,0.473088916015625,1,0.0001
26,280,260,0.8761,0.466634423828125,1,0.0001
27,290,270,0.8494,0.51143515625,1,0.0001
28,300,280,0.8849,0.520061376953125,1,0.0001
29,310,290,0.8925,0.410653271484375,1,0.0001
30,320,300,0.9079,0.30544189453125,1,1e-06
31,330,310,0.9177,0.2713418701171875,1,1e-06
32,340,320,0.9259,0.2413175537109375,1,1e-06
33,350,330,0.9437,0.2130663330078125,1,1e-06
34,360,340,0.9385,0.2076732666015625,1,1e-06
35,370,350,0.9267,0.235167138671875,1,1e-06
36,380,360,0.9476,0.20595302734375,1,1e-06
37,390,370,0.9318,0.258998193359375,1,1e-06
38,400,380,0.9485,0.19842813720703126,1,1e-06
39,410,390,0.9536,0.195058837890625,1,1e-06
40,420,400,0.9474,0.18753265380859374,1,1e-06
41,430,410,0.9453,0.209969775390625,1,1e-06
42,440,420,0.9494,0.19244332275390624,1,1e-06
43,450,430,0.9524,0.19621650390625,1,1e-06
44,460,440,0.9415,0.1982569091796875,1,1e-06
45,470,450,0.9519,0.186138037109375,1,1e-06
46,480,460,0.9612,0.17141466064453126,1,1e-06
47,490,470,0.9552,0.169995361328125,1,1e-06
48,500,480,0.9435,0.19975047607421875,1,1e-06
49,510,490,0.9553,0.17223297119140624,1,1e-06
50,520,500,0.9528,0.1853172119140625,1,1e-06
51,530,510,0.9606,0.16217464599609374,1,1e-06
52,540,520,0.9434,0.1907269775390625,1,1e-06
53,550,530,0.9485,0.2000308837890625,1,1e-06
54,560,540,0.956,0.1788197265625,1,1e-06
55,570,550,0.9583,0.162764794921875,1,1e-06
56,580,560,0.9656,0.12997578125,1,1e-06
57,590,570,0.9662,0.13801302490234374,1,1e-06
58,600,580,0.9681,0.13378585205078125,1,1e-06
59,610,590,0.957,0.17375350341796875,1,1e-06
60,620,600,0.9609,0.148989892578125,1,1e-06
61,630,610,0.9662,0.1466324951171875,1,1e-06
62,640,620,0.969,0.13017650146484375,1,1e-06
63,650,630,0.9645,0.15846585693359375,1,1e-06
64,660,640,0.9692,0.1274052001953125,1,1e-06
65,670,650,0.9688,0.1301926025390625,1,1e-06
66,680,660,0.9676,0.1336711181640625,1,1e-06
67,690,670,0.9721,0.13139053955078125,1,1e-06
68,700,680,0.9658,0.12544246826171876,1,1e-06
69,710,690,0.9728,0.1077649169921875,1,1e-06
70,720,700,0.9733,0.1101191650390625,1,1e-06
71,730,710,0.972,0.1047812744140625,1,1e-06
72,740,720,0.9642,0.146219140625,1,1e-06
73,750,730,0.9745,0.118329345703125,1,1e-06
74,760,740,0.9699,0.12339566650390625,1,1e-06
75,770,750,0.9719,0.13471400146484375,1,1e-06
76,780,760,0.9702,0.13129755859375,1,1e-06
77,790,770,0.9722,0.120126953125,1,1e-06
78,800,780,0.9755,0.10892406005859374,1,1e-06
79,810,790,0.973,0.11510211181640626,1,1e-06
80,820,800,0.9744,0.11849058837890625,1,1e-06
81,830,810,0.9723,0.1345007568359375,1,1e-06
82,840,820,0.9756,0.1094826171875,1,1e-06
83,850,830,0.9747,0.1111934814453125,1,1e-06
84,860,840,0.9747,0.121228369140625,1,1e-06
85,870,850,0.9747,0.130733544921875,1,1e-06
86,880,860,0.9748,0.10759945068359375,1,1e-06
87,890,870,0.9734,0.11622938232421876,1,1e-06
88,900,880,0.9774,0.1134755859375,1,1e-06
89,910,890,0.9782,0.11452364501953124,1,1e-06
90,920,900,0.9768,0.10118026123046875,1,0.0001
91,930,910,0.9788,0.10134295654296875,1,0.0001
92,940,920,0.9783,0.09416060791015625,1,0.0001
93,950,930,0.9805,0.08799556274414062,1,0.0001
94,960,940,0.9793,0.08817982177734375,1,0.0001
95,970,950,0.9771,0.09781207275390626,1,0.0001
96,980,960,0.979,0.08947528076171875,1,0.0001
97,990,970,0.9792,0.09819301147460938,1,0.0001
98,1000,980,0.9804,0.101172509765625,1,0.0001
99,1010,990,0.9775,0.1009037109375,1,0.0001
100,1020,1000,0.9805,0.08943179931640625,1,0.0001
