step,acquired,acquired_from_pool,test_accuracy,test_loss,attempt,weight_decay_used
0,20,0,0.6834,1.76523515625,2,0.001
1,30,10,0.6775,1.969441015625,2,0.001
2,40,20,0.7123,2.03808203125,2,0.001
3,50,30,0.7357,1.7274728515625,2,0.001
4,60,40,0.7213,1.82131484375,2,0.001
5,70,50,0.7319,1.6821359375,2,0.001
6,80,60,0.7413,1.51407919921875,2,0.001
7,90,70,0.7866,1.146568359375,2,0.001
8,100,80,0.8109,1.03449443359375,2,0.001
9,110,90,0.8081,1.1069326171875,2,0.001
10,120,100,0.7979,1.37029765625,2,0.0001
11,130,110,0.8013,0.8931068359375,2,0.0001
12,140,120,0.8108,0.92978486328125,2,0.0001
13,150,130,0.8325,0.8739154296875,2,0.0001
14,160,140,0.8426,0.8479896484375,2,0.0001
15,170,150,0.8428,0.845507421875,2,0.0001
16,180,160,0.8491,0.87460908203125,2,0.0001
17,190,170,0.8462,0.759392236328125,2,0.0001
18,200,180,0.8726,0.711006494140625,2,0.0001
19,210,190,0.8732,0.682166357421875,2,0.0001
20,220,200,0.8748,0.67201240234375,2,0.0001
21,230,210,0.8632,0.729640478515625,2,0.0001
22,240,220,0.8602,0.79712294921875,2,0.0001
23,250,230,0.8755,0.784733447265625,2,0.0001
24,260,240,0.8786,0.464258251953125,2,0.0001
25,270,250,0.8856,0.605408349609375,2,0.0001
26,280,260,0.8951,0.54419638671875,2,0.0001
27,290,270,0.9082,0.45601943359375,2,0.0001
28,300,280,0.9113,0.465764306640625,2,0.0001
29,310,290,0.9055,0.477469140625,2,0.0001
30,320,300,0.8997,0.422240283203125,2,0.0005
31,330,310,0.8937,0.481230712890625,2,0.0005
32,340,320,0.9037,0.4475869140625,2,0.0005
33,350,330,0.9101,0.4196568359375,2,0.0005
34,360,340,0.9128,0.438725439453125,2,0.0005
35,370,350,0.9165,0.377423291015625,2,0.0005
36,380,360,0.9133,0.393003125,2,0.0005
37,390,370,0.9227,0.308678857421875,2,0.0005
38,400,380,0.9208,0.343706396484375,2,0.0005
39,410,390,0.9242,0.336492626953125,2,0.0005
40,420,400,0.921,0.366714599609375,2,0.0005
41,430,410,0.9289,0.3154822265625,2,0.0005
42,440,420,0.9233,0.379404443359375,2,0.0005
43,450,430,0.9284,0.335641943359375,2,0.0005
44,460,440,0.9318,0.319959716796875,2,0.0005
45,470,450,0.9302,0.313909375,2,0.0005
46,480,460,0.9282,0.31632529296875,2,0.0005
47,490,470,0.9328,0.3030403076171875,2,0.0005
48,500,480,0.9331,0.292428466796875,2,0.0005
49,510,490,0.9372,0.2814374755859375,2,0.0005
50,520,500,0.94,0.2727775146484375,2,0.0005
51,530,510,0.9392,0.26934189453125,2,0.0005
52,540,520,0.9349,0.3023211181640625,2,0.0005
53,550,530,0.9464,0.240668896484375,2,0.0005
54,560,540,0.9412,0.2490087646484375,2,0.0005
55,570,550,0.9332,0.320496728515625,2,0.0005
56,580,560,0.9394,0.2670195556640625,2,0.0005
57,590,570,0.942,0.248296875,2,0.0005
58,600,580,0.9422,0.2709313720703125,2,0.0005
59,610,590,0.9416,0.2465761474609375,2,0.0005
60,620,600,0.9451,0.241553271484375,2,0.001
61,630,610,0.9456,0.230337841796875,2,0.001
62,640,620,0.9483,0.230042041015625,2,0.001
63,650,630,0.9451,0.2325765869140625,2,0.001
64,660,640,0.9406,0.242254150390625,2,0.001
65,670,650,0.9489,0.2100921875,2,0.001
66,680,660,0.9482,0.23334580078125,2,0.001
67,690,670,0.9489,0.2223442138671875,2,0.001
68,700,680,0.9526,0.2149240478515625,2,0.001
69,710,690,0.947,0.2002141845703125,2,0.001
70,720,700,0.9507,0.22074453125,2,0.001
71,730,710,0.9357,0.2740985595703125,2,0.001
72,740,720,0.954,0.18869412841796876,2,0.001
73,750,730,0.9442,0.229548388671875,2,0.001
74,760,740,0.9522,0.190556298828125,2,0.001
75,770,750,0.9526,0.19223267822265624,2,0.001
76,780,760,0.9499,0.218371484375,2,0.001
77,790,770,0.9532,0.198234765625,2,0.001
78,800,780,0.9487,0.227510205078125,2,0.001
79,810,790,0.9484,0.2182601318359375,2,0.001
80,820,800,0.9532,0.1987953125,2,0.001
81,830,810,0.9488,0.2093796875,2,0.001
82,840,820,0.9519,0.2007918701171875,2,0.001
83,850,830,0.9488,0.2150553466796875,2,0.001
84,860,840,0.9575,0.17719180908203125,2,0.001
85,870,850,0.9499,0.203422509765625,2,0.001
86,880,860,0.9551,0.18033372802734374,2,0.001
87,890,870,0.9536,0.1971112548828125,2,0.001
88,900,880,0.9513,0.2054131103515625,2,0.001
89,910,890,0.9588,0.16889456787109375,2,0.001
90,920,900,0.9501,0.243737744140625,2,0.0001
91,930,910,0.9566,0.225348291015625,2,0.0001
92,940,920,0.9568,0.2208880615234375,2,0.0001
93,950,930,0.9571,0.21176337890625,2,0.0001
94,960,940,0.9592,0.2134821533203125,2,0.0001
95,970,950,0.9564,0.2219861328125,2,0.0001
96,980,960,0.9586,0.20216304931640625,2,0.0001
97,990,970,0.9607,0.1975884521484375,2,0.0001
98,1000,980,0.9574,0.21082802734375,2,0.0001
99,1010,990,0.9518,0.250520947265625,2,0.0001
100,1020,1000,0.9579,0.1970884765625,2,0.0001
