step,acquired,acquired_from_pool,test_accuracy,test_loss,attempt,weight_decay_used
0,20,0,0.5763,1.44442099609375,0,1e-06
1,30,10,0.6103,1.31222998046875,0,1e-06
2,40,20,0.6641,1.17081728515625,0,1e-06
3,50,30,0.6975,1.07694404296875,0,1e-06
4,60,40,0.7458,0.86114765625,0,1e-06
5,70,50,0.7561,0.84733955078125,0,1e-06
6,80,60,0.7726,0.742601171875,0,1e-06
7,90,70,0.7777,0.70679169921875,0,1e-06
8,100,80,0.8026,0.653471484375,0,1e-06
9,110,90,0.8229,0.5612001953125,0,1e-06
10,120,100,0.8411,0.504069677734375,0,0.0001
11,130,110,0.7461,0.7521587890625,0,0.0001
12,140,120,0.8763,0.4083678955078125,0,0.0001
13,150,130,0.8668,0.445786669921875,0,0.0001
14,160,140,0.8633,0.43813349609375,0,0.0001
15,170,150,0.8897,0.3680462158203125,0,0.0001
16,180,160,0.8687,0.4066379638671875,0,0.0001
17,190,170,0.8909,0.35686220703125,0,0.0001
18,200,180,0.8762,0.3754886474609375,0,0.0001
19,210,190,0.8866,0.358312353515625,0,0.0001
20,220,200,0.8731,0.3798318603515625,0,0.0001
21,230,210,0.895,0.314739501953125,0,0.0001
22,240,220,0.889,0.3426383544921875,0,0.0001
23,250,230,0.8956,0.326667626953125,0,0.0001
24,260,240,0.8854,0.3770995849609375,0,0.0001
25,270,250,0.9145,0.273741748046875,0,0.0001
26,280,260,0.9159,0.2689375244140625,0,0.0001
27,290,270,0.9188,0.26310791015625,0,0.0001
28,300,280,0.9206,0.256450244140625,0,0.0001
29,310,290,0.9078,0.2780654052734375,0,0.0001
30,320,300,0.9012,0.2964263671875,0,1e-06
31,330,310,0.9083,0.28415205078125,0,1e-06
32,340,320,0.9204,0.24917998046875,0,1e-06
33,350,330,0.9179,0.2533567626953125,0,1e-06
34,360,340,0.931,0.2194232421875,0,1e-06
35,370,350,0.9332,0.2219596435546875,0,1e-06
36,380,360,0.9163,0.2786077392578125,0,1e-06
37,390,370,0.9399,0.215097216796875,0,1e-06
38,400,380,0.947,0.2049576416015625,0,1e-06
39,410,390,0.9408,0.2313744140625,0,1e-06
40,420,400,0.9446,0.19709371337890624,0,1e-06
41,430,410,0.9265,0.2485127685546875,0,1e-06
42,440,420,0.9243,0.236633251953125,0,1e-06
43,450,430,0.9442,0.17471168212890625,0,1e-06
44,460,440,0.9527,0.1749112548828125,0,1e-06
45,470,450,0.9508,0.178962744140625,0,1e-06
46,480,460,0.9572,0.155437109375,0,1e-06
47,490,470,0.9561,0.15814527587890626,0,1e-06
48,500,480,0.9518,0.1747798828125,0,1e-06
49,510,490,0.9438,0.188923388671875,0,1e-06
50,520,500,0.9509,0.17824039306640624,0,1e-06
51,530,510,0.9418,0.207663525390625,0,1e-06
52,540,520,0.9577,0.15610372314453125,0,1e-06
53,550,530,0.9575,0.16283460693359375,0,1e-06
54,560,540,0.9627,0.145553759765625,0,1e-06
55,570,550,0.9528,0.1702179931640625,0,1e-06
56,580,560,0.9559,0.17176544189453125,0,1e-06
57,590,570,0.9549,0.1729898681640625,0,1e-06
58,600,580,0.9618,0.14310950927734375,0,1e-06
59,610,590,0.9602,0.1487636474609375,0,1e-06
60,620,600,0.9628,0.1404017333984375,0,0.0001
61,630,610,0.9635,0.1430326416015625,0,0.0001
62,640,620,0.9663,0.13604898681640626,0,0.0001
63,650,630,0.9563,0.1798686279296875,0,0.0001
64,660,640,0.9685,0.1349578125,0,0.0001
65,670,650,0.9639,0.1493231689453125,0,0.0001
66,680,660,0.969,0.129119775390625,0,0.0001
67,690,670,0.9696,0.13007884521484375,0,0.0001
68,700,680,0.9597,0.172645263671875,0,0.0001
69,710,690,0.9673,0.13255025634765624,0,0.0001
70,720,700,0.9721,0.1309794677734375,0,0.0001
71,730,710,0.9694,0.130675146484375,0,0.0001
72,740,720,0.9747,0.12559715576171876,0,0.0001
73,750,730,0.9652,0.13738330078125,0,0.0001
74,760,740,0.9723,0.12021051025390625,0,0.0001
75,770,750,0.9686,0.15297352294921876,0,0.0001
76,780,760,0.9745,0.11908441162109375,0,0.0001
77,790,770,0.9703,0.13521199951171875,0,0.0001
78,800,780,0.9748,0.11465897216796875,0,0.0001
79,810,790,0.9733,0.1193263427734375,0,0.0001
80,820,800,0.9772,0.1175084716796875,0,0.0001
81,830,810,0.9747,0.124974853515625,0,0.0001
82,840,820,0.9648,0.1414822265625,0,0.0001
83,850,830,0.9707,0.11999013671875,0,0.0001
84,860,840,0.9784,0.10392205810546876,0,0.0001
85,870,850,0.9762,0.1156376708984375,0,0.0001
86,880,860,0.9745,0.1203265380859375,0,0.0001
87,890,870,0.9747,0.11332489013671875,0,0.0001
88,900,880,0.9769,0.11733001708984375,0,0.0001
89,910,890,0.9782,0.11162320556640624,0,0.0001
90,920,900,0.9727,0.11638121337890625,0,0.001
91,930,910,0.9794,0.11425614013671875,0,0.001
92,940,920,0.9798,0.10746864013671875,0,0.001
93,950,930,0.9755,0.1159181884765625,0,0.001
94,960,940,0.9781,0.11438634033203125,0,0.001
95,970,950,0.9807,0.10908623046875,0,0.001
96,980,960,0.976,0.12923951416015625,0,0.001
97,990,970,0.9795,0.1076213134765625,0,0.001
98,1000,980,0.9823,0.0964779541015625,0,0.001
99,1010,990,0.9789,0.1056124755859375,0,0.001
100,1020,1000,0.9843,0.08117996215820313,0,0.001
