step,acquired,acquired_from_pool,test_accuracy,test_loss,attempt,weight_decay_used
0,20,0,0.5366,2.9142740234375,1,0.001
1,30,10,0.5697,3.072330859375,1,0.001
2,40,20,0.6221,2.466144140625,1,0.001
3,50,30,0.6569,2.4294208984375,1,0.001
4,60,40,0.6811,2.577662109375,1,0.001
5,70,50,0.7037,2.050090625,1,0.001
6,80,60,0.7397,1.88343515625,1,0.001
7,90,70,0.7623,1.42654638671875,1,0.001
8,100,80,0.7671,1.35512763671875,1,0.001
9,110,90,0.8114,0.94704140625,1,0.001
10,120,100,0.8174,0.9318240234375,1,0.0005
11,130,110,0.8212,0.93685615234375,1,0.0005
12,140,120,0.8354,0.88829580078125,1,0.0005
13,150,130,0.8502,0.7156681640625,1,0.0005
14,160,140,0.8572,0.706857177734375,1,0.0005
15,170,150,0.8728,0.63005732421875,1,0.0005
16,180,160,0.8636,0.641473486328125,1,0.0005
17,190,170,0.8668,0.6393392578125,1,0.0005
18,200,180,0.8653,0.5968015625,1,0.0005
19,210,190,0.8661,0.600697900390625,1,0.0005
20,220,200,0.8857,0.480846142578125,1,0.0005
21,230,210,0.9021,0.42225068359375,1,0.0005
22,240,220,0.8953,0.4416423828125,1,0.0005
23,250,230,0.9014,0.390546240234375,1,0.0005
24,260,240,0.8762,0.42894609375,1,0.0005
25,270,250,0.9009,0.3267842041015625,1,0.0005
26,280,260,0.9013,0.325058203125,1,0.0005
27,290,270,0.9255,0.2695037353515625,1,0.0005
28,300,280,0.9091,0.3177513916015625,1,0.0005
29,310,290,0.9176,0.289805224609375,1,0.0005
30,320,300,0.9189,0.306031396484375,1,1e-06
31,330,310,0.9112,0.364854345703125,1,1e-06
32,340,320,0.9148,0.346660986328125,1,1e-06
33,350,330,0.9298,0.258643505859375,1,1e-06
34,360,340,0.9373,0.24101728515625,1,1e-06
35,370,350,0.9396,0.2404027099609375,1,1e-06
36,380,360,0.9305,0.2608868896484375,1,1e-06
37,390,370,0.9306,0.2663587890625,1,1e-06
38,400,380,0.9318,0.238795166015625,1,1e-06
39,410,390,0.9432,0.2191193603515625,1,1e-06
40,420,400,0.9311,0.2631734375,1,1e-06
41,430,410,0.9497,0.1936308837890625,1,1e-06
42,440,420,0.9536,0.19065799560546876,1,1e-06
43,450,430,0.9373,0.20288709716796874,1,1e-06
44,460,440,0.9521,0.18023284912109375,1,1e-06
45,470,450,0.9472,0.18913284912109374,1,1e-06
46,480,460,0.948,0.18119368896484375,1,1e-06
47,490,470,0.9496,0.1822431640625,1,1e-06
48,500,480,0.9546,0.164859814453125,1,1e-06
49,510,490,0.951,0.1794282470703125,1,1e-06
50,520,500,0.9514,0.1573803466796875,1,1e-06
51,530,510,0.9561,0.13693226318359375,1,1e-06
52,540,520,0.9537,0.14142991943359376,1,1e-06
53,550,530,0.9531,0.14680799560546876,1,1e-06
54,560,540,0.9552,0.14981689453125,1,1e-06
55,570,550,0.9606,0.1330341552734375,1,1e-06
56,580,560,0.9589,0.1294174560546875,1,1e-06
57,590,570,0.9593,0.13612802734375,1,1e-06
58,600,580,0.9585,0.1362845458984375,1,1e-06
59,610,590,0.9575,0.14920924072265626,1,1e-06
60,620,600,0.9618,0.13014251708984376,1,0.0005
61,630,610,0.9627,0.118489111328125,1,0.0005
62,640,620,0.9681,0.10384000244140625,1,0.0005
63,650,630,0.9642,0.11264024658203126,1,0.0005
64,660,640,0.9641,0.12085478515625,1,0.0005
65,670,650,0.9685,0.10589305419921875,1,0.0005
66,680,660,0.9688,0.1052661865234375,1,0.0005
67,690,670,0.9682,0.11005970458984375,1,0.0005
68,700,680,0.9695,0.107578564453125,1,0.0005
69,710,690,0.9679,0.10889981689453125,1,0.0005
70,720,700,0.9688,0.106398828125,1,0.0005
71,730,710,0.9717,0.09623280639648438,1,0.0005
72,740,720,0.9671,0.1123827392578125,1,0.0005
73,750,730,0.9728,0.09235034790039062,1,0.0005
74,760,740,0.971,0.09407648315429687,1,0.0005
75,770,750,0.9446,0.254189306640625,1,0.0005
76,780,760,0.9653,0.1096750732421875,1,0.0005
77,790,770,0.9691,0.09267732543945313,1,0.0005
78,800,780,0.9683,0.10189364624023438,1,0.0005
79,810,790,0.9721,0.0887796142578125,1,0.0005
80,820,800,0.9714,0.09225120849609375,1,0.0005
81,830,810,0.9649,0.11330008544921875,1,0.0005
82,840,820,0.9721,0.08934827270507813,1,0.0005
83,850,830,0.9772,0.07315355224609375,1,0.0005
84,860,840,0.9747,0.08188158569335938,1,0.0005
85,870,850,0.9763,0.07757142333984375,1,0.0005
86,880,860,0.9745,0.081615576171875,1,0.0005
87,890,870,0.9721,0.08852755737304688,1,0.0005
88,900,880,0.9735,0.0817626220703125,1,0.0005
89,910,890,0.9792,0.07115289306640625,1,0.0005
90,920,900,0.9774,0.07441883544921875,1,0.001
91,930,910,0.9752,0.07719651489257813,1,0.001
92,940,920,0.9769,0.07282767333984375,1,0.001
93,950,930,0.9805,0.06357491455078125,1,0.001
94,960,940,0.978,0.070752001953125,1,0.001
95,970,950,0.976,0.07184788208007813,1,0.001
96,980,960,0.9773,0.06959805297851562,1,0.001
97,990,970,0.9773,0.06937390747070313,1,0.001
98,1000,980,0.9795,0.06782687377929687,1,0.001
99,1010,990,0.9777,0.07291619873046876,1,0.001
100,1020,1000,0.9783,0.06988062744140625,1,0.001
