step,acquired,acquired_from_pool,test_accuracy,test_loss,attempt,weight_decay_used
0,20,0,0.5548,1.510236328125,1,0.0005
1,30,10,0.6309,1.19949375,1,0.0005
2,40,20,0.595,1.25145634765625,1,0.0005
3,50,30,0.6322,1.21123916015625,1,0.0005
4,60,40,0.7207,0.91357646484375,1,0.0005
5,70,50,0.7335,0.82629130859375,1,0.0005
6,80,60,0.7606,0.8228451171875,1,0.0005
7,90,70,0.7701,0.7129236328125,1,0.0005
8,100,80,0.7785,0.687182080078125,1,0.0005
9,110,90,0.8,0.645001708984375,1,0.0005
10,120,100,0.7904,0.680042822265625,1,0.0001
11,130,110,0.7921,0.6733455078125,1,0.0001
12,140,120,0.8186,0.597647900390625,1,0.0001
13,150,130,0.839,0.539484521484375,1,0.0001
14,160,140,0.8086,0.614256591796875,1,0.0001
15,170,150,0.8354,0.587044580078125,1,0.0001
16,180,160,0.8322,0.57982783203125,1,0.0001
17,190,170,0.8312,0.587688720703125,1,0.0001
18,200,180,0.8442,0.525322265625,1,0.0001
19,210,190,0.8328,0.572069970703125,1,0.0001
20,220,200,0.8526,0.59259921875,1,0.0001
21,230,210,0.8532,0.554870947265625,1,0.0001
22,240,220,0.8753,0.436216357421875,1,0.0001
23,250,230,0.8477,0.54540869140625,1,0.0001
24,260,240,0.8683,0.497263232421875,1,0.0001
25,270,250,0.8775,0.477108544921875,1,0.0001
26,280,260,0.9031,0.3935331787109375,1,0.0001
27,290,270,0.9291,0.2585254150390625,1,0.0001
28,300,280,0.9312,0.2550234130859375,1,0.0001
29,310,290,0.9267,0.2769962890625,1,0.0001
30,320,300,0.9299,0.26729130859375,1,0.0005
31,330,310,0.9277,0.259412353515625,1,0.0005
32,340,320,0.9442,0.205835791015625,1,0.0005
33,350,330,0.9361,0.227181591796875,1,0.0005
34,360,340,0.9327,0.25694375,1,0.0005
35,370,350,0.9446,0.2144666015625,1,0.0005
36,380,360,0.9471,0.19691337890625,1,0.0005
37,390,370,0.9358,0.2709011474609375,1,0.0005
38,400,380,0.9469,0.2205728271484375,1,0.0005
39,410,390,0.9445,0.2271289794921875,1,0.0005
40,420,400,0.9435,0.211077587890625,1,0.0005
41,430,410,0.9422,0.2179416748046875,1,0.0005
42,440,420,0.954,0.17853026123046875,1,0.0005
43,450,430,0.9534,0.17619473876953126,1,0.0005
44,460,440,0.9584,0.1709415771484375,1,0.0005
45,470,450,0.9553,0.17178546142578124,1,0.0005
46,480,460,0.9595,0.16553194580078126,1,0.0005
47,490,470,0.9596,0.16085565185546874,1,0.0005
48,500,480,0.9602,0.15569609375,1,0.0005
49,510,490,0.959,0.17359432373046876,1,0.0005
50,520,500,0.9599,0.2154475341796875,1,0.0005
51,530,510,0.9634,0.1649073486328125,1,0.0005
52,540,520,0.9623,0.15738671875,1,0.0005
53,550,530,0.9626,0.15972060546875,1,0.0005
54,560,540,0.9651,0.1491221923828125,1,0.0005
55,570,550,0.9597,0.16448089599609375,1,0.0005
56,580,560,0.9641,0.1361333984375,1,0.0005
57,590,570,0.9674,0.1424983642578125,1,0.0005
58,600,580,0.9662,0.1479130126953125,1,0.0005
59,610,590,0.9658,0.13680806884765626,1,0.0005
60,620,600,0.9666,0.138245556640625,1,0.0005
61,630,610,0.9696,0.12797818603515626,1,0.0005
62,640,620,0.9656,0.14493095703125,1,0.0005
63,650,630,0.9631,0.17169827880859376,1,0.0005
64,660,640,0.9676,0.13227310791015626,1,0.0005
65,670,650,0.9696,0.13216807861328125,1,0.0005
66,680,660,0.9686,0.1557501220703125,1,0.0005
67,690,670,0.968,0.14067813720703126,1,0.0005
68,700,680,0.9718,0.13145225830078125,1,0.0005
69,710,690,0.9688,0.1268133056640625,1,0.0005
70,720,700,0.9747,0.122671875,1,0.0005
71,730,710,0.9678,0.133606591796875,1,0.0005
72,740,720,0.9718,0.1288083984375,1,0.0005
73,750,730,0.9713,0.12188929443359375,1,0.0005
74,760,740,0.9713,0.12251378173828124,1,0.0005
75,770,750,0.9672,0.2245999267578125,1,0.0005
76,780,760,0.9739,0.12216060791015625,1,0.0005
77,790,770,0.9735,0.13510816650390625,1,0.0005
78,800,780,0.9743,0.12484727783203126,1,0.0005
79,810,790,0.9731,0.13546522216796875,1,0.0005
80,820,800,0.9789,0.109372021484375,1,0.0005
81,830,810,0.9692,0.14893275146484375,1,0.0005
82,840,820,0.9752,0.10289632568359375,1,0.0005
83,850,830,0.9756,0.1237816162109375,1,0.0005
84,860,840,0.9761,0.1069707275390625,1,0.0005
85,870,850,0.9797,0.11071708984375,1,0.0005
86,880,860,0.9795,0.10835970458984374,1,0.0005
87,890,870,0.9769,0.11828875732421874,1,0.0005
88,900,880,0.974,0.15042608642578126,1,0.0005
89,910,890,0.9763,0.11725697021484376,1,0.0005
90,920,900,0.9772,0.1127151123046875,1,0.0005
91,930,910,0.98,0.11117340087890625,1,0.0005
92,940,920,0.978,0.10795751953125,1,0.0005
93,950,930,0.9786,0.11481923828125,1,0.0005
94,960,940,0.9773,0.1154470703125,1,0.0005
95,970,950,0.98,0.09682706909179688,1,0.0005
96,980,960,0.9808,0.10213287353515625,1,0.0005
97,990,970,0.9794,0.11006143798828125,1,0.0005
98,1000,980,0.9794,0.0998696044921875,1,0.0005
99,1010,990,0.9818,0.09581205444335937,1,0.0005
100,1020,1000,0.9793,0.11295635986328124,1,0.0005
