step,acquired,acquired_from_pool,test_accuracy,test_loss,attempt,weight_decay_used
0,20,0,0.5763,1.44442099609375,0,1e-06
1,30,10,0.576,1.5816560546875,0,1e-06
2,40,20,0.6541,1.30083408203125,0,1e-06
3,50,30,0.6653,1.284101171875,0,1e-06
4,60,40,0.695,1.1664099609375,0,1e-06
5,70,50,0.703,1.08416845703125,0,1e-06
6,80,60,0.7675,0.835166796875,0,1e-06
7,90,70,0.7773,0.770086376953125,0,1e-06
8,100,80,0.7818,0.76162861328125,0,1e-06
9,110,90,0.7985,0.691421142578125,0,1e-06
10,120,100,0.805,0.679651953125,0,1e-06
11,130,110,0.7628,0.72345107421875,0,1e-06
12,140,120,0.8458,0.511020361328125,0,1e-06
13,150,130,0.8545,0.480104052734375,0,1e-06
14,160,140,0.8658,0.4345759765625,0,1e-06
15,170,150,0.8453,0.534359912109375,0,1e-06
16,180,160,0.849,0.515360400390625,0,1e-06
17,190,170,0.8744,0.410557861328125,0,1e-06
18,200,180,0.8683,0.442881640625,0,1e-06
19,210,190,0.8743,0.4173798828125,0,1e-06
20,220,200,0.8797,0.3970902099609375,0,1e-06
21,230,210,0.8924,0.35469482421875,0,1e-06
22,240,220,0.8825,0.3970148681640625,0,1e-06
23,250,230,0.8866,0.39282763671875,0,1e-06
24,260,240,0.9067,0.316566796875,0,1e-06
25,270,250,0.8854,0.37646171875,0,1e-06
26,280,260,0.8994,0.3339554443359375,0,1e-06
27,290,270,0.8938,0.360726953125,0,1e-06
28,300,280,0.9038,0.319841259765625,0,1e-06
29,310,290,0.901,0.32566728515625,0,1e-06
30,320,300,0.9096,0.295638427734375,0,1e-06
31,330,310,0.9137,0.290643994140625,0,1e-06
32,340,320,0.9099,0.287374951171875,0,1e-06
33,350,330,0.9165,0.2853251953125,0,1e-06
34,360,340,0.915,0.2897586181640625,0,1e-06
35,370,350,0.9169,0.2920397216796875,0,1e-06
36,380,360,0.9151,0.2896861328125,0,1e-06
37,390,370,0.9111,0.2954073974609375,0,1e-06
38,400,380,0.9258,0.2468766357421875,0,1e-06
39,410,390,0.928,0.2429283935546875,0,1e-06
40,420,400,0.9324,0.23887822265625,0,1e-06
41,430,410,0.922,0.257554296875,0,1e-06
42,440,420,0.9309,0.2384561767578125,0,1e-06
43,450,430,0.9285,0.2381416015625,0,1e-06
44,460,440,0.9179,0.272947412109375,0,1e-06
45,470,450,0.9319,0.2363854736328125,0,1e-06
46,480,460,0.9224,0.251167919921875,0,1e-06
47,490,470,0.9276,0.2433521240234375,0,1e-06
48,500,480,0.9349,0.2265960693359375,0,1e-06
49,510,490,0.935,0.2204571044921875,0,1e-06
50,520,500,0.9363,0.2156905517578125,0,1e-06
51,530,510,0.9404,0.213327294921875,0,1e-06
52,540,520,0.9391,0.20886640625,0,1e-06
53,550,530,0.938,0.2136151611328125,0,1e-06
54,560,540,0.9426,0.19572886962890626,0,1e-06
55,570,550,0.9384,0.20943076171875,0,1e-06
56,580,560,0.9276,0.240652490234375,0,1e-06
57,590,570,0.9324,0.218736572265625,0,1e-06
58,600,580,0.9407,0.1969057373046875,0,1e-06
59,610,590,0.9367,0.2230705078125,0,1e-06
60,620,600,0.941,0.2126414306640625,0,0.0001
61,630,610,0.9382,0.2043915283203125,0,0.0001
62,640,620,0.9436,0.19627374267578124,0,0.0001
63,650,630,0.9453,0.18506202392578125,0,0.0001
64,660,640,0.9457,0.1819051513671875,0,0.0001
65,670,650,0.9487,0.1759315185546875,0,0.0001
66,680,660,0.9455,0.1879466064453125,0,0.0001
67,690,670,0.9491,0.1652399169921875,0,0.0001
68,700,680,0.9469,0.1747755615234375,0,0.0001
69,710,690,0.9467,0.1734010986328125,0,0.0001
70,720,700,0.9452,0.1918247314453125,0,0.0001
71,730,710,0.9522,0.16444962158203125,0,0.0001
72,740,720,0.9453,0.17791820068359376,0,0.0001
73,750,730,0.9518,0.1569733642578125,0,0.0001
74,760,740,0.9488,0.17341287841796876,0,0.0001
75,770,750,0.9529,0.159608056640625,0,0.0001
76,780,760,0.9521,0.15951790771484375,0,0.0001
77,790,770,0.9519,0.16137587890625,0,0.0001
78,800,780,0.9532,0.1566050048828125,0,0.0001
79,810,790,0.9472,0.17847874755859375,0,0.0001
80,820,800,0.9557,0.149877978515625,0,0.0001
81,830,810,0.9548,0.15373909912109374,0,0.0001
82,840,820,0.9506,0.16675335693359375,0,0.0001
83,850,830,0.9566,0.14464783935546874,0,0.0001
84,860,840,0.951,0.1561828369140625,0,0.0001
85,870,850,0.9527,0.153333203125,0,0.0001
86,880,860,0.9504,0.16375389404296875,0,0.0001
87,890,870,0.9552,0.15285286865234374,0,0.0001
88,900,880,0.9552,0.153654345703125,0,0.0001
89,910,890,0.9558,0.14816578369140626,0,0.0001
90,920,900,0.9568,0.15226768798828125,0,0.0005
91,930,910,0.952,0.16351669921875,0,0.0005
92,940,920,0.9573,0.14338306884765625,0,0.0005
93,950,930,0.9584,0.143148486328125,0,0.0005
94,960,940,0.9604,0.13709720458984376,0,0.0005
95,970,950,0.9552,0.1518654541015625,0,0.0005
96,980,960,0.9599,0.139725830078125,0,0.0005
97,990,970,0.9542,0.15226287841796876,0,0.0005
98,1000,980,0.9548,0.15593955078125,0,0.0005
99,1010,990,0.9578,0.13785849609375,0,0.0005
100,1020,1000,0.9586,0.145737451171875,0,0.0005
