step,acquired,acquired_from_pool,test_accuracy,test_loss,attempt,weight_decay_used
0,20,0,0.6298,1.27800869140625,2,0.001
1,30,10,0.682,1.055706640625,2,0.001
2,40,20,0.7126,1.10337568359375,2,0.001
3,50,30,0.7447,0.909222265625,2,0.001
4,60,40,0.7445,0.88871806640625,2,0.001
5,70,50,0.7653,0.7454421875,2,0.001
6,80,60,0.814,0.60349658203125,2,0.001
7,90,70,0.8275,0.586721142578125,2,0.001
8,100,80,0.8476,0.490162841796875,2,0.001
9,110,90,0.8561,0.466414794921875,2,0.001
10,120,100,0.8877,0.366512841796875,2,1e-06
11,130,110,0.7736,0.700560009765625,2,1e-06
12,140,120,0.8749,0.3947688720703125,2,1e-06
13,150,130,0.9138,0.311767236328125,2,1e-06
14,160,140,0.9085,0.322684814453125,2,1e-06
15,170,150,0.8998,0.33560859375,2,1e-06
16,180,160,0.9003,0.3193012939453125,2,1e-06
17,190,170,0.9138,0.289280908203125,2,1e-06
18,200,180,0.929,0.2485970703125,2,1e-06
19,210,190,0.9275,0.244237060546875,2,1e-06
20,220,200,0.9257,0.250760888671875,2,1e-06
21,230,210,0.9246,0.2538808837890625,2,1e-06
22,240,220,0.9363,0.2234260009765625,2,1e-06
23,250,230,0.9337,0.233405224609375,2,1e-06
24,260,240,0.9179,0.289021533203125,2,1e-06
25,270,250,0.9277,0.2633103759765625,2,1e-06
26,280,260,0.9368,0.23619482421875,2,1e-06
27,290,270,0.9463,0.1938982421875,2,1e-06
28,300,280,0.9384,0.2142771484375,2,1e-06
29,310,290,0.9438,0.18942890625,2,1e-06
30,320,300,0.9481,0.1837722412109375,2,1e-06
31,330,310,0.9488,0.1820283447265625,2,1e-06
32,340,320,0.9431,0.19207120361328126,2,1e-06
33,350,330,0.946,0.18901873779296874,2,1e-06
34,360,340,0.948,0.18525089111328125,2,1e-06
35,370,350,0.9537,0.16454969482421875,2,1e-06
36,380,360,0.9476,0.188022216796875,2,1e-06
37,390,370,0.9536,0.19572177734375,2,1e-06
38,400,380,0.9537,0.1707724609375,2,1e-06
39,410,390,0.9534,0.17537113037109375,2,1e-06
40,420,400,0.9616,0.1447087890625,2,1e-06
41,430,410,0.9588,0.1672826171875,2,1e-06
42,440,420,0.9598,0.1478109130859375,2,1e-06
43,450,430,0.9656,0.138456103515625,2,1e-06
44,460,440,0.9626,0.14724342041015626,2,1e-06
45,470,450,0.9639,0.1527627685546875,2,1e-06
46,480,460,0.9581,0.150556591796875,2,1e-06
47,490,470,0.9645,0.155222802734375,2,1e-06
48,500,480,0.9659,0.1432560791015625,2,1e-06
49,510,490,0.9603,0.150016796875,2,1e-06
50,520,500,0.956,0.20352425537109375,2,1e-06
51,530,510,0.9661,0.14616171875,2,1e-06
52,540,520,0.9684,0.1557156494140625,2,1e-06
53,550,530,0.9635,0.14581224365234374,2,1e-06
54,560,540,0.9675,0.13223369140625,2,1e-06
55,570,550,0.9639,0.14358018798828126,2,1e-06
56,580,560,0.9673,0.1349218994140625,2,1e-06
57,590,570,0.9693,0.1269034423828125,2,1e-06
58,600,580,0.9672,0.13249656982421876,2,1e-06
59,610,590,0.9678,0.13012410888671874,2,1e-06
60,620,600,0.9716,0.12742052001953125,2,1e-06
61,630,610,0.9687,0.12565213623046875,2,1e-06
62,640,620,0.9697,0.12894710693359376,2,1e-06
63,650,630,0.9704,0.1413834228515625,2,1e-06
64,660,640,0.9763,0.1114168212890625,2,1e-06
65,670,650,0.9746,0.11027911376953126,2,1e-06
66,680,660,0.9726,0.12546444091796874,2,1e-06
67,690,670,0.971,0.12298099365234375,2,1e-06
68,700,680,0.9711,0.1209814208984375,2,1e-06
69,710,690,0.9727,0.12726300048828126,2,1e-06
70,720,700,0.9739,0.122751416015625,2,1e-06
71,730,710,0.9724,0.1178368896484375,2,1e-06
72,740,720,0.9757,0.1188609130859375,2,1e-06
73,750,730,0.9747,0.112973486328125,2,1e-06
74,760,740,0.9747,0.120122998046875,2,1e-06
75,770,750,0.9507,0.2593267578125,2,1e-06
76,780,760,0.9765,0.1358517822265625,2,1e-06
77,790,770,0.9734,0.127553076171875,2,1e-06
78,800,780,0.9734,0.11734808349609376,2,1e-06
79,810,790,0.9764,0.1089951171875,2,1e-06
80,820,800,0.9772,0.10965966796875,2,1e-06
81,830,810,0.9786,0.121413916015625,2,1e-06
82,840,820,0.9711,0.1226132080078125,2,1e-06
83,850,830,0.9782,0.09413897705078125,2,1e-06
84,860,840,0.9762,0.10157245483398437,2,1e-06
85,870,850,0.9784,0.10638472900390625,2,1e-06
86,880,860,0.9795,0.102950244140625,2,1e-06
87,890,870,0.9775,0.10660242919921875,2,1e-06
88,900,880,0.9789,0.1100592529296875,2,1e-06
89,910,890,0.978,0.11473038330078125,2,1e-06
90,920,900,0.9774,0.100336474609375,2,1e-06
91,930,910,0.982,0.0931253173828125,2,1e-06
92,940,920,0.9811,0.09326272583007812,2,1e-06
93,950,930,0.9797,0.09707569580078125,2,1e-06
94,960,940,0.9818,0.1042713134765625,2,1e-06
95,970,950,0.9787,0.09530137939453125,2,1e-06
96,980,960,0.9776,0.10064639892578126,2,1e-06
97,990,970,0.9808,0.10694989013671875,2,1e-06
98,1000,980,0.9815,0.08737452392578125,2,1e-06
99,1010,990,0.9821,0.08788734741210938,2,1e-06
100,1020,1000,0.9821,0.09164680786132813,2,1e-06
