step,acquired,acquired_from_pool,test_accuracy,test_loss,attempt,weight_decay_used
0,20,0,0.5107,2.722271484375,0,1e-06
1,30,10,0.5924,2.6915236328125,0,1e-06
2,40,20,0.5818,3.0092671875,0,1e-06
3,50,30,0.6521,2.6101876953125,0,1e-06
4,60,40,0.6684,2.6330869140625,0,1e-06
5,70,50,0.6566,2.3613037109375,0,1e-06
6,80,60,0.6959,2.0506642578125,0,1e-06
7,90,70,0.7407,1.49899091796875,0,1e-06
8,100,80,0.7788,1.1951451171875,0,1e-06
9,110,90,0.7669,1.26909765625,0,1e-06
10,120,100,0.7816,1.21414677734375,0,1e-06
11,130,110,0.8568,0.4509484375,0,1e-06
12,140,120,0.8807,0.50644970703125,0,1e-06
13,150,130,0.8545,0.66454091796875,0,1e-06
14,160,140,0.89,0.458556787109375,0,1e-06
15,170,150,0.9011,0.451316943359375,0,1e-06
16,180,160,0.89,0.477152197265625,0,1e-06
17,190,170,0.8967,0.46803515625,0,1e-06
18,200,180,0.9149,0.3834048095703125,0,1e-06
19,210,190,0.9027,0.45186240234375,0,1e-06
20,220,200,0.9148,0.3813741455078125,0,1e-06
21,230,210,0.921,0.345379833984375,0,1e-06
22,240,220,0.9165,0.369746142578125,0,1e-06
23,250,230,0.9118,0.364887255859375,0,1e-06
24,260,240,0.8914,0.3903569580078125,0,1e-06
25,270,250,0.9284,0.2644476318359375,0,1e-06
26,280,260,0.9432,0.212182763671875,0,1e-06
27,290,270,0.9435,0.21515634765625,0,1e-06
28,300,280,0.9443,0.2129825439453125,0,1e-06
29,310,290,0.9462,0.2267204833984375,0,1e-06
30,320,300,0.9414,0.231395751953125,0,1e-06
31,330,310,0.9434,0.219894384765625,0,1e-06
32,340,320,0.9484,0.20447982177734375,0,1e-06
33,350,330,0.9492,0.19880111083984375,0,1e-06
34,360,340,0.9469,0.19163623046875,0,1e-06
35,370,350,0.9482,0.215301171875,0,1e-06
36,380,360,0.9553,0.169579345703125,0,1e-06
37,390,370,0.9512,0.16997022705078124,0,1e-06
38,400,380,0.9531,0.15419005126953125,0,1e-06
39,410,390,0.9529,0.168212353515625,0,1e-06
40,420,400,0.96,0.1437995361328125,0,1e-06
41,430,410,0.9586,0.145556201171875,0,1e-06
42,440,420,0.9647,0.12189473876953125,0,1e-06
43,450,430,0.9641,0.142569091796875,0,1e-06
44,460,440,0.9619,0.13914359130859374,0,1e-06
45,470,450,0.9605,0.13962269287109375,0,1e-06
46,480,460,0.9624,0.13778787841796875,0,1e-06
47,490,470,0.9672,0.11530164794921875,0,1e-06
48,500,480,0.9598,0.13934945068359375,0,1e-06
49,510,490,0.9648,0.1186766845703125,0,1e-06
50,520,500,0.9627,0.1254180419921875,0,1e-06
51,530,510,0.9649,0.11836126708984375,0,1e-06
52,540,520,0.9609,0.133622607421875,0,1e-06
53,550,530,0.9673,0.11906822509765624,0,1e-06
54,560,540,0.9668,0.1134747802734375,0,1e-06
55,570,550,0.9673,0.11293046875,0,1e-06
56,580,560,0.9674,0.11240650634765625,0,1e-06
57,590,570,0.9683,0.11071566162109375,0,1e-06
58,600,580,0.9626,0.13367672119140625,0,1e-06
59,610,590,0.9614,0.13414296875,0,1e-06
60,620,600,0.9704,0.10700113525390625,0,0.0001
61,630,610,0.9689,0.11400609130859375,0,0.0001
62,640,620,0.9649,0.114311669921875,0,0.0001
63,650,630,0.9674,0.09928958129882813,0,0.0001
64,660,640,0.9729,0.0892362060546875,0,0.0001
65,670,650,0.9629,0.1257361328125,0,0.0001
66,680,660,0.9731,0.09261652221679688,0,0.0001
67,690,670,0.9732,0.09411878662109376,0,0.0001
68,700,680,0.9739,0.08385532836914063,0,0.0001
69,710,690,0.9727,0.09509300537109375,0,0.0001
70,720,700,0.9752,0.08291563110351563,0,0.0001
71,730,710,0.9774,0.0796492431640625,0,0.0001
72,740,720,0.9699,0.10180189819335937,0,0.0001
73,750,730,0.9777,0.0803837890625,0,0.0001
74,760,740,0.9756,0.08211338500976563,0,0.0001
75,770,750,0.9722,0.08956190795898437,0,0.0001
76,780,760,0.9761,0.07892622680664063,0,0.0001
77,790,770,0.978,0.0779294189453125,0,0.0001
78,800,780,0.9757,0.08781644287109375,0,0.0001
79,810,790,0.9755,0.0787933349609375,0,0.0001
80,820,800,0.9777,0.07692238159179687,0,0.0001
81,830,810,0.9728,0.09682291259765625,0,0.0001
82,840,820,0.9797,0.0706499267578125,0,0.0001
83,850,830,0.9775,0.075415673828125,0,0.0001
84,860,840,0.9781,0.07450651245117187,0,0.0001
85,870,850,0.9805,0.06859586181640626,0,0.0001
86,880,860,0.9767,0.0755248779296875,0,0.0001
87,890,870,0.9786,0.0730671142578125,0,0.0001
88,900,880,0.9788,0.07083137817382812,0,0.0001
89,910,890,0.9803,0.06472305297851562,0,0.0001
90,920,900,0.9784,0.07365384521484375,0,1e-06
91,930,910,0.9781,0.07560555419921874,0,1e-06
92,940,920,0.981,0.0635771240234375,0,1e-06
93,950,930,0.9784,0.0708361328125,0,1e-06
94,960,940,0.9809,0.06815225830078125,0,1e-06
95,970,950,0.981,0.06725856323242188,0,1e-06
96,980,960,0.9808,0.06568779296875,0,1e-06
97,990,970,0.9822,0.0593425537109375,0,1e-06
98,1000,980,0.9833,0.060703338623046874,0,1e-06
99,1010,990,0.9825,0.05708538208007812,0,1e-06
100,1020,1000,0.9817,0.06187451782226563,0,1e-06
