step,acquired,acquired_from_pool,test_accuracy,test_loss,attempt,weight_decay_used
0,20,0,0.5985,1.2894203125,0,0.0005
1,30,10,0.6357,1.05064560546875,0,0.0005
2,40,20,0.6204,1.09243291015625,0,0.0005
3,50,30,0.6562,1.00379921875,0,0.0005
4,60,40,0.6498,1.1265931640625,0,0.0005
5,70,50,0.6552,0.9325142578125,0,0.0005
6,80,60,0.6575,0.9543408203125,0,0.0005
7,90,70,0.6733,1.0147041015625,0,0.0005
8,100,80,0.6707,0.9549751953125,0,0.0005
9,110,90,0.6924,0.8950669921875,0,0.0005
10,120,100,0.7236,0.82883681640625,0,0.0005
11,130,110,0.5681,1.10243447265625,0,0.0005
12,140,120,0.7182,0.82091708984375,0,0.0005
13,150,130,0.7286,0.79461826171875,0,0.0005
14,160,140,0.7336,0.811712646484375,0,0.0005
15,170,150,0.716,0.861806640625,0,0.0005
16,180,160,0.7297,0.84562548828125,0,0.0005
17,190,170,0.725,0.835915234375,0,0.0005
18,200,180,0.7317,0.83491396484375,0,0.0005
19,210,190,0.7401,0.82905166015625,0,0.0005
20,220,200,0.746,0.753263671875,0,0.0005
21,230,210,0.7494,0.753449169921875,0,0.0005
22,240,220,0.7331,0.756407421875,0,0.0005
23,250,230,0.7502,0.716454638671875,0,0.0005
24,260,240,0.7101,0.8064548828125,0,0.0005
25,270,250,0.7416,0.74518779296875,0,0.0005
26,280,260,0.7384,0.72599853515625,0,0.0005
27,290,270,0.7434,0.735452490234375,0,0.0005
28,300,280,0.7391,0.737370703125,0,0.0005
29,310,290,0.7455,0.745998583984375,0,0.0005
30,320,300,0.7527,0.725834033203125,0,0.0005
31,330,310,0.747,0.741149560546875,0,0.0005
32,340,320,0.7263,0.794461669921875,0,0.0005
33,350,330,0.7348,0.775092431640625,0,0.0005
34,360,340,0.7421,0.726655126953125,0,0.0005
35,370,350,0.7611,0.69472265625,0,0.0005
36,380,360,0.7605,0.72063505859375,0,0.0005
37,390,370,0.7556,0.68045419921875,0,0.0005
38,400,380,0.7533,0.6906078125,0,0.0005
39,410,390,0.7476,0.727064501953125,0,0.0005
40,420,400,0.764,0.68202587890625,0,0.0005
41,430,410,0.7635,0.6863654296875,0,0.0005
42,440,420,0.7501,0.684017919921875,0,0.0005
43,450,430,0.7606,0.672092529296875,0,0.0005
44,460,440,0.7473,0.688775341796875,0,0.0005
45,470,450,0.762,0.667303466796875,0,0.0005
46,480,460,0.7564,0.67202548828125,0,0.0005
47,490,470,0.7498,0.692330908203125,0,0.0005
48,500,480,0.7648,0.66274853515625,0,0.0005
49,510,490,0.7675,0.686509130859375,0,0.0005
50,520,500,0.7354,0.659278662109375,0,0.0005
51,530,510,0.7612,0.621476025390625,0,0.0005
52,540,520,0.7697,0.62907548828125,0,0.0005
53,550,530,0.7704,0.6559810546875,0,0.0005
54,560,540,0.7795,0.608751806640625,0,0.0005
55,570,550,0.7683,0.629289794921875,0,0.0005
56,580,560,0.7705,0.622066796875,0,0.0005
57,590,570,0.7764,0.609136767578125,0,0.0005
58,600,580,0.7704,0.6272736328125,0,0.0005
59,610,590,0.7745,0.6367634765625,0,0.0005
60,620,600,0.778,0.616901416015625,0,0.0005
61,630,610,0.7646,0.6740224609375,0,0.0005
62,640,620,0.7664,0.626864501953125,0,0.0005
63,650,630,0.7703,0.6080052734375,0,0.0005
64,660,640,0.7792,0.6181443359375,0,0.0005
65,670,650,0.7597,0.676434619140625,0,0.0005
66,680,660,0.7817,0.635935107421875,0,0.0005
67,690,670,0.7815,0.63979345703125,0,0.0005
68,700,680,0.7846,0.610755419921875,0,0.0005
69,710,690,0.7846,0.569407861328125,0,0.0005
70,720,700,0.7834,0.60906767578125,0,0.0005
71,730,710,0.7775,0.627697900390625,0,0.0005
72,740,720,0.7773,0.61188828125,0,0.0005
73,750,730,0.7855,0.597564892578125,0,0.0005
74,760,740,0.7805,0.5804974609375,0,0.0005
75,770,750,0.7894,0.604341162109375,0,0.0005
76,780,760,0.7858,0.58341923828125,0,0.0005
77,790,770,0.7815,0.587026220703125,0,0.0005
78,800,780,0.8015,0.5564349609375,0,0.0005
79,810,790,0.7923,0.5883265625,0,0.0005
80,820,800,0.7915,0.561741796875,0,0.0005
81,830,810,0.7951,0.563260498046875,0,0.0005
82,840,820,0.7967,0.567965771484375,0,0.0005
83,850,830,0.7743,0.606991748046875,0,0.0005
84,860,840,0.8019,0.556478076171875,0,0.0005
85,870,850,0.7929,0.573028515625,0,0.0005
86,880,860,0.8003,0.5452205078125,0,0.0005
87,890,870,0.7809,0.61679375,0,0.0005
88,900,880,0.8036,0.5656662109375,0,0.0005
89,910,890,0.7994,0.5512994140625,0,0.0005
90,920,900,0.792,0.561363037109375,0,0.0005
91,930,910,0.8073,0.54000341796875,0,0.0005
92,940,920,0.7884,0.56625302734375,0,0.0005
93,950,930,0.802,0.562094873046875,0,0.0005
94,960,940,0.7994,0.54960068359375,0,0.0005
95,970,950,0.8073,0.54845439453125,0,0.0005
96,980,960,0.8017,0.56385576171875,0,0.0005
97,990,970,0.793,0.5741,0,0.0005
98,1000,980,0.7979,0.55436826171875,0,0.0005
99,1010,990,0.8066,0.5431375,0,0.0005
100,1020,1000,0.8011,0.572069091796875,0,0.0005
