step,acquired,acquired_from_pool,test_accuracy,test_loss,attempt,weight_decay_used
0,20,0,0.4626,3.04551640625,2,0.0005
1,30,10,0.5283,2.8677126953125,2,0.0005
2,40,20,0.5707,1.972161328125,2,0.0005
3,50,30,0.6055,1.8196025390625,2,0.0005
4,60,40,0.5924,1.904542578125,2,0.0005
5,70,50,0.6333,1.50702578125,2,0.0005
6,80,60,0.6498,1.5833685546875,2,0.0005
7,90,70,0.6742,1.26677490234375,2,0.0005
8,100,80,0.7028,1.31954296875,2,0.0005
9,110,90,0.7012,1.3508568359375,2,0.0005
10,120,100,0.7042,1.32835693359375,2,0.0005
11,130,110,0.6795,0.903825,2,0.0005
12,140,120,0.7147,0.98929482421875,2,0.0005
13,150,130,0.7318,0.99173056640625,2,0.0005
14,160,140,0.7364,1.1058974609375,2,0.0005
15,170,150,0.7361,1.03290087890625,2,0.0005
16,180,160,0.738,1.07527568359375,2,0.0005
17,190,170,0.7345,1.17950634765625,2,0.0005
18,200,180,0.7388,1.17111962890625,2,0.0005
19,210,190,0.7491,1.11238857421875,2,0.0005
20,220,200,0.7396,1.2205259765625,2,0.0005
21,230,210,0.7408,1.0953328125,2,0.0005
22,240,220,0.7468,1.1238181640625,2,0.0005
23,250,230,0.7514,1.08758173828125,2,0.0005
24,260,240,0.7391,0.8207021484375,2,0.0005
25,270,250,0.7413,1.03166806640625,2,0.0005
26,280,260,0.7496,1.06216123046875,2,0.0005
27,290,270,0.7566,0.999387890625,2,0.0005
28,300,280,0.7555,1.1809974609375,2,0.0005
29,310,290,0.7571,1.10063447265625,2,0.0005
30,320,300,0.7652,1.1022248046875,2,0.0005
31,330,310,0.7707,1.1920466796875,2,0.0005
32,340,320,0.767,1.12526845703125,2,0.0005
33,350,330,0.7629,1.07542548828125,2,0.0005
34,360,340,0.7608,1.06436328125,2,0.0005
35,370,350,0.7684,0.97862978515625,2,0.0005
36,380,360,0.7676,1.19532177734375,2,0.0005
37,390,370,0.7528,0.96357705078125,2,0.0005
38,400,380,0.7729,0.91865634765625,2,0.0005
39,410,390,0.7794,0.92265068359375,2,0.0005
40,420,400,0.7762,0.8410103515625,2,0.0005
41,430,410,0.7785,0.8897623046875,2,0.0005
42,440,420,0.7815,0.93487236328125,2,0.0005
43,450,430,0.7709,1.01086826171875,2,0.0005
44,460,440,0.7899,0.9322744140625,2,0.0005
45,470,450,0.7827,0.90374609375,2,0.0005
46,480,460,0.7852,0.91239033203125,2,0.0005
47,490,470,0.7754,0.9404291015625,2,0.0005
48,500,480,0.7911,0.9850822265625,2,0.0005
49,510,490,0.7939,0.83350322265625,2,0.0005
50,520,500,0.7836,0.700892529296875,2,0.0005
51,530,510,0.7897,0.808730517578125,2,0.0005
52,540,520,0.789,0.8660912109375,2,0.0005
53,550,530,0.7844,0.8673697265625,2,0.0005
54,560,540,0.794,0.86398798828125,2,0.0005
55,570,550,0.7993,0.891115625,2,0.0005
56,580,560,0.7937,0.84502060546875,2,0.0005
57,590,570,0.787,0.94066240234375,2,0.0005
58,600,580,0.7989,0.86658056640625,2,0.0005
59,610,590,0.7971,0.794972021484375,2,0.0005
60,620,600,0.8022,0.82139423828125,2,0.0005
61,630,610,0.8055,0.84663544921875,2,0.0005
62,640,620,0.8015,0.828644921875,2,0.0005
63,650,630,0.7939,0.66995810546875,2,0.0005
64,660,640,0.8063,0.7226806640625,2,0.0005
65,670,650,0.8072,0.690955419921875,2,0.0005
66,680,660,0.8112,0.7965732421875,2,0.0005
67,690,670,0.8094,0.787603662109375,2,0.0005
68,700,680,0.8077,0.791596630859375,2,0.0005
69,710,690,0.8069,0.78523251953125,2,0.0005
70,720,700,0.8032,0.7653603515625,2,0.0005
71,730,710,0.811,0.795613623046875,2,0.0005
72,740,720,0.8016,0.8816302734375,2,0.0005
73,750,730,0.8122,0.8117431640625,2,0.0005
74,760,740,0.8211,0.807340478515625,2,0.0005
75,770,750,0.7951,0.660632275390625,2,0.0005
76,780,760,0.8129,0.745321875,2,0.0005
77,790,770,0.8091,0.798609228515625,2,0.0005
78,800,780,0.8167,0.77697373046875,2,0.0005
79,810,790,0.8153,0.739086474609375,2,0.0005
80,820,800,0.8094,0.735247509765625,2,0.0005
81,830,810,0.8199,0.701441357421875,2,0.0005
82,840,820,0.8117,0.778260009765625,2,0.0005
83,850,830,0.8177,0.7509615234375,2,0.0005
84,860,840,0.8152,0.72910517578125,2,0.0005
85,870,850,0.8112,0.7623193359375,2,0.0005
86,880,860,0.8088,0.703073779296875,2,0.0005
87,890,870,0.8172,0.743753857421875,2,0.0005
88,900,880,0.8057,0.67209541015625,2,0.0005
89,910,890,0.8093,0.695219384765625,2,0.0005
90,920,900,0.8172,0.70641142578125,2,0.0005
91,930,910,0.8158,0.758003564453125,2,0.0005
92,940,920,0.8198,0.707779248046875,2,0.0005
93,950,930,0.8184,0.777523779296875,2,0.0005
94,960,940,0.8216,0.718478857421875,2,0.0005
95,970,950,0.8146,0.71886103515625,2,0.0005
96,980,960,0.8254,0.775506787109375,2,0.0005
97,990,970,0.8201,0.694847607421875,2,0.0005
98,1000,980,0.8206,0.757858251953125,2,0.0005
99,1010,990,0.8275,0.707577587890625,2,0.0005
100,1020,1000,0.8215,0.712536865234375,2,0.0005
