step,acquired,acquired_from_pool,test_accuracy,test_loss,attempt,weight_decay_used
0,20,0,0.5985,1.2894203125,0,0.0005
1,30,10,0.6313,1.27400068359375,0,0.0005
2,40,20,0.6639,1.123157421875,0,0.0005
3,50,30,0.6392,1.11436513671875,0,0.0005
4,60,40,0.6521,1.1143333984375,0,0.0005
5,70,50,0.6755,1.0668908203125,0,0.0005
6,80,60,0.666,1.016114453125,0,0.0005
7,90,70,0.6618,1.05146396484375,0,0.0005
8,100,80,0.6721,0.9718015625,0,0.0005
9,110,90,0.6641,1.045135546875,0,0.0005
10,120,100,0.677,0.9416349609375,0,0.0005
11,130,110,0.4875,1.39995380859375,0,0.0005
12,140,120,0.686,0.874558203125,0,0.0005
13,150,130,0.6937,0.8832666015625,0,0.0005
14,160,140,0.6835,0.98351162109375,0,0.0005
15,170,150,0.6968,1.07018916015625,0,0.0005
16,180,160,0.6967,0.91453125,0,0.0005
17,190,170,0.6737,1.03676943359375,0,0.0005
18,200,180,0.6716,1.0562669921875,0,0.0005
19,210,190,0.6738,0.9814115234375,0,0.0005
20,220,200,0.6977,0.82981943359375,0,0.0005
21,230,210,0.7205,0.82987802734375,0,0.0005
22,240,220,0.6927,0.877535546875,0,0.0005
23,250,230,0.7076,0.85999443359375,0,0.0005
24,260,240,0.6317,1.02294169921875,0,0.0005
25,270,250,0.6669,0.9262775390625,0,0.0005
26,280,260,0.693,0.85104833984375,0,0.0005
27,290,270,0.6946,0.882276171875,0,0.0005
28,300,280,0.7039,0.84111044921875,0,0.0005
29,310,290,0.7019,0.84547001953125,0,0.0005
30,320,300,0.7072,0.82631689453125,0,0.0005
31,330,310,0.7222,0.80591806640625,0,0.0005
32,340,320,0.6825,0.8942150390625,0,0.0005
33,350,330,0.7258,0.750014501953125,0,0.0005
34,360,340,0.7356,0.75888095703125,0,0.0005
35,370,350,0.724,0.807625341796875,0,0.0005
36,380,360,0.7492,0.734119091796875,0,0.0005
37,390,370,0.721,0.72877587890625,0,0.0005
38,400,380,0.7195,0.786709326171875,0,0.0005
39,410,390,0.7475,0.7117564453125,0,0.0005
40,420,400,0.7445,0.7483185546875,0,0.0005
41,430,410,0.7035,0.788034619140625,0,0.0005
42,440,420,0.7436,0.74808349609375,0,0.0005
43,450,430,0.7546,0.701609326171875,0,0.0005
44,460,440,0.7504,0.720890478515625,0,0.0005
45,470,450,0.7564,0.697659521484375,0,0.0005
46,480,460,0.762,0.689737109375,0,0.0005
47,490,470,0.7697,0.647748974609375,0,0.0005
48,500,480,0.7638,0.65756005859375,0,0.0005
49,510,490,0.764,0.689178662109375,0,0.0005
50,520,500,0.76,0.65832607421875,0,0.0005
51,530,510,0.7227,0.7024642578125,0,0.0005
52,540,520,0.773,0.660244287109375,0,0.0005
53,550,530,0.7447,0.702365625,0,0.0005
54,560,540,0.7533,0.721800048828125,0,0.0005
55,570,550,0.7619,0.673460546875,0,0.0005
56,580,560,0.7676,0.63541845703125,0,0.0005
57,590,570,0.7757,0.659949853515625,0,0.0005
58,600,580,0.7691,0.677781884765625,0,0.0005
59,610,590,0.7753,0.622630712890625,0,0.0005
60,620,600,0.7781,0.65457001953125,0,0.0005
61,630,610,0.7821,0.61881572265625,0,0.0005
62,640,620,0.7707,0.645183251953125,0,0.0005
63,650,630,0.7612,0.653633251953125,0,0.0005
64,660,640,0.7574,0.6632271484375,0,0.0005
65,670,650,0.7869,0.592076025390625,0,0.0005
66,680,660,0.7802,0.639423828125,0,0.0005
67,690,670,0.7703,0.6623861328125,0,0.0005
68,700,680,0.7419,0.70099375,0,0.0005
69,710,690,0.7837,0.620394140625,0,0.0005
70,720,700,0.7763,0.648456494140625,0,0.0005
71,730,710,0.7678,0.640818701171875,0,0.0005
72,740,720,0.7735,0.646030126953125,0,0.0005
73,750,730,0.7643,0.65963173828125,0,0.0005
74,760,740,0.7686,0.641935546875,0,0.0005
75,770,750,0.705,0.7754255859375,0,0.0005
76,780,760,0.773,0.611665771484375,0,0.0005
77,790,770,0.7601,0.6531091796875,0,0.0005
78,800,780,0.7659,0.64086474609375,0,0.0005
79,810,790,0.7851,0.626076708984375,0,0.0005
80,820,800,0.7768,0.606297119140625,0,0.0005
81,830,810,0.7438,0.708453955078125,0,0.0005
82,840,820,0.7735,0.636308935546875,0,0.0005
83,850,830,0.7774,0.63090087890625,0,0.0005
84,860,840,0.7679,0.66078623046875,0,0.0005
85,870,850,0.7834,0.609682373046875,0,0.0005
86,880,860,0.7806,0.6330244140625,0,0.0005
87,890,870,0.776,0.62731982421875,0,0.0005
88,900,880,0.7536,0.665281494140625,0,0.0005
89,910,890,0.7724,0.62608095703125,0,0.0005
90,920,900,0.7662,0.631309521484375,0,0.0005
91,930,910,0.7818,0.58535126953125,0,0.0005
92,940,920,0.7874,0.59249072265625,0,0.0005
93,950,930,0.7835,0.59601455078125,0,0.0005
94,960,940,0.7958,0.594710498046875,0,0.0005
95,970,950,0.7601,0.661260888671875,0,0.0005
96,980,960,0.7759,0.631470849609375,0,0.0005
97,990,970,0.7681,0.659631640625,0,0.0005
98,1000,980,0.7887,0.596959423828125,0,0.0005
99,1010,990,0.7816,0.63227041015625,0,0.0005
100,1020,1000,0.7736,0.642703564453125,0,0.0005
