step,acquired,acquired_from_pool,test_accuracy,test_loss,attempt,weight_decay_used
0,20,0,0.5417,2.242003515625,1,0.0005
1,30,10,0.6112,2.134185546875,1,0.0005
2,40,20,0.6124,2.335655078125,1,0.0005
3,50,30,0.6387,1.857394140625,1,0.0005
4,60,40,0.65,1.555639453125,1,0.0005
5,70,50,0.6607,1.53782099609375,1,0.0005
6,80,60,0.6846,1.41232138671875,1,0.0005
7,90,70,0.6807,1.4985978515625,1,0.0005
8,100,80,0.6929,1.38501630859375,1,0.0005
9,110,90,0.6752,1.49871474609375,1,0.0005
10,120,100,0.6787,1.3698822265625,1,0.0005
11,130,110,0.4675,1.436454296875,1,0.0005
12,140,120,0.6777,1.19332763671875,1,0.0005
13,150,130,0.6788,1.3861314453125,1,0.0005
14,160,140,0.6759,1.8895171875,1,0.0005
15,170,150,0.7021,1.51968740234375,1,0.0005
16,180,160,0.7156,1.3054115234375,1,0.0005
17,190,170,0.7093,1.22530126953125,1,0.0005
18,200,180,0.7161,1.190817578125,1,0.0005
19,210,190,0.712,1.44596435546875,1,0.0005
20,220,200,0.709,1.36001328125,1,0.0005
21,230,210,0.7136,1.26439990234375,1,0.0005
22,240,220,0.7264,1.10409814453125,1,0.0005
23,250,230,0.7256,1.2259517578125,1,0.0005
24,260,240,0.6768,0.8831052734375,1,0.0005
25,270,250,0.7109,1.0579953125,1,0.0005
26,280,260,0.7347,0.99985185546875,1,0.0005
27,290,270,0.7302,1.098599609375,1,0.0005
28,300,280,0.724,1.249712109375,1,0.0005
29,310,290,0.7345,1.2034677734375,1,0.0005
30,320,300,0.7336,1.05330419921875,1,0.0005
31,330,310,0.7411,1.08611875,1,0.0005
32,340,320,0.7227,1.19855869140625,1,0.0005
33,350,330,0.7354,1.11552744140625,1,0.0005
34,360,340,0.7515,1.0070490234375,1,0.0005
35,370,350,0.7513,0.9712345703125,1,0.0005
36,380,360,0.7434,1.0498578125,1,0.0005
37,390,370,0.6819,0.766392919921875,1,0.0005
38,400,380,0.735,0.93816689453125,1,0.0005
39,410,390,0.7506,0.84701162109375,1,0.0005
40,420,400,0.755,0.9926392578125,1,0.0005
41,430,410,0.7545,0.8501943359375,1,0.0005
42,440,420,0.7692,0.87019130859375,1,0.0005
43,450,430,0.7494,0.85174560546875,1,0.0005
44,460,440,0.7587,0.888503515625,1,0.0005
45,470,450,0.7725,0.850444140625,1,0.0005
46,480,460,0.7711,0.87593427734375,1,0.0005
47,490,470,0.7808,0.82972783203125,1,0.0005
48,500,480,0.7578,0.86954794921875,1,0.0005
49,510,490,0.7673,0.8676892578125,1,0.0005
50,520,500,0.7428,0.757982763671875,1,0.0005
51,530,510,0.7611,0.717340625,1,0.0005
52,540,520,0.7577,0.800909765625,1,0.0005
53,550,530,0.7557,0.8501275390625,1,0.0005
54,560,540,0.7727,0.875522265625,1,0.0005
55,570,550,0.7767,0.771286279296875,1,0.0005
56,580,560,0.7651,0.85629453125,1,0.0005
57,590,570,0.7594,0.9274552734375,1,0.0005
58,600,580,0.7541,0.876665234375,1,0.0005
59,610,590,0.762,0.88742177734375,1,0.0005
60,620,600,0.7777,0.791986865234375,1,0.0005
61,630,610,0.7548,0.88759873046875,1,0.0005
62,640,620,0.7609,0.88271181640625,1,0.0005
63,650,630,0.7751,0.721700634765625,1,0.0005
64,660,640,0.7693,0.7258732421875,1,0.0005
65,670,650,0.7647,0.760501708984375,1,0.0005
66,680,660,0.7646,0.84465302734375,1,0.0005
67,690,670,0.7346,0.726603955078125,1,0.0005
68,700,680,0.755,0.785804248046875,1,0.0005
69,710,690,0.7641,0.73504814453125,1,0.0005
70,720,700,0.7786,0.86332470703125,1,0.0005
71,730,710,0.7549,0.8978806640625,1,0.0005
72,740,720,0.7736,0.8958705078125,1,0.0005
73,750,730,0.7504,0.7980703125,1,0.0005
74,760,740,0.7615,0.84698583984375,1,0.0005
75,770,750,0.7575,0.723834716796875,1,0.0005
76,780,760,0.73,0.751888134765625,1,0.0005
77,790,770,0.7576,0.78640302734375,1,0.0005
78,800,780,0.7674,0.702338037109375,1,0.0005
79,810,790,0.7596,0.787589404296875,1,0.0005
80,820,800,0.7593,0.78915166015625,1,0.0005
81,830,810,0.7647,0.91508408203125,1,0.0005
82,840,820,0.7805,0.7792267578125,1,0.0005
83,850,830,0.7458,0.8260455078125,1,0.0005
84,860,840,0.7677,0.83791845703125,1,0.0005
85,870,850,0.7724,0.823805859375,1,0.0005
86,880,860,0.7753,0.754303564453125,1,0.0005
87,890,870,0.7676,0.7981861328125,1,0.0005
88,900,880,0.768,0.64963173828125,1,0.0005
89,910,890,0.767,0.78222509765625,1,0.0005
90,920,900,0.7788,0.750821044921875,1,0.0005
91,930,910,0.7589,0.779774560546875,1,0.0005
92,940,920,0.7309,0.941009375,1,0.0005
93,950,930,0.7697,0.814115478515625,1,0.0005
94,960,940,0.7743,0.7065001953125,1,0.0005
95,970,950,0.7728,0.73926669921875,1,0.0005
96,980,960,0.7627,0.75963916015625,1,0.0005
97,990,970,0.7759,0.752272705078125,1,0.0005
98,1000,980,0.7646,0.801770751953125,1,0.0005
99,1010,990,0.7617,0.818314697265625,1,0.0005
100,1020,1000,0.77,0.769316259765625,1,0.0005
