step,acquired,acquired_from_pool,test_accuracy,test_loss,attempt,weight_decay_used
0,20,0,0.5985,1.2894203125,0,0.0005
1,30,10,0.6235,1.22607685546875,0,0.0005
2,40,20,0.6087,1.20864404296875,0,0.0005
3,50,30,0.6609,1.0118033203125,0,0.0005
4,60,40,0.6369,1.1548013671875,0,0.0005
5,70,50,0.6407,0.9944619140625,0,0.0005
6,80,60,0.6391,1.06327509765625,0,0.0005
7,90,70,0.6821,0.98458876953125,0,0.0005
8,100,80,0.6699,0.956465625,0,0.0005
9,110,90,0.6728,0.891548828125,0,0.0005
10,120,100,0.7065,0.82227685546875,0,0.0005
11,130,110,0.5387,1.308126171875,0,0.0005
12,140,120,0.6816,0.8614724609375,0,0.0005
13,150,130,0.6905,0.8604228515625,0,0.0005
14,160,140,0.6927,0.815332666015625,0,0.0005
15,170,150,0.7092,0.812598388671875,0,0.0005
16,180,160,0.7175,0.756409814453125,0,0.0005
17,190,170,0.7219,0.79511181640625,0,0.0005
18,200,180,0.7233,0.762878271484375,0,0.0005
19,210,190,0.7214,0.78954482421875,0,0.0005
20,220,200,0.7371,0.779715625,0,0.0005
21,230,210,0.7326,0.774199755859375,0,0.0005
22,240,220,0.7312,0.773833251953125,0,0.0005
23,250,230,0.7393,0.759251806640625,0,0.0005
24,260,240,0.729,0.769343896484375,0,0.0005
25,270,250,0.7311,0.725115185546875,0,0.0005
26,280,260,0.7432,0.73273828125,0,0.0005
27,290,270,0.7522,0.744656591796875,0,0.0005
28,300,280,0.7539,0.668655029296875,0,0.0005
29,310,290,0.7507,0.711598974609375,0,0.0005
30,320,300,0.7352,0.72454775390625,0,0.0005
31,330,310,0.7378,0.774023388671875,0,0.0005
32,340,320,0.7338,0.763234716796875,0,0.0005
33,350,330,0.7551,0.716811376953125,0,0.0005
34,360,340,0.7502,0.71224892578125,0,0.0005
35,370,350,0.7547,0.69011923828125,0,0.0005
36,380,360,0.7536,0.6987140625,0,0.0005
37,390,370,0.7603,0.639761572265625,0,0.0005
38,400,380,0.764,0.639557080078125,0,0.0005
39,410,390,0.7632,0.667072900390625,0,0.0005
40,420,400,0.7582,0.718206787109375,0,0.0005
41,430,410,0.7605,0.687536376953125,0,0.0005
42,440,420,0.7593,0.705171923828125,0,0.0005
43,450,430,0.7678,0.714834130859375,0,0.0005
44,460,440,0.7669,0.710915234375,0,0.0005
45,470,450,0.7676,0.694585107421875,0,0.0005
46,480,460,0.7676,0.6538158203125,0,0.0005
47,490,470,0.7661,0.706120458984375,0,0.0005
48,500,480,0.767,0.689034716796875,0,0.0005
49,510,490,0.7738,0.689839111328125,0,0.0005
50,520,500,0.7782,0.644973046875,0,0.0005
51,530,510,0.7581,0.660829833984375,0,0.0005
52,540,520,0.7669,0.6963595703125,0,0.0005
53,550,530,0.7723,0.66881591796875,0,0.0005
54,560,540,0.7745,0.6301798828125,0,0.0005
55,570,550,0.7732,0.6231041015625,0,0.0005
56,580,560,0.7802,0.650943896484375,0,0.0005
57,590,570,0.783,0.606626171875,0,0.0005
58,600,580,0.7753,0.64695478515625,0,0.0005
59,610,590,0.776,0.663738232421875,0,0.0005
60,620,600,0.7853,0.63383974609375,0,0.0005
61,630,610,0.7847,0.61415546875,0,0.0005
62,640,620,0.7911,0.57443125,0,0.0005
63,650,630,0.782,0.607777978515625,0,0.0005
64,660,640,0.7896,0.610262158203125,0,0.0005
65,670,650,0.7862,0.610700146484375,0,0.0005
66,680,660,0.7842,0.650363427734375,0,0.0005
67,690,670,0.7747,0.626434716796875,0,0.0005
68,700,680,0.7877,0.623054052734375,0,0.0005
69,710,690,0.7918,0.591014453125,0,0.0005
70,720,700,0.788,0.574443310546875,0,0.0005
71,730,710,0.7877,0.58636201171875,0,0.0005
72,740,720,0.7907,0.591988330078125,0,0.0005
73,750,730,0.7893,0.618098388671875,0,0.0005
74,760,740,0.789,0.594330126953125,0,0.0005
75,770,750,0.7766,0.6060595703125,0,0.0005
76,780,760,0.7945,0.59331748046875,0,0.0005
77,790,770,0.7944,0.584545068359375,0,0.0005
78,800,780,0.7888,0.600984033203125,0,0.0005
79,810,790,0.7916,0.604522314453125,0,0.0005
80,820,800,0.8011,0.567762353515625,0,0.0005
81,830,810,0.7829,0.579694091796875,0,0.0005
82,840,820,0.7861,0.644245849609375,0,0.0005
83,850,830,0.7933,0.61570849609375,0,0.0005
84,860,840,0.7947,0.57156591796875,0,0.0005
85,870,850,0.7992,0.56427138671875,0,0.0005
86,880,860,0.7945,0.56836650390625,0,0.0005
87,890,870,0.7965,0.5727453125,0,0.0005
88,900,880,0.7914,0.60612978515625,0,0.0005
89,910,890,0.792,0.56654853515625,0,0.0005
90,920,900,0.7924,0.569767626953125,0,0.0005
91,930,910,0.8049,0.5469197265625,0,0.0005
92,940,920,0.7964,0.565891943359375,0,0.0005
93,950,930,0.8078,0.52757294921875,0,0.0005
94,960,940,0.8007,0.551529736328125,0,0.0005
95,970,950,0.8006,0.558157470703125,0,0.0005
96,980,960,0.8031,0.5480701171875,0,0.0005
97,990,970,0.8001,0.5496501953125,0,0.0005
98,1000,980,0.797,0.57231845703125,0,0.0005
99,1010,990,0.8034,0.533554345703125,0,0.0005
100,1020,1000,0.8007,0.5446341796875,0,0.0005
