step,acquired,acquired_from_pool,test_accuracy,test_loss,attempt,weight_decay_used
0,20,0,0.4665,2.0949408203125,2,0.0005
1,30,10,0.5951,1.43511435546875,2,0.0005
2,40,20,0.6146,1.178209375,2,0.0005
3,50,30,0.5861,1.25389013671875,2,0.0005
4,60,40,0.627,1.21865595703125,2,0.0005
5,70,50,0.6259,1.2079533203125,2,0.0005
6,80,60,0.6588,1.095679296875,2,0.0005
7,90,70,0.6629,0.98443310546875,2,0.0005
8,100,80,0.6931,0.9188666015625,2,0.0005
9,110,90,0.6619,0.96896572265625,2,0.0005
10,120,100,0.7061,0.885001171875,2,0.0005
11,130,110,0.6516,0.99024658203125,2,0.0005
12,140,120,0.7187,0.8228501953125,2,0.0005
13,150,130,0.7012,0.925188671875,2,0.0005
14,160,140,0.7253,0.88605888671875,2,0.0005
15,170,150,0.7411,0.82855986328125,2,0.0005
16,180,160,0.7216,0.89973564453125,2,0.0005
17,190,170,0.7266,0.84460419921875,2,0.0005
18,200,180,0.7265,0.89100322265625,2,0.0005
19,210,190,0.7349,0.84950546875,2,0.0005
20,220,200,0.7368,0.810106494140625,2,0.0005
21,230,210,0.737,0.798972705078125,2,0.0005
22,240,220,0.7375,0.798117041015625,2,0.0005
23,250,230,0.7411,0.776437109375,2,0.0005
24,260,240,0.732,0.751239404296875,2,0.0005
25,270,250,0.7521,0.730078271484375,2,0.0005
26,280,260,0.7525,0.741690283203125,2,0.0005
27,290,270,0.7439,0.7849869140625,2,0.0005
28,300,280,0.7462,0.8241541015625,2,0.0005
29,310,290,0.7543,0.78577021484375,2,0.0005
30,320,300,0.7553,0.77539345703125,2,0.0005
31,330,310,0.7623,0.766791796875,2,0.0005
32,340,320,0.7566,0.79008779296875,2,0.0005
33,350,330,0.7528,0.7466294921875,2,0.0005
34,360,340,0.7655,0.73827333984375,2,0.0005
35,370,350,0.7652,0.72002041015625,2,0.0005
36,380,360,0.7655,0.74809462890625,2,0.0005
37,390,370,0.7619,0.68703642578125,2,0.0005
38,400,380,0.7419,0.745129345703125,2,0.0005
39,410,390,0.7686,0.732960791015625,2,0.0005
40,420,400,0.7697,0.698196875,2,0.0005
41,430,410,0.7835,0.6829798828125,2,0.0005
42,440,420,0.7734,0.690436865234375,2,0.0005
43,450,430,0.7672,0.7187625,2,0.0005
44,460,440,0.7734,0.69542841796875,2,0.0005
45,470,450,0.7792,0.662642236328125,2,0.0005
46,480,460,0.778,0.665161181640625,2,0.0005
47,490,470,0.7743,0.6848705078125,2,0.0005
48,500,480,0.7817,0.661001953125,2,0.0005
49,510,490,0.7789,0.668928515625,2,0.0005
50,520,500,0.7811,0.642978857421875,2,0.0005
51,530,510,0.7878,0.621112255859375,2,0.0005
52,540,520,0.7902,0.612474462890625,2,0.0005
53,550,530,0.7926,0.622278271484375,2,0.0005
54,560,540,0.7984,0.594653125,2,0.0005
55,570,550,0.8029,0.598436376953125,2,0.0005
56,580,560,0.8011,0.5928177734375,2,0.0005
57,590,570,0.7926,0.6265037109375,2,0.0005
58,600,580,0.7955,0.620122314453125,2,0.0005
59,610,590,0.7974,0.63186953125,2,0.0005
60,620,600,0.7939,0.62427939453125,2,0.0005
61,630,610,0.8008,0.609740380859375,2,0.0005
62,640,620,0.7911,0.636289306640625,2,0.0005
63,650,630,0.8051,0.5713951171875,2,0.0005
64,660,640,0.7947,0.608689501953125,2,0.0005
65,670,650,0.7998,0.589979150390625,2,0.0005
66,680,660,0.8005,0.610841748046875,2,0.0005
67,690,670,0.7928,0.629981298828125,2,0.0005
68,700,680,0.8019,0.59119521484375,2,0.0005
69,710,690,0.7983,0.5925056640625,2,0.0005
70,720,700,0.805,0.585648583984375,2,0.0005
71,730,710,0.793,0.644506396484375,2,0.0005
72,740,720,0.806,0.587862646484375,2,0.0005
73,750,730,0.8097,0.56868525390625,2,0.0005
74,760,740,0.8069,0.585967626953125,2,0.0005
75,770,750,0.7914,0.590093310546875,2,0.0005
76,780,760,0.8153,0.566083642578125,2,0.0005
77,790,770,0.8111,0.5646564453125,2,0.0005
78,800,780,0.8172,0.553847802734375,2,0.0005
79,810,790,0.7985,0.622313427734375,2,0.0005
80,820,800,0.8144,0.55919013671875,2,0.0005
81,830,810,0.8222,0.558523388671875,2,0.0005
82,840,820,0.8177,0.572111669921875,2,0.0005
83,850,830,0.8147,0.575666845703125,2,0.0005
84,860,840,0.8117,0.565833935546875,2,0.0005
85,870,850,0.8151,0.562891650390625,2,0.0005
86,880,860,0.8188,0.55640380859375,2,0.0005
87,890,870,0.821,0.558659130859375,2,0.0005
88,900,880,0.8108,0.547345703125,2,0.0005
89,910,890,0.8267,0.530331591796875,2,0.0005
90,920,900,0.8206,0.54375888671875,2,0.0005
91,930,910,0.8287,0.5401833984375,2,0.0005
92,940,920,0.8353,0.512876904296875,2,0.0005
93,950,930,0.8301,0.540620068359375,2,0.0005
94,960,940,0.826,0.545897314453125,2,0.0005
95,970,950,0.8282,0.542813671875,2,0.0005
96,980,960,0.8274,0.52694912109375,2,0.0005
97,990,970,0.8229,0.52466103515625,2,0.0005
98,1000,980,0.8256,0.540245751953125,2,0.0005
99,1010,990,0.8232,0.544953466796875,2,0.0005
100,1020,1000,0.829,0.5327109375,2,0.0005
