step,acquired,acquired_from_pool,test_accuracy,test_loss,attempt,weight_decay_used
0,20,0,0.4665,2.0949408203125,2,0.0005
1,30,10,0.5363,1.617983984375,2,0.0005
2,40,20,0.5554,1.53945966796875,2,0.0005
3,50,30,0.5439,1.53421484375,2,0.0005
4,60,40,0.5738,1.21796064453125,2,0.0005
5,70,50,0.5704,1.2526279296875,2,0.0005
6,80,60,0.6016,1.18865361328125,2,0.0005
7,90,70,0.5826,1.31298955078125,2,0.0005
8,100,80,0.6226,1.158523828125,2,0.0005
9,110,90,0.6048,1.2348955078125,2,0.0005
10,120,100,0.6328,1.079501171875,2,0.0005
11,130,110,0.3521,1.50656591796875,2,0.0005
12,140,120,0.5748,1.155884375,2,0.0005
13,150,130,0.6073,1.0475056640625,2,0.0005
14,160,140,0.5858,1.14348447265625,2,0.0005
15,170,150,0.5762,1.13120361328125,2,0.0005
16,180,160,0.6041,1.0587029296875,2,0.0005
17,190,170,0.6048,1.10847294921875,2,0.0005
18,200,180,0.617,1.00891259765625,2,0.0005
19,210,190,0.6051,1.1188330078125,2,0.0005
20,220,200,0.6442,0.9874705078125,2,0.0005
21,230,210,0.6264,0.99052578125,2,0.0005
22,240,220,0.6469,1.006463671875,2,0.0005
23,250,230,0.6512,0.95517646484375,2,0.0005
24,260,240,0.5062,1.16841953125,2,0.0005
25,270,250,0.6348,0.99352646484375,2,0.0005
26,280,260,0.6565,0.93852431640625,2,0.0005
27,290,270,0.6953,0.8454396484375,2,0.0005
28,300,280,0.6977,0.82188212890625,2,0.0005
29,310,290,0.6726,0.8965064453125,2,0.0005
30,320,300,0.6597,0.8624005859375,2,0.0005
31,330,310,0.6325,0.9930845703125,2,0.0005
32,340,320,0.6836,0.84365068359375,2,0.0005
33,350,330,0.6685,0.91639658203125,2,0.0005
34,360,340,0.6729,0.87046328125,2,0.0005
35,370,350,0.7012,0.836285546875,2,0.0005
36,380,360,0.7009,0.8247603515625,2,0.0005
37,390,370,0.65,0.8729837890625,2,0.0005
38,400,380,0.7225,0.7444287109375,2,0.0005
39,410,390,0.6724,0.86643984375,2,0.0005
40,420,400,0.669,0.87462705078125,2,0.0005
41,430,410,0.6817,0.88396337890625,2,0.0005
42,440,420,0.7061,0.839437890625,2,0.0005
43,450,430,0.6749,0.8793953125,2,0.0005
44,460,440,0.7328,0.726477392578125,2,0.0005
45,470,450,0.7376,0.70930986328125,2,0.0005
46,480,460,0.7439,0.720135546875,2,0.0005
47,490,470,0.7546,0.689070166015625,2,0.0005
48,500,480,0.7381,0.718394677734375,2,0.0005
49,510,490,0.7428,0.7135271484375,2,0.0005
50,520,500,0.7468,0.688641943359375,2,0.0005
51,530,510,0.7378,0.71024482421875,2,0.0005
52,540,520,0.7375,0.7647220703125,2,0.0005
53,550,530,0.7299,0.76289619140625,2,0.0005
54,560,540,0.7418,0.71461884765625,2,0.0005
55,570,550,0.752,0.6959123046875,2,0.0005
56,580,560,0.7607,0.668873046875,2,0.0005
57,590,570,0.7486,0.726223828125,2,0.0005
58,600,580,0.7242,0.773373046875,2,0.0005
59,610,590,0.7394,0.71596435546875,2,0.0005
60,620,600,0.7576,0.675989306640625,2,0.0005
61,630,610,0.7677,0.653034228515625,2,0.0005
62,640,620,0.7688,0.6591919921875,2,0.0005
63,650,630,0.7574,0.675324853515625,2,0.0005
64,660,640,0.7675,0.648573681640625,2,0.0005
65,670,650,0.7734,0.628048486328125,2,0.0005
66,680,660,0.7698,0.6645134765625,2,0.0005
67,690,670,0.7512,0.68065380859375,2,0.0005
68,700,680,0.7749,0.63170009765625,2,0.0005
69,710,690,0.777,0.651170361328125,2,0.0005
70,720,700,0.7787,0.613645556640625,2,0.0005
71,730,710,0.7779,0.631868310546875,2,0.0005
72,740,720,0.78,0.63563583984375,2,0.0005
73,750,730,0.7796,0.616521826171875,2,0.0005
74,760,740,0.7774,0.63174072265625,2,0.0005
75,770,750,0.7834,0.6032677734375,2,0.0005
76,780,760,0.7905,0.60356337890625,2,0.0005
77,790,770,0.7836,0.603336279296875,2,0.0005
78,800,780,0.7881,0.61029638671875,2,0.0005
79,810,790,0.798,0.576397705078125,2,0.0005
80,820,800,0.7986,0.56675048828125,2,0.0005
81,830,810,0.7904,0.596567431640625,2,0.0005
82,840,820,0.7854,0.59024208984375,2,0.0005
83,850,830,0.7933,0.58930244140625,2,0.0005
84,860,840,0.7915,0.593402099609375,2,0.0005
85,870,850,0.7988,0.57697080078125,2,0.0005
86,880,860,0.7707,0.613020458984375,2,0.0005
87,890,870,0.7799,0.573965576171875,2,0.0005
88,900,880,0.7796,0.60591865234375,2,0.0005
89,910,890,0.7898,0.600924609375,2,0.0005
90,920,900,0.7943,0.59836669921875,2,0.0005
91,930,910,0.7874,0.580173388671875,2,0.0005
92,940,920,0.7924,0.55723779296875,2,0.0005
93,950,930,0.7964,0.56371484375,2,0.0005
94,960,940,0.8,0.5833787109375,2,0.0005
95,970,950,0.7902,0.584958544921875,2,0.0005
96,980,960,0.7826,0.60822451171875,2,0.0005
97,990,970,0.7644,0.61979755859375,2,0.0005
98,1000,980,0.8018,0.55695693359375,2,0.0005
99,1010,990,0.7795,0.592590673828125,2,0.0005
100,1020,1000,0.7907,0.568853271484375,2,0.0005
