step,acquired,acquired_from_pool,test_accuracy,test_loss,attempt,weight_decay_used
0,20,0,0.4626,3.04551640625,2,0.0005
1,30,10,0.521,2.912660546875,2,0.0005
2,40,20,0.5095,3.14124296875,2,0.0005
3,50,30,0.5296,2.6687919921875,2,0.0005
4,60,40,0.5702,1.9523275390625,2,0.0005
5,70,50,0.6027,1.8062201171875,2,0.0005
6,80,60,0.6171,1.7502048828125,2,0.0005
7,90,70,0.6401,1.49962802734375,2,0.0005
8,100,80,0.6249,1.8575455078125,2,0.0005
9,110,90,0.6242,1.52101220703125,2,0.0005
10,120,100,0.6503,1.3994115234375,2,0.0005
11,130,110,0.5028,1.489684375,2,0.0005
12,140,120,0.6491,1.11221298828125,2,0.0005
13,150,130,0.649,1.27830888671875,2,0.0005
14,160,140,0.6493,1.23959912109375,2,0.0005
15,170,150,0.6671,1.319538671875,2,0.0005
16,180,160,0.6763,1.174430078125,2,0.0005
17,190,170,0.6598,1.3777115234375,2,0.0005
18,200,180,0.6645,1.40787841796875,2,0.0005
19,210,190,0.6403,1.6575078125,2,0.0005
20,220,200,0.6497,1.51931044921875,2,0.0005
21,230,210,0.6522,1.58580791015625,2,0.0005
22,240,220,0.6533,1.663095703125,2,0.0005
23,250,230,0.6535,1.490662890625,2,0.0005
24,260,240,0.6052,0.88994169921875,2,0.0005
25,270,250,0.6854,1.01379853515625,2,0.0005
26,280,260,0.664,1.2787244140625,2,0.0005
27,290,270,0.712,1.1096,2,0.0005
28,300,280,0.7108,1.00907734375,2,0.0005
29,310,290,0.712,1.150921875,2,0.0005
30,320,300,0.7181,0.87558017578125,2,0.0005
31,330,310,0.7214,1.21835654296875,2,0.0005
32,340,320,0.7055,1.1541947265625,2,0.0005
33,350,330,0.7011,1.213766796875,2,0.0005
34,360,340,0.7085,1.10531220703125,2,0.0005
35,370,350,0.7226,1.178665625,2,0.0005
36,380,360,0.7172,0.99064345703125,2,0.0005
37,390,370,0.719,0.727566015625,2,0.0005
38,400,380,0.7228,0.84043857421875,2,0.0005
39,410,390,0.7387,0.9496640625,2,0.0005
40,420,400,0.7468,0.8608669921875,2,0.0005
41,430,410,0.7266,0.93276982421875,2,0.0005
42,440,420,0.7198,0.99805263671875,2,0.0005
43,450,430,0.7343,0.995758984375,2,0.0005
44,460,440,0.7428,0.8706953125,2,0.0005
45,470,450,0.7516,0.9157771484375,2,0.0005
46,480,460,0.7295,0.91752197265625,2,0.0005
47,490,470,0.7299,0.93713525390625,2,0.0005
48,500,480,0.742,1.1172037109375,2,0.0005
49,510,490,0.757,0.88343046875,2,0.0005
50,520,500,0.7485,0.717999658203125,2,0.0005
51,530,510,0.7492,0.784461181640625,2,0.0005
52,540,520,0.7548,0.812554345703125,2,0.0005
53,550,530,0.7359,0.8221541015625,2,0.0005
54,560,540,0.7481,0.9269326171875,2,0.0005
55,570,550,0.7553,0.92131806640625,2,0.0005
56,580,560,0.7504,0.938855859375,2,0.0005
57,590,570,0.7588,0.8547439453125,2,0.0005
58,600,580,0.7561,0.867826953125,2,0.0005
59,610,590,0.7724,0.88394912109375,2,0.0005
60,620,600,0.7792,0.83076396484375,2,0.0005
61,630,610,0.769,0.799422509765625,2,0.0005
62,640,620,0.7587,0.785094921875,2,0.0005
63,650,630,0.755,0.739507861328125,2,0.0005
64,660,640,0.7593,0.70563837890625,2,0.0005
65,670,650,0.7725,0.704031005859375,2,0.0005
66,680,660,0.7695,0.689614990234375,2,0.0005
67,690,670,0.7635,0.643895556640625,2,0.0005
68,700,680,0.7611,0.76067880859375,2,0.0005
69,710,690,0.7691,0.7920513671875,2,0.0005
70,720,700,0.75,0.92331796875,2,0.0005
71,730,710,0.7626,0.74646396484375,2,0.0005
72,740,720,0.767,0.7632560546875,2,0.0005
73,750,730,0.7739,0.738320263671875,2,0.0005
74,760,740,0.7723,0.748257470703125,2,0.0005
75,770,750,0.7097,0.76018525390625,2,0.0005
76,780,760,0.7628,0.67406162109375,2,0.0005
77,790,770,0.7691,0.731568505859375,2,0.0005
78,800,780,0.7906,0.687185009765625,2,0.0005
79,810,790,0.7716,0.774202294921875,2,0.0005
80,820,800,0.7809,0.744536767578125,2,0.0005
81,830,810,0.7755,0.763445263671875,2,0.0005
82,840,820,0.7667,0.817311328125,2,0.0005
83,850,830,0.7815,0.832509765625,2,0.0005
84,860,840,0.7662,0.846377734375,2,0.0005
85,870,850,0.7776,0.69629501953125,2,0.0005
86,880,860,0.7861,0.813720703125,2,0.0005
87,890,870,0.7714,0.75675341796875,2,0.0005
88,900,880,0.7744,0.645221240234375,2,0.0005
89,910,890,0.783,0.695310693359375,2,0.0005
90,920,900,0.7791,0.79626298828125,2,0.0005
91,930,910,0.7853,0.707746533203125,2,0.0005
92,940,920,0.7788,0.776958251953125,2,0.0005
93,950,930,0.7805,0.738404931640625,2,0.0005
94,960,940,0.7727,0.83225185546875,2,0.0005
95,970,950,0.7863,0.7506505859375,2,0.0005
96,980,960,0.7746,0.78663623046875,2,0.0005
97,990,970,0.785,0.677476025390625,2,0.0005
98,1000,980,0.7666,0.734370703125,2,0.0005
99,1010,990,0.7885,0.752100439453125,2,0.0005
100,1020,1000,0.776,0.730321240234375,2,0.0005
