step,acquired,acquired_from_pool,test_accuracy,test_loss,attempt,weight_decay_used
0,20,0,0.4677,2.0664875,2,0.0005
1,30,10,0.5012,1.6987076171875,2,0.0005
2,40,20,0.5728,1.28964560546875,2,0.0005
3,50,30,0.6092,1.39033779296875,2,0.0005
4,60,40,0.643,1.12517880859375,2,0.0005
5,70,50,0.6403,1.12148095703125,2,0.0005
6,80,60,0.6589,1.15017001953125,2,0.0005
7,90,70,0.6556,1.03184765625,2,0.0005
8,100,80,0.6696,1.1032626953125,2,0.0005
9,110,90,0.6592,1.0540921875,2,0.0005
10,120,100,0.6779,0.97574482421875,2,0.0005
11,130,110,0.5382,1.16995166015625,2,0.0005
12,140,120,0.6773,0.954634375,2,0.0005
13,150,130,0.7118,0.84112861328125,2,0.0005
14,160,140,0.715,0.871807421875,2,0.0005
15,170,150,0.7035,0.842880078125,2,0.0005
16,180,160,0.7053,0.8546591796875,2,0.0005
17,190,170,0.7234,0.8474560546875,2,0.0005
18,200,180,0.7085,0.8894677734375,2,0.0005
19,210,190,0.7191,0.86925859375,2,0.0005
20,220,200,0.7336,0.779181982421875,2,0.0005
21,230,210,0.7327,0.80740390625,2,0.0005
22,240,220,0.7445,0.76419970703125,2,0.0005
23,250,230,0.7352,0.810684326171875,2,0.0005
24,260,240,0.7306,0.80885,2,0.0005
25,270,250,0.7466,0.77187216796875,2,0.0005
26,280,260,0.7453,0.817071240234375,2,0.0005
27,290,270,0.7533,0.721394140625,2,0.0005
28,300,280,0.7326,0.790354248046875,2,0.0005
29,310,290,0.7573,0.761320556640625,2,0.0005
30,320,300,0.7608,0.8202625,2,0.0005
31,330,310,0.7603,0.790949853515625,2,0.0005
32,340,320,0.7656,0.73129326171875,2,0.0005
33,350,330,0.7666,0.784733203125,2,0.0005
34,360,340,0.7656,0.703858154296875,2,0.0005
35,370,350,0.7573,0.76952109375,2,0.0005
36,380,360,0.7668,0.7620818359375,2,0.0005
37,390,370,0.761,0.682019970703125,2,0.0005
38,400,380,0.7442,0.716162109375,2,0.0005
39,410,390,0.7555,0.706176953125,2,0.0005
40,420,400,0.7595,0.700544189453125,2,0.0005
41,430,410,0.76,0.7440927734375,2,0.0005
42,440,420,0.7488,0.77928779296875,2,0.0005
43,450,430,0.7674,0.73800986328125,2,0.0005
44,460,440,0.7513,0.705845751953125,2,0.0005
45,470,450,0.7507,0.7522841796875,2,0.0005
46,480,460,0.7578,0.7287353515625,2,0.0005
47,490,470,0.7611,0.70933232421875,2,0.0005
48,500,480,0.7786,0.683169921875,2,0.0005
49,510,490,0.7665,0.684113037109375,2,0.0005
50,520,500,0.767,0.667621533203125,2,0.0005
51,530,510,0.7496,0.665051220703125,2,0.0005
52,540,520,0.7709,0.662312353515625,2,0.0005
53,550,530,0.7753,0.678119140625,2,0.0005
54,560,540,0.7631,0.713190966796875,2,0.0005
55,570,550,0.7731,0.6711935546875,2,0.0005
56,580,560,0.7815,0.669254345703125,2,0.0005
57,590,570,0.7768,0.690449267578125,2,0.0005
58,600,580,0.7703,0.699578955078125,2,0.0005
59,610,590,0.7729,0.681283349609375,2,0.0005
60,620,600,0.7673,0.680302978515625,2,0.0005
61,630,610,0.7683,0.6788298828125,2,0.0005
62,640,620,0.7774,0.69648828125,2,0.0005
63,650,630,0.7757,0.662800439453125,2,0.0005
64,660,640,0.7859,0.616740966796875,2,0.0005
65,670,650,0.7679,0.706181201171875,2,0.0005
66,680,660,0.7637,0.67913623046875,2,0.0005
67,690,670,0.7747,0.68662158203125,2,0.0005
68,700,680,0.7744,0.677783154296875,2,0.0005
69,710,690,0.77,0.63475087890625,2,0.0005
70,720,700,0.7787,0.619261865234375,2,0.0005
71,730,710,0.7601,0.692016015625,2,0.0005
72,740,720,0.7835,0.58273193359375,2,0.0005
73,750,730,0.785,0.622516357421875,2,0.0005
74,760,740,0.781,0.605169921875,2,0.0005
75,770,750,0.7755,0.63132548828125,2,0.0005
76,780,760,0.7881,0.578867041015625,2,0.0005
77,790,770,0.7787,0.60690595703125,2,0.0005
78,800,780,0.7878,0.645470849609375,2,0.0005
79,810,790,0.7839,0.586392822265625,2,0.0005
80,820,800,0.7795,0.632391064453125,2,0.0005
81,830,810,0.7873,0.63397119140625,2,0.0005
82,840,820,0.7966,0.5575830078125,2,0.0005
83,850,830,0.7957,0.5680951171875,2,0.0005
84,860,840,0.7992,0.55132216796875,2,0.0005
85,870,850,0.7825,0.600413671875,2,0.0005
86,880,860,0.7969,0.56598369140625,2,0.0005
87,890,870,0.7878,0.618590673828125,2,0.0005
88,900,880,0.7821,0.58747412109375,2,0.0005
89,910,890,0.7695,0.61135244140625,2,0.0005
90,920,900,0.7879,0.580259521484375,2,0.0005
91,930,910,0.7865,0.6035435546875,2,0.0005
92,940,920,0.7824,0.597367626953125,2,0.0005
93,950,930,0.8021,0.548172314453125,2,0.0005
94,960,940,0.794,0.57740654296875,2,0.0005
95,970,950,0.805,0.537132568359375,2,0.0005
96,980,960,0.791,0.600208203125,2,0.0005
97,990,970,0.7946,0.573300439453125,2,0.0005
98,1000,980,0.7967,0.56162197265625,2,0.0005
99,1010,990,0.8083,0.534469970703125,2,0.0005
100,1020,1000,0.7993,0.552843896484375,2,0.0005
