step,acquired,acquired_from_pool,test_accuracy,test_loss,attempt,weight_decay_used
0,20,0,0.5291,2.3221955078125,1,0.0001
1,30,10,0.5678,1.80305,1,0.0001
2,40,20,0.6194,1.6744595703125,1,0.0001
3,50,30,0.598,2.0833310546875,1,0.0001
4,60,40,0.614,1.8332703125,1,0.0001
5,70,50,0.5992,1.757771875,1,0.0001
6,80,60,0.6336,1.6542041015625,1,0.0001
7,90,70,0.6361,1.54398134765625,1,0.0001
8,100,80,0.6343,1.40740625,1,0.0001
9,110,90,0.6424,1.4223080078125,1,0.0001
10,120,100,0.6338,1.6896681640625,1,0.0001
11,130,110,0.6609,1.22980712890625,1,0.0001
12,140,120,0.6618,1.2806228515625,1,0.0001
13,150,130,0.6819,1.20246923828125,1,0.0001
14,160,140,0.6689,1.27651552734375,1,0.0001
15,170,150,0.6783,1.3393984375,1,0.0001
16,180,160,0.6862,1.09422568359375,1,0.0001
17,190,170,0.703,1.14682724609375,1,0.0001
18,200,180,0.6846,1.20318603515625,1,0.0001
19,210,190,0.6824,1.1209794921875,1,0.0001
20,220,200,0.6928,1.16234931640625,1,0.0001
21,230,210,0.6875,1.16391572265625,1,0.0001
22,240,220,0.6869,1.05824638671875,1,0.0001
23,250,230,0.6872,1.136425,1,0.0001
24,260,240,0.6514,1.07242236328125,1,0.0001
25,270,250,0.678,1.04505615234375,1,0.0001
26,280,260,0.6844,0.98900263671875,1,0.0001
27,290,270,0.6727,1.1360544921875,1,0.0001
28,300,280,0.6912,1.0191173828125,1,0.0001
29,310,290,0.709,0.92611650390625,1,0.0001
30,320,300,0.725,1.0632802734375,1,1e-06
31,330,310,0.7277,0.958626171875,1,1e-06
32,340,320,0.7062,1.03074580078125,1,1e-06
33,350,330,0.7217,0.94016533203125,1,1e-06
34,360,340,0.7287,1.02732900390625,1,1e-06
35,370,350,0.7441,0.9278173828125,1,1e-06
36,380,360,0.7279,0.9162703125,1,1e-06
37,390,370,0.7254,1.03202802734375,1,1e-06
38,400,380,0.7321,0.9567087890625,1,1e-06
39,410,390,0.7336,0.95399814453125,1,1e-06
40,420,400,0.727,0.97833349609375,1,1e-06
41,430,410,0.7312,0.88754580078125,1,1e-06
42,440,420,0.7292,1.0238580078125,1,1e-06
43,450,430,0.7416,0.9980625,1,1e-06
44,460,440,0.7454,0.90780849609375,1,1e-06
45,470,450,0.7398,0.90645888671875,1,1e-06
46,480,460,0.7357,0.9390765625,1,1e-06
47,490,470,0.7514,0.86758447265625,1,1e-06
48,500,480,0.7302,1.06363505859375,1,1e-06
49,510,490,0.7216,0.9965857421875,1,1e-06
50,520,500,0.7097,0.781032080078125,1,1e-06
51,530,510,0.7371,0.87188056640625,1,1e-06
52,540,520,0.7466,0.801685791015625,1,1e-06
53,550,530,0.7407,0.90875859375,1,1e-06
54,560,540,0.7519,0.873019921875,1,1e-06
55,570,550,0.7419,1.00599306640625,1,1e-06
56,580,560,0.7412,0.940081640625,1,1e-06
57,590,570,0.7228,1.25258115234375,1,1e-06
58,600,580,0.7483,1.0404212890625,1,1e-06
59,610,590,0.7423,1.094213671875,1,1e-06
60,620,600,0.7485,0.9886607421875,1,1e-06
61,630,610,0.742,1.091962109375,1,1e-06
62,640,620,0.76,0.97089951171875,1,1e-06
63,650,630,0.7513,0.96823701171875,1,1e-06
64,660,640,0.7532,0.92683955078125,1,1e-06
65,670,650,0.7601,0.96618623046875,1,1e-06
66,680,660,0.767,0.95556474609375,1,1e-06
67,690,670,0.7624,0.91803193359375,1,1e-06
68,700,680,0.7685,0.91892421875,1,1e-06
69,710,690,0.7592,0.89114580078125,1,1e-06
70,720,700,0.7637,0.86777001953125,1,1e-06
71,730,710,0.7684,0.86434619140625,1,1e-06
72,740,720,0.7673,0.9243119140625,1,1e-06
73,750,730,0.7598,0.97602041015625,1,1e-06
74,760,740,0.7512,0.94423603515625,1,1e-06
75,770,750,0.7566,0.755068701171875,1,1e-06
76,780,760,0.7525,0.806036083984375,1,1e-06
77,790,770,0.7531,0.82800361328125,1,1e-06
78,800,780,0.7646,0.800906884765625,1,1e-06
79,810,790,0.7598,0.8024408203125,1,1e-06
80,820,800,0.747,0.9681345703125,1,1e-06
81,830,810,0.7692,0.9062357421875,1,1e-06
82,840,820,0.7597,0.85585986328125,1,1e-06
83,850,830,0.7736,0.879308203125,1,1e-06
84,860,840,0.7657,0.9256609375,1,1e-06
85,870,850,0.7689,0.9683728515625,1,1e-06
86,880,860,0.7726,0.8745642578125,1,1e-06
87,890,870,0.7624,0.88794189453125,1,1e-06
88,900,880,0.7691,0.8328228515625,1,1e-06
89,910,890,0.7748,0.876630859375,1,1e-06
90,920,900,0.7715,0.82100703125,1,0.0001
91,930,910,0.7709,0.8411330078125,1,0.0001
92,940,920,0.7796,0.81097919921875,1,0.0001
93,950,930,0.7673,0.859555078125,1,0.0001
94,960,940,0.7669,0.86815703125,1,0.0001
95,970,950,0.7787,0.78291728515625,1,0.0001
96,980,960,0.7703,0.95435751953125,1,0.0001
97,990,970,0.7838,0.78410263671875,1,0.0001
98,1000,980,0.779,0.84414228515625,1,0.0001
99,1010,990,0.7708,0.757865966796875,1,0.0001
100,1020,1000,0.7732,0.83247578125,1,0.0001
