step,acquired,acquired_from_pool,test_accuracy,test_loss,attempt,weight_decay_used
0,20,0,0.5983,1.3154541015625,0,0.0005
1,30,10,0.6321,1.16449150390625,0,0.0005
2,40,20,0.6472,1.0548703125,0,0.0005
3,50,30,0.6557,0.9848259765625,0,0.0005
4,60,40,0.6496,0.9640943359375,0,0.0005
5,70,50,0.63,1.07942861328125,0,0.0005
6,80,60,0.6612,0.9984859375,0,0.0005
7,90,70,0.672,0.9537451171875,0,0.0005
8,100,80,0.6685,0.963354296875,0,0.0005
9,110,90,0.6475,1.07035810546875,0,0.0005
10,120,100,0.648,0.99590224609375,0,0.0005
11,130,110,0.5052,1.39162041015625,0,0.0005
12,140,120,0.6344,1.0409275390625,0,0.0005
13,150,130,0.6631,1.03175107421875,0,0.0005
14,160,140,0.6358,1.102559375,0,0.0005
15,170,150,0.6894,0.92954501953125,0,0.0005
16,180,160,0.6705,0.97096220703125,0,0.0005
17,190,170,0.6793,0.99500830078125,0,0.0005
18,200,180,0.6831,0.959742578125,0,0.0005
19,210,190,0.6896,0.99258388671875,0,0.0005
20,220,200,0.6726,0.98329921875,0,0.0005
21,230,210,0.6621,1.025699609375,0,0.0005
22,240,220,0.6807,0.8866865234375,0,0.0005
23,250,230,0.686,0.9059185546875,0,0.0005
24,260,240,0.6238,0.98725439453125,0,0.0005
25,270,250,0.6628,0.8947513671875,0,0.0005
26,280,260,0.6618,0.94482744140625,0,0.0005
27,290,270,0.6375,0.985298828125,0,0.0005
28,300,280,0.685,0.89710244140625,0,0.0005
29,310,290,0.6546,0.916712109375,0,0.0005
30,320,300,0.7107,0.816392041015625,0,0.0005
31,330,310,0.7058,0.82771962890625,0,0.0005
32,340,320,0.7156,0.83199091796875,0,0.0005
33,350,330,0.7156,0.818427880859375,0,0.0005
34,360,340,0.743,0.742142333984375,0,0.0005
35,370,350,0.7228,0.756834521484375,0,0.0005
36,380,360,0.742,0.72276796875,0,0.0005
37,390,370,0.6772,0.80794853515625,0,0.0005
38,400,380,0.7328,0.72743388671875,0,0.0005
39,410,390,0.7421,0.71677841796875,0,0.0005
40,420,400,0.7209,0.792713037109375,0,0.0005
41,430,410,0.6987,0.803891259765625,0,0.0005
42,440,420,0.7484,0.69905166015625,0,0.0005
43,450,430,0.7325,0.7363330078125,0,0.0005
44,460,440,0.7473,0.7233119140625,0,0.0005
45,470,450,0.7449,0.701622265625,0,0.0005
46,480,460,0.7362,0.741084423828125,0,0.0005
47,490,470,0.758,0.690982373046875,0,0.0005
48,500,480,0.7266,0.7316298828125,0,0.0005
49,510,490,0.7377,0.70551416015625,0,0.0005
50,520,500,0.7232,0.744969580078125,0,0.0005
51,530,510,0.7093,0.746975634765625,0,0.0005
52,540,520,0.7627,0.670347265625,0,0.0005
53,550,530,0.7604,0.65998271484375,0,0.0005
54,560,540,0.7505,0.681724365234375,0,0.0005
55,570,550,0.7461,0.672146044921875,0,0.0005
56,580,560,0.713,0.754835205078125,0,0.0005
57,590,570,0.7573,0.65475703125,0,0.0005
58,600,580,0.7478,0.689785205078125,0,0.0005
59,610,590,0.7321,0.696539404296875,0,0.0005
60,620,600,0.7847,0.6285970703125,0,0.0005
61,630,610,0.7815,0.634156640625,0,0.0005
62,640,620,0.7869,0.624095263671875,0,0.0005
63,650,630,0.731,0.68740146484375,0,0.0005
64,660,640,0.7782,0.622293603515625,0,0.0005
65,670,650,0.7688,0.6355453125,0,0.0005
66,680,660,0.7823,0.6282443359375,0,0.0005
67,690,670,0.7571,0.681320263671875,0,0.0005
68,700,680,0.7601,0.633600244140625,0,0.0005
69,710,690,0.7711,0.6590931640625,0,0.0005
70,720,700,0.7358,0.676607177734375,0,0.0005
71,730,710,0.762,0.6581544921875,0,0.0005
72,740,720,0.7606,0.646091796875,0,0.0005
73,750,730,0.7785,0.6208380859375,0,0.0005
74,760,740,0.7705,0.619195166015625,0,0.0005
75,770,750,0.759,0.6831662109375,0,0.0005
76,780,760,0.7264,0.697677294921875,0,0.0005
77,790,770,0.7022,0.730611328125,0,0.0005
78,800,780,0.7656,0.62742060546875,0,0.0005
79,810,790,0.7406,0.659275439453125,0,0.0005
80,820,800,0.7675,0.635922021484375,0,0.0005
81,830,810,0.7555,0.659412060546875,0,0.0005
82,840,820,0.782,0.6269537109375,0,0.0005
83,850,830,0.743,0.64386455078125,0,0.0005
84,860,840,0.7778,0.608538134765625,0,0.0005
85,870,850,0.7284,0.656464501953125,0,0.0005
86,880,860,0.7732,0.61002001953125,0,0.0005
87,890,870,0.7829,0.602714013671875,0,0.0005
88,900,880,0.7718,0.62084677734375,0,0.0005
89,910,890,0.7947,0.57094541015625,0,0.0005
90,920,900,0.7856,0.57874873046875,0,0.0005
91,930,910,0.7769,0.588222314453125,0,0.0005
92,940,920,0.7913,0.575309033203125,0,0.0005
93,950,930,0.7971,0.567118701171875,0,0.0005
94,960,940,0.7917,0.572751416015625,0,0.0005
95,970,950,0.7855,0.587130712890625,0,0.0005
96,980,960,0.7831,0.589294091796875,0,0.0005
97,990,970,0.795,0.55823115234375,0,0.0005
98,1000,980,0.7902,0.567857080078125,0,0.0005
99,1010,990,0.7753,0.598778173828125,0,0.0005
100,1020,1000,0.7943,0.577244384765625,0,0.0005
