step,acquired,acquired_from_pool,test_accuracy,test_loss,attempt,weight_decay_used
0,20,0,0.5291,2.3221955078125,1,0.0001
1,30,10,0.5595,2.01565078125,1,0.0001
2,40,20,0.6268,1.7512712890625,1,0.0001
3,50,30,0.6608,1.50612158203125,1,0.0001
4,60,40,0.6536,1.6989419921875,1,0.0001
5,70,50,0.6776,1.45246884765625,1,0.0001
6,80,60,0.6882,1.744778125,1,0.0001
7,90,70,0.6966,1.404815625,1,0.0001
8,100,80,0.6792,1.4598095703125,1,0.0001
9,110,90,0.7054,1.41256513671875,1,0.0001
10,120,100,0.6825,1.3256181640625,1,1e-06
11,130,110,0.7112,1.255937890625,1,1e-06
12,140,120,0.7123,1.30884873046875,1,1e-06
13,150,130,0.7072,1.182725390625,1,1e-06
14,160,140,0.7074,1.1856283203125,1,1e-06
15,170,150,0.6999,1.13272763671875,1,1e-06
16,180,160,0.7135,1.0792248046875,1,1e-06
17,190,170,0.7148,1.10024990234375,1,1e-06
18,200,180,0.7134,1.1307884765625,1,1e-06
19,210,190,0.702,1.06093779296875,1,1e-06
20,220,200,0.7301,0.9716544921875,1,1e-06
21,230,210,0.7215,1.06473896484375,1,1e-06
22,240,220,0.721,0.9521615234375,1,1e-06
23,250,230,0.7253,0.9779794921875,1,1e-06
24,260,240,0.4629,1.573115625,1,1e-06
25,270,250,0.6867,0.92293955078125,1,1e-06
26,280,260,0.6979,0.89031650390625,1,1e-06
27,290,270,0.7112,0.91608037109375,1,1e-06
28,300,280,0.7265,0.8703771484375,1,1e-06
29,310,290,0.726,0.90696064453125,1,1e-06
30,320,300,0.7079,1.0104853515625,1,1e-06
31,330,310,0.7327,0.9360884765625,1,1e-06
32,340,320,0.7473,0.93148974609375,1,1e-06
33,350,330,0.7324,0.9448173828125,1,1e-06
34,360,340,0.7296,1.04738525390625,1,1e-06
35,370,350,0.7347,0.90652685546875,1,1e-06
36,380,360,0.7356,0.95820751953125,1,1e-06
37,390,370,0.7383,0.95755908203125,1,1e-06
38,400,380,0.7374,0.88859326171875,1,1e-06
39,410,390,0.7479,0.7993611328125,1,1e-06
40,420,400,0.7526,0.8438212890625,1,1e-06
41,430,410,0.7588,0.8318576171875,1,1e-06
42,440,420,0.7518,0.8221189453125,1,1e-06
43,450,430,0.7604,0.77453515625,1,1e-06
44,460,440,0.7341,0.8623560546875,1,1e-06
45,470,450,0.7664,0.781774365234375,1,1e-06
46,480,460,0.759,0.849764453125,1,1e-06
47,490,470,0.7448,0.801105908203125,1,1e-06
48,500,480,0.7677,0.815651953125,1,1e-06
49,510,490,0.7643,0.8966943359375,1,1e-06
50,520,500,0.6371,0.94515556640625,1,1e-06
51,530,510,0.7453,0.750748876953125,1,1e-06
52,540,520,0.7426,0.7332470703125,1,1e-06
53,550,530,0.7673,0.675826220703125,1,1e-06
54,560,540,0.7373,0.772376025390625,1,1e-06
55,570,550,0.7466,0.8550099609375,1,1e-06
56,580,560,0.7682,0.75931015625,1,1e-06
57,590,570,0.7792,0.79790390625,1,1e-06
58,600,580,0.7565,0.810030322265625,1,1e-06
59,610,590,0.7543,0.86729384765625,1,1e-06
60,620,600,0.7645,0.83935791015625,1,0.001
61,630,610,0.7732,0.83623564453125,1,0.001
62,640,620,0.7553,0.793714794921875,1,0.001
63,650,630,0.7658,0.8404451171875,1,0.001
64,660,640,0.7704,0.728342138671875,1,0.001
65,670,650,0.7701,0.749197705078125,1,0.001
66,680,660,0.7771,0.66031767578125,1,0.001
67,690,670,0.7819,0.71528935546875,1,0.001
68,700,680,0.7778,0.7280373046875,1,0.001
69,710,690,0.7746,0.699447705078125,1,0.001
70,720,700,0.747,0.83494228515625,1,0.001
71,730,710,0.7736,0.692447900390625,1,0.001
72,740,720,0.7838,0.7574458984375,1,0.001
73,750,730,0.7689,0.702859814453125,1,0.001
74,760,740,0.7761,0.69945859375,1,0.001
75,770,750,0.5042,1.28770361328125,1,0.001
76,780,760,0.6962,0.78546220703125,1,0.001
77,790,770,0.7575,0.661908349609375,1,0.001
78,800,780,0.7702,0.7007587890625,1,0.001
79,810,790,0.7422,0.727742626953125,1,0.001
80,820,800,0.7662,0.682447998046875,1,0.001
81,830,810,0.7668,0.763636572265625,1,0.001
82,840,820,0.7765,0.6845080078125,1,0.001
83,850,830,0.7614,0.74101220703125,1,0.001
84,860,840,0.778,0.714143359375,1,0.001
85,870,850,0.778,0.680411962890625,1,0.001
86,880,860,0.7825,0.735320849609375,1,0.001
87,890,870,0.7678,0.746781103515625,1,0.001
88,900,880,0.7854,0.697846240234375,1,0.001
89,910,890,0.7761,0.713286962890625,1,0.001
90,920,900,0.7767,0.73078154296875,1,0.001
91,930,910,0.7813,0.770137744140625,1,0.001
92,940,920,0.7775,0.6726904296875,1,0.001
93,950,930,0.7922,0.660242724609375,1,0.001
94,960,940,0.7661,0.789080908203125,1,0.001
95,970,950,0.7753,0.71160419921875,1,0.001
96,980,960,0.7909,0.703144140625,1,0.001
97,990,970,0.7894,0.6360263671875,1,0.001
98,1000,980,0.7629,0.742251025390625,1,0.001
99,1010,990,0.7735,0.72536552734375,1,0.001
100,1020,1000,0.7965,0.650734814453125,1,0.001
