step,acquired,acquired_from_pool,test_accuracy,test_loss,attempt,weight_decay_used
0,20,0,0.5983,1.3154541015625,0,0.0005
1,30,10,0.5997,1.289241796875,0,0.0005
2,40,20,0.6319,1.1810126953125,0,0.0005
3,50,30,0.6173,1.17131416015625,0,0.0005
4,60,40,0.6477,1.026553515625,0,0.0005
5,70,50,0.6479,1.01503779296875,0,0.0005
6,80,60,0.6525,0.92574560546875,0,0.0005
7,90,70,0.6483,1.1109974609375,0,0.0005
8,100,80,0.6625,0.97798681640625,0,0.0005
9,110,90,0.684,0.8845828125,0,0.0005
10,120,100,0.6761,0.87667294921875,0,0.0005
11,130,110,0.5965,1.17931865234375,0,0.0005
12,140,120,0.7085,0.82683955078125,0,0.0005
13,150,130,0.6516,0.99247578125,0,0.0005
14,160,140,0.6835,0.92485966796875,0,0.0005
15,170,150,0.688,0.831849609375,0,0.0005
16,180,160,0.7032,0.8457173828125,0,0.0005
17,190,170,0.6985,0.8148296875,0,0.0005
18,200,180,0.6955,0.801685595703125,0,0.0005
19,210,190,0.7375,0.70837255859375,0,0.0005
20,220,200,0.7412,0.72543056640625,0,0.0005
21,230,210,0.7453,0.73277626953125,0,0.0005
22,240,220,0.7299,0.722208935546875,0,0.0005
23,250,230,0.7449,0.685558544921875,0,0.0005
24,260,240,0.6748,0.9157796875,0,0.0005
25,270,250,0.7491,0.6994345703125,0,0.0005
26,280,260,0.7611,0.672070068359375,0,0.0005
27,290,270,0.7587,0.66432890625,0,0.0005
28,300,280,0.7642,0.639482470703125,0,0.0005
29,310,290,0.7624,0.634538525390625,0,0.0005
30,320,300,0.7599,0.658669775390625,0,0.0005
31,330,310,0.767,0.64790791015625,0,0.0005
32,340,320,0.7718,0.637214697265625,0,0.0005
33,350,330,0.7632,0.651472216796875,0,0.0005
34,360,340,0.7689,0.64600830078125,0,0.0005
35,370,350,0.7703,0.61109453125,0,0.0005
36,380,360,0.7663,0.631798974609375,0,0.0005
37,390,370,0.7644,0.6612130859375,0,0.0005
38,400,380,0.7595,0.656471435546875,0,0.0005
39,410,390,0.7601,0.657802978515625,0,0.0005
40,420,400,0.7602,0.657848974609375,0,0.0005
41,430,410,0.7681,0.641937939453125,0,0.0005
42,440,420,0.7621,0.67655166015625,0,0.0005
43,450,430,0.7692,0.63847861328125,0,0.0005
44,460,440,0.7652,0.618168701171875,0,0.0005
45,470,450,0.7679,0.65877548828125,0,0.0005
46,480,460,0.7733,0.622050341796875,0,0.0005
47,490,470,0.7639,0.66161552734375,0,0.0005
48,500,480,0.7775,0.607418603515625,0,0.0005
49,510,490,0.7789,0.5989482421875,0,0.0005
50,520,500,0.7701,0.607969677734375,0,0.0005
51,530,510,0.7753,0.634127587890625,0,0.0005
52,540,520,0.7728,0.627497998046875,0,0.0005
53,550,530,0.7637,0.6311904296875,0,0.0005
54,560,540,0.7889,0.5687232421875,0,0.0005
55,570,550,0.7776,0.6095279296875,0,0.0005
56,580,560,0.7807,0.610823388671875,0,0.0005
57,590,570,0.758,0.644566015625,0,0.0005
58,600,580,0.7869,0.59467705078125,0,0.0005
59,610,590,0.7846,0.590379345703125,0,0.0005
60,620,600,0.7857,0.604023046875,0,0.0005
61,630,610,0.784,0.60038291015625,0,0.0005
62,640,620,0.7828,0.598816943359375,0,0.0005
63,650,630,0.7731,0.5843232421875,0,0.0005
64,660,640,0.7855,0.5790689453125,0,0.0005
65,670,650,0.7917,0.57724052734375,0,0.0005
66,680,660,0.7786,0.626035986328125,0,0.0005
67,690,670,0.7987,0.5754267578125,0,0.0005
68,700,680,0.7847,0.611414990234375,0,0.0005
69,710,690,0.7941,0.57553544921875,0,0.0005
70,720,700,0.7911,0.5881529296875,0,0.0005
71,730,710,0.797,0.563353662109375,0,0.0005
72,740,720,0.7997,0.569731103515625,0,0.0005
73,750,730,0.7945,0.5616861328125,0,0.0005
74,760,740,0.796,0.582107470703125,0,0.0005
75,770,750,0.7746,0.630253759765625,0,0.0005
76,780,760,0.7967,0.552460009765625,0,0.0005
77,790,770,0.7907,0.57449833984375,0,0.0005
78,800,780,0.8042,0.540387353515625,0,0.0005
79,810,790,0.797,0.553258984375,0,0.0005
80,820,800,0.7942,0.56385517578125,0,0.0005
81,830,810,0.7967,0.585360009765625,0,0.0005
82,840,820,0.7915,0.563986181640625,0,0.0005
83,850,830,0.8003,0.55705478515625,0,0.0005
84,860,840,0.8039,0.548553173828125,0,0.0005
85,870,850,0.802,0.541425830078125,0,0.0005
86,880,860,0.8056,0.53794423828125,0,0.0005
87,890,870,0.8122,0.519737939453125,0,0.0005
88,900,880,0.7958,0.5643513671875,0,0.0005
89,910,890,0.8151,0.519956201171875,0,0.0005
90,920,900,0.8083,0.530595947265625,0,0.0005
91,930,910,0.7993,0.544784228515625,0,0.0005
92,940,920,0.8097,0.525373388671875,0,0.0005
93,950,930,0.8117,0.5296427734375,0,0.0005
94,960,940,0.8089,0.545048681640625,0,0.0005
95,970,950,0.8078,0.522056298828125,0,0.0005
96,980,960,0.8115,0.503230908203125,0,0.0005
97,990,970,0.8138,0.522968603515625,0,0.0005
98,1000,980,0.8097,0.54251875,0,0.0005
99,1010,990,0.8007,0.535199267578125,0,0.0005
100,1020,1000,0.8105,0.51513388671875,0,0.0005
