step,acquired,acquired_from_pool,test_accuracy,test_loss,attempt,weight_decay_used
0,20,0,0.5664,1.5675400390625,1,0.0005
1,30,10,0.5864,1.37564541015625,1,0.0005
2,40,20,0.5663,1.53889287109375,1,0.0005
3,50,30,0.6163,1.58628193359375,1,0.0005
4,60,40,0.6357,1.36403681640625,1,0.0005
5,70,50,0.6637,1.10766845703125,1,0.0005
6,80,60,0.6312,1.15905458984375,1,0.0005
7,90,70,0.6767,1.04573876953125,1,0.0005
8,100,80,0.6663,1.0652833984375,1,0.0005
9,110,90,0.6894,1.010694921875,1,0.0005
10,120,100,0.6893,1.01961298828125,1,0.0005
11,130,110,0.697,0.95757998046875,1,0.0005
12,140,120,0.6934,0.9410056640625,1,0.0005
13,150,130,0.7088,0.879628515625,1,0.0005
14,160,140,0.7249,0.82323056640625,1,0.0005
15,170,150,0.7118,0.87355458984375,1,0.0005
16,180,160,0.7179,0.8325783203125,1,0.0005
17,190,170,0.7068,0.83262822265625,1,0.0005
18,200,180,0.7129,0.8063810546875,1,0.0005
19,210,190,0.7236,0.7649482421875,1,0.0005
20,220,200,0.7282,0.788223046875,1,0.0005
21,230,210,0.7384,0.760171728515625,1,0.0005
22,240,220,0.752,0.734440087890625,1,0.0005
23,250,230,0.7368,0.757664501953125,1,0.0005
24,260,240,0.7169,0.78176787109375,1,0.0005
25,270,250,0.7224,0.774171484375,1,0.0005
26,280,260,0.7517,0.700090185546875,1,0.0005
27,290,270,0.7587,0.67584560546875,1,0.0005
28,300,280,0.7517,0.699573291015625,1,0.0005
29,310,290,0.7722,0.6539130859375,1,0.0005
30,320,300,0.7723,0.650061083984375,1,0.0005
31,330,310,0.779,0.630868017578125,1,0.0005
32,340,320,0.773,0.651363671875,1,0.0005
33,350,330,0.7665,0.67930712890625,1,0.0005
34,360,340,0.7704,0.653226171875,1,0.0005
35,370,350,0.7725,0.671489208984375,1,0.0005
36,380,360,0.776,0.6490134765625,1,0.0005
37,390,370,0.7745,0.63072314453125,1,0.0005
38,400,380,0.7795,0.631723193359375,1,0.0005
39,410,390,0.7851,0.6147576171875,1,0.0005
40,420,400,0.78,0.64054716796875,1,0.0005
41,430,410,0.7783,0.645096142578125,1,0.0005
42,440,420,0.7774,0.63792685546875,1,0.0005
43,450,430,0.779,0.624440087890625,1,0.0005
44,460,440,0.7688,0.667696484375,1,0.0005
45,470,450,0.7866,0.61676396484375,1,0.0005
46,480,460,0.7798,0.617440625,1,0.0005
47,490,470,0.7932,0.608170361328125,1,0.0005
48,500,480,0.7905,0.596064453125,1,0.0005
49,510,490,0.7778,0.62477685546875,1,0.0005
50,520,500,0.7694,0.62971259765625,1,0.0005
51,530,510,0.7859,0.59327138671875,1,0.0005
52,540,520,0.7681,0.61648359375,1,0.0005
53,550,530,0.7918,0.5912712890625,1,0.0005
54,560,540,0.7797,0.600856982421875,1,0.0005
55,570,550,0.7812,0.604420703125,1,0.0005
56,580,560,0.7785,0.613241259765625,1,0.0005
57,590,570,0.7943,0.576283447265625,1,0.0005
58,600,580,0.7822,0.6067005859375,1,0.0005
59,610,590,0.7993,0.56857333984375,1,0.0005
60,620,600,0.7876,0.595703515625,1,0.001
61,630,610,0.781,0.58807578125,1,0.001
62,640,620,0.8004,0.5623865234375,1,0.001
63,650,630,0.7897,0.587945458984375,1,0.001
64,660,640,0.7984,0.565195361328125,1,0.001
65,670,650,0.7968,0.564168212890625,1,0.001
66,680,660,0.7999,0.554057177734375,1,0.001
67,690,670,0.7977,0.557841357421875,1,0.001
68,700,680,0.7969,0.55041953125,1,0.001
69,710,690,0.8054,0.549047314453125,1,0.001
70,720,700,0.7998,0.555205078125,1,0.001
71,730,710,0.7997,0.554773828125,1,0.001
72,740,720,0.8035,0.555806884765625,1,0.001
73,750,730,0.8007,0.56062412109375,1,0.001
74,760,740,0.8076,0.546446826171875,1,0.001
75,770,750,0.7579,0.643681201171875,1,0.001
76,780,760,0.7841,0.563988330078125,1,0.001
77,790,770,0.8,0.545109521484375,1,0.001
78,800,780,0.805,0.5356056640625,1,0.001
79,810,790,0.7987,0.547800927734375,1,0.001
80,820,800,0.8108,0.5326953125,1,0.001
81,830,810,0.7979,0.559184033203125,1,0.001
82,840,820,0.8035,0.5445646484375,1,0.001
83,850,830,0.802,0.54745830078125,1,0.001
84,860,840,0.8008,0.55188642578125,1,0.001
85,870,850,0.8132,0.5253826171875,1,0.001
86,880,860,0.81,0.532158642578125,1,0.001
87,890,870,0.8016,0.55361064453125,1,0.001
88,900,880,0.8134,0.52881337890625,1,0.001
89,910,890,0.8134,0.5156099609375,1,0.001
90,920,900,0.8097,0.52536376953125,1,0.0005
91,930,910,0.8158,0.52080517578125,1,0.0005
92,940,920,0.8188,0.515076513671875,1,0.0005
93,950,930,0.814,0.532966650390625,1,0.0005
94,960,940,0.8144,0.535879638671875,1,0.0005
95,970,950,0.8111,0.531354541015625,1,0.0005
96,980,960,0.8167,0.5351595703125,1,0.0005
97,990,970,0.8124,0.52759013671875,1,0.0005
98,1000,980,0.8164,0.524528125,1,0.0005
99,1010,990,0.8139,0.521977392578125,1,0.0005
100,1020,1000,0.8178,0.5098125,1,0.0005
