step,acquired,acquired_from_pool,test_accuracy,test_loss,attempt,weight_decay_used
0,20,0,0.4677,2.0664875,2,0.0005
1,30,10,0.5342,1.6628939453125,2,0.0005
2,40,20,0.538,1.53554619140625,2,0.0005
3,50,30,0.5992,1.35435361328125,2,0.0005
4,60,40,0.5958,1.251019140625,2,0.0005
5,70,50,0.6524,1.18234228515625,2,0.0005
6,80,60,0.651,1.092245703125,2,0.0005
7,90,70,0.6724,0.98963095703125,2,0.0005
8,100,80,0.6753,1.0773986328125,2,0.0005
9,110,90,0.6848,0.97117568359375,2,0.0005
10,120,100,0.6847,0.92188701171875,2,0.0005
11,130,110,0.5375,1.2521826171875,2,0.0005
12,140,120,0.6539,0.96998046875,2,0.0005
13,150,130,0.6657,0.96434365234375,2,0.0005
14,160,140,0.6807,0.9868880859375,2,0.0005
15,170,150,0.692,0.91946142578125,2,0.0005
16,180,160,0.6853,0.9206466796875,2,0.0005
17,190,170,0.692,0.92979775390625,2,0.0005
18,200,180,0.6753,0.97365068359375,2,0.0005
19,210,190,0.6664,0.97479345703125,2,0.0005
20,220,200,0.6834,0.8726890625,2,0.0005
21,230,210,0.6879,0.88791669921875,2,0.0005
22,240,220,0.7015,0.80244091796875,2,0.0005
23,250,230,0.6901,0.810401123046875,2,0.0005
24,260,240,0.6362,0.88272568359375,2,0.0005
25,270,250,0.7028,0.80490673828125,2,0.0005
26,280,260,0.7046,0.769117236328125,2,0.0005
27,290,270,0.7052,0.77696591796875,2,0.0005
28,300,280,0.7239,0.754117041015625,2,0.0005
29,310,290,0.7323,0.712228955078125,2,0.0005
30,320,300,0.7308,0.759263818359375,2,0.0005
31,330,310,0.7381,0.71537041015625,2,0.0005
32,340,320,0.7344,0.704617822265625,2,0.0005
33,350,330,0.731,0.704850244140625,2,0.0005
34,360,340,0.7383,0.709670361328125,2,0.0005
35,370,350,0.7609,0.66505888671875,2,0.0005
36,380,360,0.7272,0.716157177734375,2,0.0005
37,390,370,0.6953,0.800207421875,2,0.0005
38,400,380,0.7407,0.679539892578125,2,0.0005
39,410,390,0.7501,0.648137109375,2,0.0005
40,420,400,0.7535,0.672995361328125,2,0.0005
41,430,410,0.7492,0.66909970703125,2,0.0005
42,440,420,0.769,0.630006689453125,2,0.0005
43,450,430,0.739,0.683556201171875,2,0.0005
44,460,440,0.7525,0.654733935546875,2,0.0005
45,470,450,0.7365,0.707689208984375,2,0.0005
46,480,460,0.7406,0.6837923828125,2,0.0005
47,490,470,0.7549,0.66505302734375,2,0.0005
48,500,480,0.7441,0.6614056640625,2,0.0005
49,510,490,0.7498,0.663769140625,2,0.0005
50,520,500,0.7236,0.91981552734375,2,0.0005
51,530,510,0.7472,0.65837294921875,2,0.0005
52,540,520,0.7236,0.703011474609375,2,0.0005
53,550,530,0.7481,0.673069970703125,2,0.0005
54,560,540,0.7367,0.689305078125,2,0.0005
55,570,550,0.7619,0.64426513671875,2,0.0005
56,580,560,0.7313,0.705516015625,2,0.0005
57,590,570,0.7407,0.688599267578125,2,0.0005
58,600,580,0.77,0.637364794921875,2,0.0005
59,610,590,0.7712,0.6266310546875,2,0.0005
60,620,600,0.7577,0.644350244140625,2,0.0005
61,630,610,0.757,0.660497314453125,2,0.0005
62,640,620,0.7333,0.676586767578125,2,0.0005
63,650,630,0.7519,0.638504833984375,2,0.0005
64,660,640,0.7596,0.6507755859375,2,0.0005
65,670,650,0.747,0.653551611328125,2,0.0005
66,680,660,0.7456,0.658542529296875,2,0.0005
67,690,670,0.7458,0.67391416015625,2,0.0005
68,700,680,0.7444,0.6643095703125,2,0.0005
69,710,690,0.7673,0.6085130859375,2,0.0005
70,720,700,0.7813,0.612422607421875,2,0.0005
71,730,710,0.7683,0.63698037109375,2,0.0005
72,740,720,0.7766,0.59999111328125,2,0.0005
73,750,730,0.7688,0.613571484375,2,0.0005
74,760,740,0.7907,0.583735107421875,2,0.0005
75,770,750,0.7571,0.70076064453125,2,0.0005
76,780,760,0.7714,0.6196580078125,2,0.0005
77,790,770,0.7866,0.58583837890625,2,0.0005
78,800,780,0.7952,0.570131689453125,2,0.0005
79,810,790,0.7764,0.63392314453125,2,0.0005
80,820,800,0.7654,0.642900634765625,2,0.0005
81,830,810,0.7853,0.58558173828125,2,0.0005
82,840,820,0.802,0.5628708984375,2,0.0005
83,850,830,0.8022,0.55650791015625,2,0.0005
84,860,840,0.7774,0.6047291015625,2,0.0005
85,870,850,0.7918,0.566208447265625,2,0.0005
86,880,860,0.7865,0.57539736328125,2,0.0005
87,890,870,0.7979,0.56007822265625,2,0.0005
88,900,880,0.7637,0.643117138671875,2,0.0005
89,910,890,0.7949,0.57277587890625,2,0.0005
90,920,900,0.79,0.598068310546875,2,0.0005
91,930,910,0.7725,0.609271044921875,2,0.0005
92,940,920,0.7576,0.617703271484375,2,0.0005
93,950,930,0.7968,0.5751986328125,2,0.0005
94,960,940,0.7908,0.58263173828125,2,0.0005
95,970,950,0.798,0.567838232421875,2,0.0005
96,980,960,0.7948,0.557675634765625,2,0.0005
97,990,970,0.7983,0.5746615234375,2,0.0005
98,1000,980,0.7944,0.56267236328125,2,0.0005
99,1010,990,0.799,0.5825517578125,2,0.0005
100,1020,1000,0.8061,0.557958447265625,2,0.0005
