step,acquired,acquired_from_pool,test_accuracy,test_loss,attempt,weight_decay_used
0,20,0,0.59,1.9081421875,0,1e-06
1,30,10,0.6325,1.6404513671875,0,1e-06
2,40,20,0.6625,1.37788330078125,0,1e-06
3,50,30,0.6605,1.7809162109375,0,1e-06
4,60,40,0.6411,1.30247412109375,0,1e-06
5,70,50,0.6422,1.4215001953125,0,1e-06
6,80,60,0.6776,1.490650390625,0,1e-06
7,90,70,0.6654,1.3587158203125,0,1e-06
8,100,80,0.6428,1.43661376953125,0,1e-06
9,110,90,0.6802,1.215853125,0,1e-06
10,120,100,0.6797,1.204849609375,0,0.001
11,130,110,0.6832,1.1650078125,0,0.001
12,140,120,0.7014,1.06085693359375,0,0.001
13,150,130,0.6931,1.09181923828125,0,0.001
14,160,140,0.6876,1.09680654296875,0,0.001
15,170,150,0.6931,1.09911181640625,0,0.001
16,180,160,0.7131,0.97658984375,0,0.001
17,190,170,0.6788,1.06388818359375,0,0.001
18,200,180,0.7218,0.9318541015625,0,0.001
19,210,190,0.7044,0.962521484375,0,0.001
20,220,200,0.7063,0.99085205078125,0,0.001
21,230,210,0.7361,0.8872177734375,0,0.001
22,240,220,0.7227,0.85199111328125,0,0.001
23,250,230,0.739,0.813735986328125,0,0.001
24,260,240,0.4606,1.18213828125,0,0.001
25,270,250,0.6769,0.9029033203125,0,0.001
26,280,260,0.7166,0.77441708984375,0,0.001
27,290,270,0.7509,0.740455908203125,0,0.001
28,300,280,0.7592,0.713626025390625,0,0.001
29,310,290,0.7375,0.7940568359375,0,0.001
30,320,300,0.755,0.8676984375,0,0.0005
31,330,310,0.7374,0.84248154296875,0,0.0005
32,340,320,0.7517,0.91314580078125,0,0.0005
33,350,330,0.761,0.8507453125,0,0.0005
34,360,340,0.7691,0.719350732421875,0,0.0005
35,370,350,0.7585,0.84600986328125,0,0.0005
36,380,360,0.7665,0.80754697265625,0,0.0005
37,390,370,0.7611,0.83409609375,0,0.0005
38,400,380,0.7541,0.84223564453125,0,0.0005
39,410,390,0.7626,0.83244560546875,0,0.0005
40,420,400,0.7635,0.773052099609375,0,0.0005
41,430,410,0.7541,0.839725,0,0.0005
42,440,420,0.7731,0.8148935546875,0,0.0005
43,450,430,0.7728,0.755730078125,0,0.0005
44,460,440,0.7754,0.83757197265625,0,0.0005
45,470,450,0.7523,0.873209765625,0,0.0005
46,480,460,0.7791,0.732864404296875,0,0.0005
47,490,470,0.7609,0.84514580078125,0,0.0005
48,500,480,0.7778,0.74197412109375,0,0.0005
49,510,490,0.7814,0.721851318359375,0,0.0005
50,520,500,0.7109,0.737077880859375,0,0.0005
51,530,510,0.7426,0.7493951171875,0,0.0005
52,540,520,0.7854,0.623550048828125,0,0.0005
53,550,530,0.781,0.659412744140625,0,0.0005
54,560,540,0.7892,0.658050634765625,0,0.0005
55,570,550,0.7903,0.6765720703125,0,0.0005
56,580,560,0.8017,0.65899794921875,0,0.0005
57,590,570,0.7854,0.707221240234375,0,0.0005
58,600,580,0.7936,0.632464990234375,0,0.0005
59,610,590,0.7942,0.74630673828125,0,0.0005
60,620,600,0.7933,0.712140625,0,0.0001
61,630,610,0.8013,0.693174560546875,0,0.0001
62,640,620,0.7923,0.728667529296875,0,0.0001
63,650,630,0.7936,0.758556689453125,0,0.0001
64,660,640,0.8017,0.698193017578125,0,0.0001
65,670,650,0.7921,0.691804736328125,0,0.0001
66,680,660,0.8011,0.717405078125,0,0.0001
67,690,670,0.8071,0.699461083984375,0,0.0001
68,700,680,0.7913,0.733887255859375,0,0.0001
69,710,690,0.7987,0.71603427734375,0,0.0001
70,720,700,0.8027,0.715026904296875,0,0.0001
71,730,710,0.8095,0.650276708984375,0,0.0001
72,740,720,0.7891,0.7579556640625,0,0.0001
73,750,730,0.8048,0.69272822265625,0,0.0001
74,760,740,0.809,0.6228236328125,0,0.0001
75,770,750,0.7295,0.729371044921875,0,0.0001
76,780,760,0.7763,0.60547978515625,0,0.0001
77,790,770,0.7898,0.595472021484375,0,0.0001
78,800,780,0.7982,0.595747216796875,0,0.0001
79,810,790,0.7956,0.591615966796875,0,0.0001
80,820,800,0.776,0.682871875,0,0.0001
81,830,810,0.7941,0.707201513671875,0,0.0001
82,840,820,0.7977,0.66437080078125,0,0.0001
83,850,830,0.8134,0.661638134765625,0,0.0001
84,860,840,0.8118,0.60758681640625,0,0.0001
85,870,850,0.8039,0.600067431640625,0,0.0001
86,880,860,0.8134,0.608178515625,0,0.0001
87,890,870,0.7992,0.6763005859375,0,0.0001
88,900,880,0.8103,0.621690283203125,0,0.0001
89,910,890,0.814,0.681817919921875,0,0.0001
90,920,900,0.81,0.615596630859375,0,1e-06
91,930,910,0.8098,0.64667431640625,0,1e-06
92,940,920,0.8145,0.63939892578125,0,1e-06
93,950,930,0.8064,0.681843701171875,0,1e-06
94,960,940,0.8195,0.6128802734375,0,1e-06
95,970,950,0.8197,0.566977197265625,0,1e-06
96,980,960,0.8123,0.63482216796875,0,1e-06
97,990,970,0.8227,0.52802080078125,0,1e-06
98,1000,980,0.8214,0.5865896484375,0,1e-06
99,1010,990,0.8213,0.593526953125,0,1e-06
100,1020,1000,0.8123,0.608060400390625,0,1e-06
