step,acquired,acquired_from_pool,test_accuracy,test_loss,attempt,weight_decay_used
0,20,0,0.5126,1.9021638671875,0,0.0005
1,30,10,0.6091,1.27688916015625,0,0.0005
2,40,20,0.6609,1.0335806640625,0,0.0005
3,50,30,0.6701,1.0448416015625,0,0.0005
4,60,40,0.6775,1.0224134765625,0,0.0005
5,70,50,0.6901,0.9696421875,0,0.0005
6,80,60,0.7238,0.91940419921875,0,0.0005
7,90,70,0.7274,0.88523955078125,0,0.0005
8,100,80,0.7508,0.776873095703125,0,0.0005
9,110,90,0.7454,0.82467392578125,0,0.0005
10,120,100,0.7548,0.807754736328125,0,0.0005
11,130,110,0.8008,0.652726513671875,0,0.0005
12,140,120,0.8168,0.5913630859375,0,0.0005
13,150,130,0.8147,0.555115087890625,0,0.0005
14,160,140,0.8247,0.54428759765625,0,0.0005
15,170,150,0.8277,0.556220947265625,0,0.0005
16,180,160,0.8332,0.51259677734375,0,0.0005
17,190,170,0.827,0.523885205078125,0,0.0005
18,200,180,0.8506,0.465918017578125,0,0.0005
19,210,190,0.8618,0.43102998046875,0,0.0005
20,220,200,0.8717,0.425860107421875,0,0.0005
21,230,210,0.899,0.349014306640625,0,0.0005
22,240,220,0.8936,0.355595263671875,0,0.0005
23,250,230,0.8949,0.3512915771484375,0,0.0005
24,260,240,0.8188,0.682761181640625,0,0.0005
25,270,250,0.888,0.44019853515625,0,0.0005
26,280,260,0.8928,0.4058660888671875,0,0.0005
27,290,270,0.9058,0.329635986328125,0,0.0005
28,300,280,0.9113,0.3191676025390625,0,0.0005
29,310,290,0.8729,0.3778537109375,0,0.0005
30,320,300,0.8939,0.370878515625,0,0.0005
31,330,310,0.9028,0.3105652587890625,0,0.0005
32,340,320,0.8999,0.3310879638671875,0,0.0005
33,350,330,0.9177,0.2713370849609375,0,0.0005
34,360,340,0.9386,0.2226794677734375,0,0.0005
35,370,350,0.9325,0.2493156494140625,0,0.0005
36,380,360,0.9208,0.255373583984375,0,0.0005
37,390,370,0.9085,0.2840649169921875,0,0.0005
38,400,380,0.934,0.22796220703125,0,0.0005
39,410,390,0.948,0.21473984375,0,0.0005
40,420,400,0.9453,0.2154649658203125,0,0.0005
41,430,410,0.9547,0.186117822265625,0,0.0005
42,440,420,0.9468,0.2099335693359375,0,0.0005
43,450,430,0.946,0.2092513916015625,0,0.0005
44,460,440,0.9457,0.2063643310546875,0,0.0005
45,470,450,0.9496,0.19374771728515625,0,0.0005
46,480,460,0.9504,0.19497183837890625,0,0.0005
47,490,470,0.9559,0.18763118896484374,0,0.0005
48,500,480,0.9519,0.189319873046875,0,0.0005
49,510,490,0.9525,0.187616943359375,0,0.0005
50,520,500,0.9498,0.2832455078125,0,0.0005
51,530,510,0.95,0.21750888671875,0,0.0005
52,540,520,0.9493,0.2072452880859375,0,0.0005
53,550,530,0.9583,0.1932086669921875,0,0.0005
54,560,540,0.9539,0.2052898681640625,0,0.0005
55,570,550,0.9579,0.18543345947265624,0,0.0005
56,580,560,0.9543,0.1901927978515625,0,0.0005
57,590,570,0.9595,0.17835103759765625,0,0.0005
58,600,580,0.9631,0.16331639404296874,0,0.0005
59,610,590,0.9604,0.15744051513671875,0,0.0005
60,620,600,0.9559,0.17117259521484374,0,0.0005
61,630,610,0.9622,0.1631537841796875,0,0.0005
62,640,620,0.9602,0.1689853515625,0,0.0005
63,650,630,0.9634,0.17494107666015624,0,0.0005
64,660,640,0.9667,0.14524305419921876,0,0.0005
65,670,650,0.9652,0.15360565185546876,0,0.0005
66,680,660,0.9677,0.14980135498046876,0,0.0005
67,690,670,0.9731,0.140138623046875,0,0.0005
68,700,680,0.9643,0.1634446044921875,0,0.0005
69,710,690,0.9699,0.14031907958984374,0,0.0005
70,720,700,0.9686,0.14488826904296875,0,0.0005
71,730,710,0.9646,0.15654466552734375,0,0.0005
72,740,720,0.9661,0.14923167724609376,0,0.0005
73,750,730,0.97,0.144697998046875,0,0.0005
74,760,740,0.9672,0.159575390625,0,0.0005
75,770,750,0.9543,0.3217792236328125,0,0.0005
76,780,760,0.9569,0.2219537841796875,0,0.0005
77,790,770,0.9673,0.18220186767578125,0,0.0005
78,800,780,0.9731,0.14769979248046874,0,0.0005
79,810,790,0.9754,0.13810150146484376,0,0.0005
80,820,800,0.9703,0.15814483642578125,0,0.0005
81,830,810,0.9757,0.1341818359375,0,0.0005
82,840,820,0.964,0.1609537841796875,0,0.0005
83,850,830,0.9763,0.13324664306640624,0,0.0005
84,860,840,0.9736,0.12296116943359375,0,0.0005
85,870,850,0.9739,0.13066475830078125,0,0.0005
86,880,860,0.9727,0.1410123779296875,0,0.0005
87,890,870,0.9735,0.14211220703125,0,0.0005
88,900,880,0.9786,0.11098597412109375,0,0.0005
89,910,890,0.9727,0.1458117431640625,0,0.0005
90,920,900,0.9781,0.108765283203125,0,0.0005
91,930,910,0.9778,0.11351451416015625,0,0.0005
92,940,920,0.977,0.10764619140625,0,0.0005
93,950,930,0.9782,0.113122119140625,0,0.0005
94,960,940,0.976,0.12123330078125,0,0.0005
95,970,950,0.9772,0.11570870361328126,0,0.0005
96,980,960,0.978,0.1129761962890625,0,0.0005
97,990,970,0.9776,0.1113984375,0,0.0005
98,1000,980,0.9777,0.1175984375,0,0.0005
99,1010,990,0.9782,0.108997412109375,0,0.0005
100,1020,1000,0.9793,0.11942442626953124,0,0.0005
