step,acquired,acquired_from_pool,test_accuracy,test_loss,attempt,weight_decay_used
0,20,0,0.66,1.2480125,2,0.0005
1,30,10,0.6496,1.22937373046875,2,0.0005
2,40,20,0.6646,1.1975294921875,2,0.0005
3,50,30,0.6618,1.11962236328125,2,0.0005
4,60,40,0.683,1.05469970703125,2,0.0005
5,70,50,0.6781,1.0904208984375,2,0.0005
6,80,60,0.6952,1.0237134765625,2,0.0005
7,90,70,0.7648,0.795915673828125,2,0.0005
8,100,80,0.7656,0.774829052734375,2,0.0005
9,110,90,0.7464,0.80673310546875,2,0.0005
10,120,100,0.7966,0.686450439453125,2,0.0005
11,130,110,0.7881,0.671666015625,2,0.0005
12,140,120,0.7883,0.674552490234375,2,0.0005
13,150,130,0.8063,0.649899560546875,2,0.0005
14,160,140,0.8201,0.59285126953125,2,0.0005
15,170,150,0.8298,0.515604150390625,2,0.0005
16,180,160,0.8581,0.450295458984375,2,0.0005
17,190,170,0.8353,0.4999123046875,2,0.0005
18,200,180,0.8753,0.4041640625,2,0.0005
19,210,190,0.8791,0.40514208984375,2,0.0005
20,220,200,0.8796,0.39797880859375,2,0.0005
21,230,210,0.8941,0.355133251953125,2,0.0005
22,240,220,0.8827,0.3723161865234375,2,0.0005
23,250,230,0.8882,0.349664013671875,2,0.0005
24,260,240,0.7906,0.67177607421875,2,0.0005
25,270,250,0.9077,0.348259423828125,2,0.0005
26,280,260,0.8997,0.3249945556640625,2,0.0005
27,290,270,0.9267,0.268649755859375,2,0.0005
28,300,280,0.9241,0.2765756103515625,2,0.0005
29,310,290,0.917,0.2698803955078125,2,0.0005
30,320,300,0.9304,0.2450168701171875,2,0.0005
31,330,310,0.9289,0.2569547119140625,2,0.0005
32,340,320,0.9275,0.2559061279296875,2,0.0005
33,350,330,0.9292,0.234303955078125,2,0.0005
34,360,340,0.9246,0.2509804931640625,2,0.0005
35,370,350,0.9327,0.2312390869140625,2,0.0005
36,380,360,0.9382,0.22001650390625,2,0.0005
37,390,370,0.9391,0.208836962890625,2,0.0005
38,400,380,0.9349,0.21445751953125,2,0.0005
39,410,390,0.9493,0.18919869384765625,2,0.0005
40,420,400,0.9484,0.18826279296875,2,0.0005
41,430,410,0.949,0.19556558837890625,2,0.0005
42,440,420,0.9491,0.1865087158203125,2,0.0005
43,450,430,0.9535,0.17541219482421874,2,0.0005
44,460,440,0.9534,0.17661148681640626,2,0.0005
45,470,450,0.9531,0.1815827880859375,2,0.0005
46,480,460,0.9613,0.1573707275390625,2,0.0005
47,490,470,0.9517,0.190495703125,2,0.0005
48,500,480,0.9528,0.16862337646484374,2,0.0005
49,510,490,0.951,0.17935303955078125,2,0.0005
50,520,500,0.931,0.3179797119140625,2,0.0005
51,530,510,0.9588,0.192892724609375,2,0.0005
52,540,520,0.9547,0.192786181640625,2,0.0005
53,550,530,0.9609,0.16639908447265625,2,0.0005
54,560,540,0.9567,0.1652800048828125,2,0.0005
55,570,550,0.9628,0.160565087890625,2,0.0005
56,580,560,0.9583,0.17190257568359374,2,0.0005
57,590,570,0.9624,0.1547607666015625,2,0.0005
58,600,580,0.9621,0.15565299072265626,2,0.0005
59,610,590,0.9675,0.14947467041015625,2,0.0005
60,620,600,0.9659,0.14276534423828124,2,0.0005
61,630,610,0.9667,0.15493978271484374,2,0.0005
62,640,620,0.9702,0.1318887451171875,2,0.0005
63,650,630,0.9711,0.13038868408203125,2,0.0005
64,660,640,0.9654,0.14699869384765624,2,0.0005
65,670,650,0.9713,0.1292610595703125,2,0.0005
66,680,660,0.9695,0.136616015625,2,0.0005
67,690,670,0.9732,0.13099476318359374,2,0.0005
68,700,680,0.9694,0.13961788330078126,2,0.0005
69,710,690,0.9699,0.132874072265625,2,0.0005
70,720,700,0.97,0.1176557861328125,2,0.0005
71,730,710,0.9724,0.131238427734375,2,0.0005
72,740,720,0.9667,0.137673974609375,2,0.0005
73,750,730,0.9697,0.15969561767578125,2,0.0005
74,760,740,0.9707,0.12842510986328126,2,0.0005
75,770,750,0.9396,0.317342626953125,2,0.0005
76,780,760,0.968,0.1637466796875,2,0.0005
77,790,770,0.974,0.1418437744140625,2,0.0005
78,800,780,0.9734,0.12618204345703124,2,0.0005
79,810,790,0.9759,0.12826846923828125,2,0.0005
80,820,800,0.9719,0.12307916259765625,2,0.0005
81,830,810,0.9774,0.11210704345703125,2,0.0005
82,840,820,0.9704,0.13436690673828125,2,0.0005
83,850,830,0.9752,0.10929595947265625,2,0.0005
84,860,840,0.9755,0.1112307861328125,2,0.0005
85,870,850,0.9723,0.1270848876953125,2,0.0005
86,880,860,0.9744,0.11651112060546875,2,0.0005
87,890,870,0.9731,0.1139050537109375,2,0.0005
88,900,880,0.9789,0.09774452514648438,2,0.0005
89,910,890,0.9758,0.10740919189453126,2,0.0005
90,920,900,0.9783,0.09413719482421876,2,0.0005
91,930,910,0.9713,0.1167478271484375,2,0.0005
92,940,920,0.9696,0.12538848876953124,2,0.0005
93,950,930,0.9741,0.11055814208984376,2,0.0005
94,960,940,0.9773,0.11444951171875,2,0.0005
95,970,950,0.9772,0.103227099609375,2,0.0005
96,980,960,0.9759,0.11895771484375,2,0.0005
97,990,970,0.9773,0.1069725341796875,2,0.0005
98,1000,980,0.9803,0.09131404418945313,2,0.0005
99,1010,990,0.9809,0.09935853881835938,2,0.0005
100,1020,1000,0.978,0.098227490234375,2,0.0005
