step,acquired,acquired_from_pool,test_accuracy,test_loss,attempt,weight_decay_used
0,20,0,0.5126,1.9021638671875,0,0.0005
1,30,10,0.643,1.37990458984375,0,0.0005
2,40,20,0.6213,1.47684453125,0,0.0005
3,50,30,0.7211,1.011395703125,0,0.0005
4,60,40,0.7226,0.99803671875,0,0.0005
5,70,50,0.7641,0.8398583984375,0,0.0005
6,80,60,0.7989,0.688709326171875,0,0.0005
7,90,70,0.8205,0.6094267578125,0,0.0005
8,100,80,0.8161,0.654089794921875,0,0.0005
9,110,90,0.8262,0.598476220703125,0,0.0005
10,120,100,0.8149,0.632463818359375,0,0.0005
11,130,110,0.8244,0.574376806640625,0,0.0005
12,140,120,0.8312,0.5528,0,0.0005
13,150,130,0.8264,0.565443212890625,0,0.0005
14,160,140,0.8588,0.483018505859375,0,0.0005
15,170,150,0.8698,0.45032705078125,0,0.0005
16,180,160,0.8623,0.479546875,0,0.0005
17,190,170,0.8551,0.486076025390625,0,0.0005
18,200,180,0.8499,0.470481298828125,0,0.0005
19,210,190,0.8689,0.430350927734375,0,0.0005
20,220,200,0.8653,0.435977001953125,0,0.0005
21,230,210,0.8893,0.3887667724609375,0,0.0005
22,240,220,0.8749,0.418941259765625,0,0.0005
23,250,230,0.8843,0.4033524658203125,0,0.0005
24,260,240,0.8939,0.373051806640625,0,0.0005
25,270,250,0.8902,0.382227783203125,0,0.0005
26,280,260,0.89,0.3819043212890625,0,0.0005
27,290,270,0.9024,0.34301083984375,0,0.0005
28,300,280,0.8986,0.3600189453125,0,0.0005
29,310,290,0.8952,0.3639744140625,0,0.0005
30,320,300,0.9039,0.3306300537109375,0,0.0005
31,330,310,0.9074,0.3200360595703125,0,0.0005
32,340,320,0.9027,0.3409640869140625,0,0.0005
33,350,330,0.9048,0.3206912109375,0,0.0005
34,360,340,0.9045,0.330552587890625,0,0.0005
35,370,350,0.9064,0.3184999755859375,0,0.0005
36,380,360,0.9104,0.3100880615234375,0,0.0005
37,390,370,0.9058,0.320321435546875,0,0.0005
38,400,380,0.912,0.2943615966796875,0,0.0005
39,410,390,0.9138,0.2909353759765625,0,0.0005
40,420,400,0.9194,0.2842753662109375,0,0.0005
41,430,410,0.9189,0.286206005859375,0,0.0005
42,440,420,0.9189,0.2848027099609375,0,0.0005
43,450,430,0.9229,0.2628476318359375,0,0.0005
44,460,440,0.9189,0.2729533935546875,0,0.0005
45,470,450,0.9197,0.27296181640625,0,0.0005
46,480,460,0.9272,0.2574552490234375,0,0.0005
47,490,470,0.9288,0.2427010986328125,0,0.0005
48,500,480,0.9181,0.2755794921875,0,0.0005
49,510,490,0.9225,0.26206201171875,0,0.0005
50,520,500,0.926,0.2539262939453125,0,0.0005
51,530,510,0.9204,0.274012158203125,0,0.0005
52,540,520,0.9284,0.235380224609375,0,0.0005
53,550,530,0.9276,0.237940283203125,0,0.0005
54,560,540,0.9329,0.2258419677734375,0,0.0005
55,570,550,0.9301,0.232422119140625,0,0.0005
56,580,560,0.939,0.2143890380859375,0,0.0005
57,590,570,0.9331,0.2226910888671875,0,0.0005
58,600,580,0.9351,0.21781484375,0,0.0005
59,610,590,0.9303,0.2247388427734375,0,0.0005
60,620,600,0.9347,0.21551513671875,0,0.0005
61,630,610,0.9374,0.2117951416015625,0,0.0005
62,640,620,0.9401,0.20665576171875,0,0.0005
63,650,630,0.9393,0.2025107666015625,0,0.0005
64,660,640,0.9319,0.21962060546875,0,0.0005
65,670,650,0.9372,0.20336572265625,0,0.0005
66,680,660,0.9394,0.19787669677734376,0,0.0005
67,690,670,0.9355,0.2169514892578125,0,0.0005
68,700,680,0.943,0.19623682861328126,0,0.0005
69,710,690,0.9372,0.2050988037109375,0,0.0005
70,720,700,0.9381,0.1986977783203125,0,0.0005
71,730,710,0.9393,0.20235599365234375,0,0.0005
72,740,720,0.9374,0.2002302734375,0,0.0005
73,750,730,0.9407,0.19641181640625,0,0.0005
74,760,740,0.9455,0.1870923828125,0,0.0005
75,770,750,0.9377,0.2207515380859375,0,0.0005
76,780,760,0.9429,0.19328406982421875,0,0.0005
77,790,770,0.9453,0.1830241455078125,0,0.0005
78,800,780,0.9437,0.1878951416015625,0,0.0005
79,810,790,0.9455,0.1795986083984375,0,0.0005
80,820,800,0.946,0.17471251220703124,0,0.0005
81,830,810,0.9485,0.1736484375,0,0.0005
82,840,820,0.949,0.1770242431640625,0,0.0005
83,850,830,0.9451,0.18420428466796876,0,0.0005
84,860,840,0.948,0.17549041748046876,0,0.0005
85,870,850,0.95,0.17198690185546875,0,0.0005
86,880,860,0.9522,0.165661376953125,0,0.0005
87,890,870,0.9461,0.1737975341796875,0,0.0005
88,900,880,0.9551,0.15531820068359375,0,0.0005
89,910,890,0.9508,0.15377069091796874,0,0.0005
90,920,900,0.9492,0.16669910888671874,0,0.0005
91,930,910,0.9528,0.155553173828125,0,0.0005
92,940,920,0.9527,0.15471641845703124,0,0.0005
93,950,930,0.9552,0.152917138671875,0,0.0005
94,960,940,0.9517,0.16039248046875,0,0.0005
95,970,950,0.9517,0.16192222900390624,0,0.0005
96,980,960,0.9522,0.15643272705078126,0,0.0005
97,990,970,0.9545,0.15273076171875,0,0.0005
98,1000,980,0.9518,0.1541932373046875,0,0.0005
99,1010,990,0.9539,0.15648885498046874,0,0.0005
100,1020,1000,0.956,0.14834588623046874,0,0.0005
