step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.26272784940230925,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
1,30,10,40,0.2752805475924743,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
2,40,20,50,0.25737214286296606,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
3,50,30,60,0.24719216177652154,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
4,60,40,70,0.24121554967756537,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
5,70,50,80,0.23709759289096022,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
6,80,60,90,0.2285543369987485,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
7,90,70,100,0.2259244355662696,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
8,100,80,110,0.2230945795088935,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
9,110,90,120,0.22150711137709553,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
10,120,100,130,0.22094143384050896,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
11,130,110,140,0.22127896394102287,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
12,140,120,150,0.21708592498852847,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
13,150,130,160,0.21651039912597156,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
14,160,140,170,0.21505944853981654,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
15,170,150,180,0.21417221184860794,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
16,180,160,190,0.21214277188738367,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
17,190,170,200,0.21071865962848427,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
18,200,180,210,0.20925103606374332,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
19,210,190,220,0.20966696061850087,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
20,220,200,230,0.20792136481206663,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
21,230,210,240,0.20750945949823588,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
22,240,220,250,0.20678219689597313,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
23,250,230,260,0.2065842462078123,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
24,260,240,270,0.2063525904891007,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
25,270,250,280,0.20568699198509127,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
26,280,260,290,0.2045504312052409,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
27,290,270,300,0.20420498949431917,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
28,300,280,310,0.20379567164503273,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
29,310,290,320,0.20350465721406108,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
30,320,300,330,0.20297793955332313,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
31,330,310,340,0.20274986995217778,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
32,340,320,350,0.20265439474863972,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
33,350,330,360,0.2023324441822171,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
34,360,340,370,0.201602164217519,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
35,370,350,380,0.20154470609442338,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
36,380,360,390,0.20151405667859126,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
37,390,370,400,0.2009493824247166,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
38,400,380,410,0.20063913988333631,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
39,410,390,420,0.20040432762605204,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
40,420,400,430,0.19998092560409042,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
41,430,410,440,0.19967562195697863,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
42,440,420,450,0.1995934527651615,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
43,450,430,460,0.19939377727995614,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
44,460,440,470,0.19890003918033172,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
45,470,450,480,0.19857240738975418,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
46,480,460,490,0.19822200405258997,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
47,490,470,500,0.19789238612027246,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
48,500,480,510,0.19824627227934513,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
49,510,490,520,0.19804301339923608,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
50,520,500,,0.19761102496444877,129,vi,random,0.0,0.0,0,0.0,0.1833660755859198
