step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.2627277564769994,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
1,30,10,40,0.260656351156916,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
2,40,20,50,0.25770593441520223,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
3,50,30,60,0.2548037024020893,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
4,60,40,70,0.2526806188000724,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
5,70,50,80,0.25145934414495813,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
6,80,60,90,0.2520978484543501,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
7,90,70,100,0.2533291133060658,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
8,100,80,110,0.2532912166453616,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
9,110,90,120,0.25468271659618463,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
10,120,100,130,0.25483910365169626,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
11,130,110,140,0.25399892539450336,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
12,140,120,150,0.25382824763385775,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
13,150,130,160,0.2516463563651876,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
14,160,140,170,0.25165159524752667,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
15,170,150,180,0.2527145398901199,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
16,180,160,190,0.25320863780252933,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
17,190,170,200,0.2530918091665305,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
18,200,180,210,0.25288838284841697,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
19,210,190,220,0.25307166683508353,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
20,220,200,230,0.2539683481755158,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
21,230,210,240,0.2522405845616443,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
22,240,220,250,0.25177909929886955,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
23,250,230,260,0.251765960035928,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
24,260,240,270,0.2513785721246692,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
25,270,250,280,0.252977512973609,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
26,280,260,290,0.25138676897797846,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
27,290,270,300,0.25085493465783665,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
28,300,280,310,0.2507803933007174,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
29,310,290,320,0.2504409490185511,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
30,320,300,330,0.25103848761818376,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
31,330,310,340,0.25203377827312157,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
32,340,320,350,0.25176076232271083,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
33,350,330,360,0.25129833762320736,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
34,360,340,370,0.2511542980824985,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
35,370,350,380,0.25085572297637543,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
36,380,360,390,0.25119323635836116,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
37,390,370,400,0.2500131539508222,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
38,400,380,410,0.2498007604509542,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
39,410,390,420,0.25037807349586344,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
40,420,400,430,0.24999876952822186,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
41,430,410,440,0.24972638347111525,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
42,440,420,450,0.2495958451927836,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
43,450,430,460,0.24936683492271983,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
44,460,440,470,0.24977450768142853,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
45,470,450,480,0.24969992733466603,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
46,480,460,490,0.24984455128076638,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
47,490,470,500,0.24978235643443172,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
48,500,480,510,0.24900500238135276,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
49,510,490,520,0.24888895694792285,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
50,520,500,,0.24802265875885715,129,mfvi,trace,0.09999549095937355,0.0,0,0.0,0.18332815895870308
