step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.2627277564769994,129,mfvi,random,0.09999549095937355,0.10000000149011612,1,0.1,0.18332797251868713
1,30,10,40,0.2746065189218475,129,mfvi,random,0.09999549095937355,0.10000000149011612,2,0.1,0.18332797251868713
2,40,20,50,0.2719450071504577,129,mfvi,random,0.09999549095937355,0.30000001192092896,5,0.16666666666666666,0.18332797251868713
3,50,30,60,0.2677203112187465,129,mfvi,random,0.09999549095937355,0.20000000298023224,7,0.175,0.18332797251868713
4,60,40,70,0.2563758360999287,129,mfvi,random,0.09999549095937355,0.20000000298023224,9,0.18,0.18332797251868713
5,70,50,80,0.24955427061938854,129,mfvi,random,0.09999549095937355,0.10000000149011612,10,0.16666666666666666,0.18332797251868713
6,80,60,90,0.2458801851099179,129,mfvi,random,0.09999549095937355,0.20000000298023224,12,0.17142857142857143,0.18332797251868713
7,90,70,100,0.24529153970963818,129,mfvi,random,0.09999549095937355,0.10000000149011612,13,0.1625,0.18332797251868713
8,100,80,110,0.2423904895289056,129,mfvi,random,0.09999549095937355,0.0,13,0.14444444444444443,0.18332797251868713
9,110,90,120,0.23800312662074422,129,mfvi,random,0.09999549095937355,0.0,13,0.13,0.18332797251868713
10,120,100,130,0.2336609748586079,129,mfvi,random,0.09999549095937355,0.0,13,0.11818181818181818,0.18332797251868713
11,130,110,140,0.22943671470513932,129,mfvi,random,0.09999549095937355,0.10000000149011612,14,0.11666666666666667,0.18332797251868713
12,140,120,150,0.22695347730179197,129,mfvi,random,0.09999549095937355,0.0,14,0.1076923076923077,0.18332797251868713
13,150,130,160,0.22504153262509122,129,mfvi,random,0.09999549095937355,0.0,14,0.1,0.18332797251868713
14,160,140,170,0.22191127564369617,129,mfvi,random,0.09999549095937355,0.10000000149011612,15,0.1,0.18332797251868713
15,170,150,180,0.2224843634779476,129,mfvi,random,0.09999549095937355,0.10000000149011612,16,0.1,0.18332797251868713
16,180,160,190,0.2203340304195825,129,mfvi,random,0.09999549095937355,0.20000000298023224,18,0.10588235294117647,0.18332797251868713
17,190,170,200,0.2208301432061246,129,mfvi,random,0.09999549095937355,0.20000000298023224,20,0.1111111111111111,0.18332797251868713
