step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.26521811667769324,129,vi_full,trace,0.09999549095937355,0.0,0,0.0,0.1901483217841897
1,30,10,40,0.26318761317083766,129,vi_full,trace,0.09999549095937355,1.0,10,0.5,0.1901483217841897
2,40,20,50,0.267864019256973,129,vi_full,trace,0.09999549095937355,0.0,10,0.3333333333333333,0.1901483217841897
3,50,30,60,0.2640746761246002,129,vi_full,trace,0.09999549095937355,0.0,10,0.25,0.1901483217841897
4,60,40,70,0.2649555995380405,129,vi_full,trace,0.09999549095937355,0.10000000149011612,11,0.22,0.1901483217841897
5,70,50,80,0.26732503769989446,129,vi_full,trace,0.09999549095937355,0.0,11,0.18333333333333332,0.1901483217841897
6,80,60,90,0.269943000710914,129,vi_full,trace,0.09999549095937355,0.0,11,0.15714285714285714,0.1901483217841897
7,90,70,100,0.2668153841493215,129,vi_full,trace,0.09999549095937355,0.0,11,0.1375,0.1901483217841897
8,100,80,110,0.26411144147049936,129,vi_full,trace,0.09999549095937355,0.10000000149011612,12,0.13333333333333333,0.1901483217841897
9,110,90,120,0.2614197825995099,129,vi_full,trace,0.09999549095937355,0.0,12,0.12,0.1901483217841897
10,120,100,130,0.25884899600804906,129,vi_full,trace,0.09999549095937355,0.10000000149011612,13,0.11818181818181818,0.1901483217841897
11,130,110,140,0.2578549775612738,129,vi_full,trace,0.09999549095937355,0.0,13,0.10833333333333334,0.1901483217841897
12,140,120,150,0.2563838541407444,129,vi_full,trace,0.09999549095937355,0.0,13,0.1,0.1901483217841897
13,150,130,160,0.2515899053395227,129,vi_full,trace,0.09999549095937355,0.30000001192092896,16,0.11428571428571428,0.1901483217841897
14,160,140,170,0.24714289262489425,129,vi_full,trace,0.09999549095937355,0.0,16,0.10666666666666667,0.1901483217841897
15,170,150,180,0.2475666142993134,129,vi_full,trace,0.09999549095937355,0.0,16,0.1,0.1901483217841897
16,180,160,190,0.24729886476816873,129,vi_full,trace,0.09999549095937355,0.0,16,0.09411764705882353,0.1901483217841897
