step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.2456632444780863,129,mfvi,random,0.3000011690027238,0.4000000059604645,4,0.4,0.18228867259445936
1,30,10,40,0.2531384930817269,129,mfvi,random,0.3000011690027238,0.20000000298023224,6,0.3,0.18228867259445936
2,40,20,50,0.2515693710241769,129,mfvi,random,0.3000011690027238,0.30000001192092896,9,0.3,0.18228867259445936
3,50,30,60,0.24325436388043484,129,mfvi,random,0.3000011690027238,0.30000001192092896,12,0.3,0.18228867259445936
4,60,40,70,0.23771063850036245,129,mfvi,random,0.3000011690027238,0.10000000149011612,13,0.26,0.18228867259445936
5,70,50,80,0.2368960866273966,129,mfvi,random,0.3000011690027238,0.10000000149011612,14,0.23333333333333334,0.18228867259445936
6,80,60,90,0.23444092822740017,129,mfvi,random,0.3000011690027238,0.30000001192092896,17,0.24285714285714285,0.18228867259445936
7,90,70,100,0.23623305164074734,129,mfvi,random,0.3000011690027238,0.6000000238418579,23,0.2875,0.18228867259445936
8,100,80,110,0.23743320401154405,129,mfvi,random,0.3000011690027238,0.20000000298023224,25,0.2777777777777778,0.18228867259445936
9,110,90,120,0.2351313109699291,129,mfvi,random,0.3000011690027238,0.4000000059604645,29,0.29,0.18228867259445936
10,120,100,130,0.23177932451674266,129,mfvi,random,0.3000011690027238,0.20000000298023224,31,0.2818181818181818,0.18228867259445936
11,130,110,140,0.22866987582402498,129,mfvi,random,0.3000011690027238,0.4000000059604645,35,0.2916666666666667,0.18228867259445936
12,140,120,150,0.2273511918885076,129,mfvi,random,0.3000011690027238,0.20000000298023224,37,0.2846153846153846,0.18228867259445936
13,150,130,160,0.22679662471997902,129,mfvi,random,0.3000011690027238,0.30000001192092896,40,0.2857142857142857,0.18228867259445936
14,160,140,170,0.2250881229339689,129,mfvi,random,0.3000011690027238,0.20000000298023224,42,0.28,0.18228867259445936
15,170,150,180,0.22283943122655603,129,mfvi,random,0.3000011690027238,0.30000001192092896,45,0.28125,0.18228867259445936
16,180,160,190,0.22277039837156326,129,mfvi,random,0.3000011690027238,0.30000001192092896,48,0.2823529411764706,0.18228867259445936
17,190,170,200,0.22156172866579418,129,mfvi,random,0.3000011690027238,0.20000000298023224,50,0.2777777777777778,0.18228867259445936
18,200,180,210,0.22067776679541712,129,mfvi,random,0.3000011690027238,0.10000000149011612,51,0.26842105263157895,0.18228867259445936
19,210,190,220,0.21864477379844915,129,mfvi,random,0.3000011690027238,0.30000001192092896,54,0.27,0.18228867259445936
20,220,200,230,0.2173236758342841,129,mfvi,random,0.3000011690027238,0.0,54,0.2571428571428571,0.18228867259445936
21,230,210,240,0.21581936439271385,129,mfvi,random,0.3000011690027238,0.30000001192092896,57,0.2590909090909091,0.18228867259445936
22,240,220,250,0.21572409407765514,129,mfvi,random,0.3000011690027238,0.5,62,0.26956521739130435,0.18228867259445936
23,250,230,260,0.2164624137408155,129,mfvi,random,0.3000011690027238,0.4000000059604645,66,0.275,0.18228867259445936
24,260,240,270,0.21540583290979495,129,mfvi,random,0.3000011690027238,0.30000001192092896,69,0.276,0.18228867259445936
25,270,250,280,0.2154482518349824,129,mfvi,random,0.3000011690027238,0.30000001192092896,72,0.27692307692307694,0.18228867259445936
26,280,260,290,0.21518175683956692,129,mfvi,random,0.3000011690027238,0.20000000298023224,74,0.2740740740740741,0.18228867259445936
27,290,270,300,0.21486929393601706,129,mfvi,random,0.3000011690027238,0.20000000298023224,76,0.2714285714285714,0.18228867259445936
28,300,280,310,0.2144981310925284,129,mfvi,random,0.3000011690027238,0.20000000298023224,78,0.2689655172413793,0.18228867259445936
29,310,290,320,0.21435772297362532,129,mfvi,random,0.3000011690027238,0.30000001192092896,81,0.27,0.18228867259445936
30,320,300,330,0.21355056256876848,129,mfvi,random,0.3000011690027238,0.30000001192092896,84,0.2709677419354839,0.18228867259445936
31,330,310,340,0.21316337172899805,129,mfvi,random,0.3000011690027238,0.0,84,0.2625,0.18228867259445936
32,340,320,350,0.21196669061361387,129,mfvi,random,0.3000011690027238,0.20000000298023224,86,0.2606060606060606,0.18228867259445936
33,350,330,360,0.21154373531996876,129,mfvi,random,0.3000011690027238,0.10000000149011612,87,0.25588235294117645,0.18228867259445936
34,360,340,370,0.21055098848022538,129,mfvi,random,0.3000011690027238,0.4000000059604645,91,0.26,0.18228867259445936
35,370,350,380,0.21079300606578483,129,mfvi,random,0.3000011690027238,0.30000001192092896,94,0.2611111111111111,0.18228867259445936
36,380,360,390,0.21066284201968913,129,mfvi,random,0.3000011690027238,0.30000001192092896,97,0.26216216216216215,0.18228867259445936
37,390,370,400,0.21016562479090153,129,mfvi,random,0.3000011690027238,0.4000000059604645,101,0.2657894736842105,0.18228867259445936
38,400,380,410,0.21043144157079402,129,mfvi,random,0.3000011690027238,0.4000000059604645,105,0.2692307692307692,0.18228867259445936
39,410,390,420,0.21031149006072516,129,mfvi,random,0.3000011690027238,0.30000001192092896,108,0.27,0.18228867259445936
40,420,400,430,0.21016892387434447,129,mfvi,random,0.3000011690027238,0.20000000298023224,110,0.2682926829268293,0.18228867259445936
41,430,410,440,0.20978515097668973,129,mfvi,random,0.3000011690027238,0.4000000059604645,114,0.2714285714285714,0.18228867259445936
42,440,420,450,0.20992848949850756,129,mfvi,random,0.3000011690027238,0.20000000298023224,116,0.26976744186046514,0.18228867259445936
43,450,430,460,0.20932680182178653,129,mfvi,random,0.3000011690027238,0.4000000059604645,120,0.2727272727272727,0.18228867259445936
44,460,440,470,0.20951133620880757,129,mfvi,random,0.3000011690027238,0.20000000298023224,122,0.27111111111111114,0.18228867259445936
45,470,450,480,0.2092333242683273,129,mfvi,random,0.3000011690027238,0.30000001192092896,125,0.2717391304347826,0.18228867259445936
46,480,460,490,0.20885519664126748,129,mfvi,random,0.3000011690027238,0.30000001192092896,128,0.2723404255319149,0.18228867259445936
47,490,470,500,0.20858234987574453,129,mfvi,random,0.3000011690027238,0.6000000238418579,134,0.2791666666666667,0.18228867259445936
48,500,480,510,0.20859346910093446,129,mfvi,random,0.3000011690027238,0.20000000298023224,136,0.27755102040816326,0.18228867259445936
49,510,490,520,0.2084956346965087,129,mfvi,random,0.3000011690027238,0.30000001192092896,139,0.278,0.18228867259445936
50,520,500,,0.20816409401974803,129,mfvi,random,0.3000011690027238,0.0,139,0.278,0.18228867259445936
