step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.2627277564769994,129,mfvi,trace,0.3000011690027238,0.0,0,0.0,0.18332755968654849
1,30,10,40,0.260656351156916,129,mfvi,trace,0.3000011690027238,0.0,0,0.0,0.18332755968654849
2,40,20,50,0.25770593441520223,129,mfvi,trace,0.3000011690027238,0.0,0,0.0,0.18332755968654849
3,50,30,60,0.2548037024020893,129,mfvi,trace,0.3000011690027238,0.0,0,0.0,0.18332755968654849
4,60,40,70,0.2526806188000724,129,mfvi,trace,0.3000011690027238,0.0,0,0.0,0.18332755968654849
5,70,50,80,0.25145934414495813,129,mfvi,trace,0.3000011690027238,0.0,0,0.0,0.18332755968654849
6,80,60,90,0.2520978484543501,129,mfvi,trace,0.3000011690027238,0.0,0,0.0,0.18332755968654849
7,90,70,100,0.2533291133060658,129,mfvi,trace,0.3000011690027238,0.0,0,0.0,0.18332755968654849
8,100,80,110,0.2532912166453616,129,mfvi,trace,0.3000011690027238,0.0,0,0.0,0.18332755968654849
9,110,90,120,0.25468271659618463,129,mfvi,trace,0.3000011690027238,0.0,0,0.0,0.18332755968654849
10,120,100,130,0.25483910365169626,129,mfvi,trace,0.3000011690027238,0.0,0,0.0,0.18332755968654849
11,130,110,140,0.25399892539450336,129,mfvi,trace,0.3000011690027238,0.0,0,0.0,0.18332755968654849
12,140,120,150,0.25382824763385775,129,mfvi,trace,0.3000011690027238,0.0,0,0.0,0.18332755968654849
13,150,130,160,0.2516463563651876,129,mfvi,trace,0.3000011690027238,0.0,0,0.0,0.18332755968654849
14,160,140,170,0.25165159524752667,129,mfvi,trace,0.3000011690027238,0.10000000149011612,1,0.006666666666666667,0.18332755968654849
15,170,150,180,0.2538032964349557,129,mfvi,trace,0.3000011690027238,0.0,1,0.00625,0.18332755968654849
16,180,160,190,0.2540747325622178,129,mfvi,trace,0.3000011690027238,0.0,1,0.0058823529411764705,0.18332755968654849
17,190,170,200,0.25533133727937707,129,mfvi,trace,0.3000011690027238,0.0,1,0.005555555555555556,0.18332755968654849
18,200,180,210,0.2550753565125412,129,mfvi,trace,0.3000011690027238,0.0,1,0.005263157894736842,0.18332755968654849
19,210,190,220,0.2545423858061266,129,mfvi,trace,0.3000011690027238,0.0,1,0.005,0.18332755968654849
20,220,200,230,0.25568754965166957,129,mfvi,trace,0.3000011690027238,0.0,1,0.004761904761904762,0.18332755968654849
21,230,210,240,0.25486762227245047,129,mfvi,trace,0.3000011690027238,0.0,1,0.004545454545454545,0.18332755968654849
22,240,220,250,0.2544540340980076,129,mfvi,trace,0.3000011690027238,0.0,1,0.004347826086956522,0.18332755968654849
23,250,230,260,0.2535460329413823,129,mfvi,trace,0.3000011690027238,0.0,1,0.004166666666666667,0.18332755968654849
24,260,240,270,0.25313732608877537,129,mfvi,trace,0.3000011690027238,0.0,1,0.004,0.18332755968654849
25,270,250,280,0.2531081784534036,129,mfvi,trace,0.3000011690027238,0.0,1,0.0038461538461538464,0.18332755968654849
26,280,260,290,0.25300579754968067,129,mfvi,trace,0.3000011690027238,0.0,1,0.003703703703703704,0.18332755968654849
27,290,270,300,0.2529401620659272,129,mfvi,trace,0.3000011690027238,0.10000000149011612,2,0.007142857142857143,0.18332755968654849
28,300,280,310,0.252221458370417,129,mfvi,trace,0.3000011690027238,0.0,2,0.006896551724137931,0.18332755968654849
29,310,290,320,0.2521689894074012,129,mfvi,trace,0.3000011690027238,0.0,2,0.006666666666666667,0.18332755968654849
30,320,300,330,0.2524803422886374,129,mfvi,trace,0.3000011690027238,0.0,2,0.0064516129032258064,0.18332755968654849
31,330,310,340,0.2523444562683615,129,mfvi,trace,0.3000011690027238,0.0,2,0.00625,0.18332755968654849
32,340,320,350,0.25185164865390003,129,mfvi,trace,0.3000011690027238,0.0,2,0.006060606060606061,0.18332755968654849
33,350,330,360,0.2528885469678293,129,mfvi,trace,0.3000011690027238,0.0,2,0.0058823529411764705,0.18332755968654849
34,360,340,370,0.2530475768939015,129,mfvi,trace,0.3000011690027238,0.10000000149011612,3,0.008571428571428572,0.18332755968654849
35,370,350,380,0.2546772620641662,129,mfvi,trace,0.3000011690027238,0.0,3,0.008333333333333333,0.18332755968654849
36,380,360,390,0.2534921623387743,129,mfvi,trace,0.3000011690027238,0.0,3,0.008108108108108109,0.18332755968654849
37,390,370,400,0.25449527830529095,129,mfvi,trace,0.3000011690027238,0.10000000149011612,4,0.010526315789473684,0.18332755968654849
38,400,380,410,0.2567133672594544,129,mfvi,trace,0.3000011690027238,0.0,4,0.010256410256410256,0.18332755968654849
39,410,390,420,0.2565459514303675,129,mfvi,trace,0.3000011690027238,0.0,4,0.01,0.18332755968654849
40,420,400,430,0.256237518750914,129,mfvi,trace,0.3000011690027238,0.0,4,0.00975609756097561,0.18332755968654849
41,430,410,440,0.2562427209332004,129,mfvi,trace,0.3000011690027238,0.0,4,0.009523809523809525,0.18332755968654849
42,440,420,450,0.2563774263963678,129,mfvi,trace,0.3000011690027238,0.0,4,0.009302325581395349,0.18332755968654849
