step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.26521811667769324,129,vi,random,0.3000011690027238,0.4000000059604645,4,0.4,0.1901480585745947
1,30,10,40,0.275844743045114,129,vi,random,0.3000011690027238,0.20000000298023224,6,0.3,0.1901480585745947
2,40,20,50,0.2766852393599765,129,vi,random,0.3000011690027238,0.5,11,0.36666666666666664,0.1901480585745947
3,50,30,60,0.2677477860844511,129,vi,random,0.3000011690027238,0.4000000059604645,15,0.375,0.1901480585745947
4,60,40,70,0.2645200824577172,129,vi,random,0.3000011690027238,0.10000000149011612,16,0.32,0.1901480585745947
5,70,50,80,0.26159314149971036,129,vi,random,0.3000011690027238,0.5,21,0.35,0.1901480585745947
6,80,60,90,0.26611930110736987,129,vi,random,0.3000011690027238,0.4000000059604645,25,0.35714285714285715,0.1901480585745947
7,90,70,100,0.257789014081768,129,vi,random,0.3000011690027238,0.20000000298023224,27,0.3375,0.1901480585745947
8,100,80,110,0.2496615482445685,129,vi,random,0.3000011690027238,0.30000001192092896,30,0.3333333333333333,0.1901480585745947
9,110,90,120,0.24575638582115217,129,vi,random,0.3000011690027238,0.10000000149011612,31,0.31,0.1901480585745947
10,120,100,130,0.24066491146275354,129,vi,random,0.3000011690027238,0.20000000298023224,33,0.3,0.1901480585745947
11,130,110,140,0.23722624024862848,129,vi,random,0.3000011690027238,0.30000001192092896,36,0.3,0.1901480585745947
12,140,120,150,0.23781641135088324,129,vi,random,0.3000011690027238,0.30000001192092896,39,0.3,0.1901480585745947
13,150,130,160,0.2347484316707462,129,vi,random,0.3000011690027238,0.6000000238418579,45,0.32142857142857145,0.1901480585745947
14,160,140,170,0.23167053190158324,129,vi,random,0.3000011690027238,0.30000001192092896,48,0.32,0.1901480585745947
15,170,150,180,0.23032211436852412,129,vi,random,0.3000011690027238,0.4000000059604645,52,0.325,0.1901480585745947
16,180,160,190,0.23155295822108923,129,vi,random,0.3000011690027238,0.30000001192092896,55,0.3235294117647059,0.1901480585745947
17,190,170,200,0.23136996466022766,129,vi,random,0.3000011690027238,0.20000000298023224,57,0.31666666666666665,0.1901480585745947
18,200,180,210,0.23028337884075026,129,vi,random,0.3000011690027238,0.20000000298023224,59,0.3105263157894737,0.1901480585745947
19,210,190,220,0.23004360150577977,129,vi,random,0.3000011690027238,0.20000000298023224,61,0.305,0.1901480585745947
20,220,200,230,0.22895715091065622,129,vi,random,0.3000011690027238,0.4000000059604645,65,0.30952380952380953,0.1901480585745947
21,230,210,240,0.22873740573253426,129,vi,random,0.3000011690027238,0.20000000298023224,67,0.30454545454545456,0.1901480585745947
22,240,220,250,0.22811258527862946,129,vi,random,0.3000011690027238,0.20000000298023224,69,0.3,0.1901480585745947
23,250,230,260,0.22616644261610738,129,vi,random,0.3000011690027238,0.6000000238418579,75,0.3125,0.1901480585745947
24,260,240,270,0.22689563869624071,129,vi,random,0.3000011690027238,0.5,80,0.32,0.1901480585745947
25,270,250,280,0.2272783518480148,129,vi,random,0.3000011690027238,0.30000001192092896,83,0.3192307692307692,0.1901480585745947
26,280,260,290,0.22687650653769773,129,vi,random,0.3000011690027238,0.4000000059604645,87,0.32222222222222224,0.1901480585745947
27,290,270,300,0.22597266972122426,129,vi,random,0.3000011690027238,0.6000000238418579,93,0.33214285714285713,0.1901480585745947
28,300,280,310,0.22600598676735867,129,vi,random,0.3000011690027238,0.6000000238418579,99,0.3413793103448276,0.1901480585745947
29,310,290,320,0.22562214333371625,129,vi,random,0.3000011690027238,0.30000001192092896,102,0.34,0.1901480585745947
30,320,300,330,0.2245757284581306,129,vi,random,0.3000011690027238,0.30000001192092896,105,0.3387096774193548,0.1901480585745947
31,330,310,340,0.2236170607170884,129,vi,random,0.3000011690027238,0.4000000059604645,109,0.340625,0.1901480585745947
32,340,320,350,0.22402262764129988,129,vi,random,0.3000011690027238,0.10000000149011612,110,0.3333333333333333,0.1901480585745947
33,350,330,360,0.22323455599926167,129,vi,random,0.3000011690027238,0.5,115,0.3382352941176471,0.1901480585745947
34,360,340,370,0.22405579880146487,129,vi,random,0.3000011690027238,0.10000000149011612,116,0.3314285714285714,0.1901480585745947
35,370,350,380,0.22384341407206398,129,vi,random,0.3000011690027238,0.4000000059604645,120,0.3333333333333333,0.1901480585745947
36,380,360,390,0.22377696022979554,129,vi,random,0.3000011690027238,0.6000000238418579,126,0.34054054054054056,0.1901480585745947
37,390,370,400,0.22403210873039495,129,vi,random,0.3000011690027238,0.5,131,0.3447368421052632,0.1901480585745947
38,400,380,410,0.22369950765829258,129,vi,random,0.3000011690027238,0.20000000298023224,133,0.34102564102564104,0.1901480585745947
39,410,390,420,0.22379167733351926,129,vi,random,0.3000011690027238,0.30000001192092896,136,0.34,0.1901480585745947
40,420,400,430,0.22346104552513732,129,vi,random,0.3000011690027238,0.4000000059604645,140,0.34146341463414637,0.1901480585745947
41,430,410,440,0.22314071198181207,129,vi,random,0.3000011690027238,0.30000001192092896,143,0.3404761904761905,0.1901480585745947
42,440,420,450,0.22271704213951612,129,vi,random,0.3000011690027238,0.20000000298023224,145,0.3372093023255814,0.1901480585745947
43,450,430,460,0.22151338269038623,129,vi,random,0.3000011690027238,0.6000000238418579,151,0.3431818181818182,0.1901480585745947
44,460,440,470,0.2215295285763277,129,vi,random,0.3000011690027238,0.10000000149011612,152,0.3377777777777778,0.1901480585745947
45,470,450,480,0.22105919562133125,129,vi,random,0.3000011690027238,0.10000000149011612,153,0.33260869565217394,0.1901480585745947
46,480,460,490,0.2207994507713674,129,vi,random,0.3000011690027238,0.4000000059604645,157,0.33404255319148934,0.1901480585745947
47,490,470,500,0.22058980774562092,129,vi,random,0.3000011690027238,0.20000000298023224,159,0.33125,0.1901480585745947
48,500,480,510,0.2200174220729463,129,vi,random,0.3000011690027238,0.4000000059604645,163,0.3326530612244898,0.1901480585745947
49,510,490,520,0.21998508472166925,129,vi,random,0.3000011690027238,0.30000001192092896,166,0.332,0.1901480585745947
50,520,500,,0.21968154330473463,129,vi,random,0.3000011690027238,0.0,166,0.332,0.1901480585745947
