step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.24566315503588954,129,vi,trace,0.3000011690027238,0.20000000298023224,2,0.2,0.18228812347747042
1,30,10,40,0.25439039419020915,129,vi,trace,0.3000011690027238,0.20000000298023224,4,0.2,0.18228812347747042
2,40,20,50,0.25578646146187545,129,vi,trace,0.3000011690027238,0.20000000298023224,6,0.2,0.18228812347747042
3,50,30,60,0.2561742742530219,129,vi,trace,0.3000011690027238,0.30000001192092896,9,0.225,0.18228812347747042
4,60,40,70,0.25302429516809744,129,vi,trace,0.3000011690027238,0.30000001192092896,12,0.24,0.18228812347747042
5,70,50,80,0.25158289901764985,129,vi,trace,0.3000011690027238,0.4000000059604645,16,0.26666666666666666,0.18228812347747042
6,80,60,90,0.2507020124040441,129,vi,trace,0.3000011690027238,0.30000001192092896,19,0.2714285714285714,0.18228812347747042
7,90,70,100,0.2536306485016647,129,vi,trace,0.3000011690027238,0.6000000238418579,25,0.3125,0.18228812347747042
8,100,80,110,0.253911576867199,129,vi,trace,0.3000011690027238,0.10000000149011612,26,0.28888888888888886,0.18228812347747042
9,110,90,120,0.2521504290442265,129,vi,trace,0.3000011690027238,0.30000001192092896,29,0.29,0.18228812347747042
10,120,100,130,0.25108394893752667,129,vi,trace,0.3000011690027238,0.5,34,0.3090909090909091,0.18228812347747042
11,130,110,140,0.253145967495781,129,vi,trace,0.3000011690027238,0.5,39,0.325,0.18228812347747042
12,140,120,150,0.25417045868926724,129,vi,trace,0.3000011690027238,0.30000001192092896,42,0.3230769230769231,0.18228812347747042
13,150,130,160,0.25574143512662356,129,vi,trace,0.3000011690027238,0.4000000059604645,46,0.32857142857142857,0.18228812347747042
14,160,140,170,0.2560959807712481,129,vi,trace,0.3000011690027238,0.4000000059604645,50,0.3333333333333333,0.18228812347747042
15,170,150,180,0.2563814259006978,129,vi,trace,0.3000011690027238,0.4000000059604645,54,0.3375,0.18228812347747042
16,180,160,190,0.25752193853752536,129,vi,trace,0.3000011690027238,0.30000001192092896,57,0.3352941176470588,0.18228812347747042
17,190,170,200,0.255816191489368,129,vi,trace,0.3000011690027238,0.30000001192092896,60,0.3333333333333333,0.18228812347747042
18,200,180,210,0.2572270625706984,129,vi,trace,0.3000011690027238,0.20000000298023224,62,0.3263157894736842,0.18228812347747042
19,210,190,220,0.25799961959455964,129,vi,trace,0.3000011690027238,0.5,67,0.335,0.18228812347747042
20,220,200,230,0.25796387601391985,129,vi,trace,0.3000011690027238,0.20000000298023224,69,0.32857142857142857,0.18228812347747042
21,230,210,240,0.2580555672355278,129,vi,trace,0.3000011690027238,0.6000000238418579,75,0.3409090909090909,0.18228812347747042
22,240,220,250,0.2583689260594722,129,vi,trace,0.3000011690027238,0.5,80,0.34782608695652173,0.18228812347747042
23,250,230,260,0.2591731518816137,129,vi,trace,0.3000011690027238,0.20000000298023224,82,0.3416666666666667,0.18228812347747042
24,260,240,270,0.2590203995495577,129,vi,trace,0.3000011690027238,0.10000000149011612,83,0.332,0.18228812347747042
25,270,250,280,0.25865564780345507,129,vi,trace,0.3000011690027238,0.10000000149011612,84,0.3230769230769231,0.18228812347747042
26,280,260,290,0.25915740119423564,129,vi,trace,0.3000011690027238,0.10000000149011612,85,0.3148148148148148,0.18228812347747042
27,290,270,300,0.26067024112731974,129,vi,trace,0.3000011690027238,0.10000000149011612,86,0.30714285714285716,0.18228812347747042
28,300,280,310,0.2606549368298057,129,vi,trace,0.3000011690027238,0.4000000059604645,90,0.3103448275862069,0.18228812347747042
