step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.2456632444780863,129,analytic,random,0.5,0.6000000238418579,6,0.6,0.18228733328182734
1,30,10,40,0.2522441463641922,129,analytic,random,0.5,0.4000000059604645,10,0.5,0.18228733328182734
2,40,20,50,0.261380415639136,129,analytic,random,0.5,0.30000001192092896,13,0.43333333333333335,0.18228733328182734
3,50,30,60,0.25886455797385627,129,analytic,random,0.5,0.6000000238418579,19,0.475,0.18228733328182734
4,60,40,70,0.25956291197595527,129,analytic,random,0.5,0.30000001192092896,22,0.44,0.18228733328182734
5,70,50,80,0.2460598984654194,129,analytic,random,0.5,0.30000001192092896,25,0.4166666666666667,0.18228733328182734
6,80,60,90,0.2415710400333875,129,analytic,random,0.5,0.30000001192092896,28,0.4,0.18228733328182734
7,90,70,100,0.23994027984193275,129,analytic,random,0.5,0.8999999761581421,37,0.4625,0.18228733328182734
8,100,80,110,0.24326364740428746,129,analytic,random,0.5,0.4000000059604645,41,0.45555555555555555,0.18228733328182734
9,110,90,120,0.24363992907375118,129,analytic,random,0.5,0.699999988079071,48,0.48,0.18228733328182734
10,120,100,130,0.241451350964977,129,analytic,random,0.5,0.4000000059604645,52,0.4727272727272727,0.18228733328182734
11,130,110,140,0.24147425215356813,129,analytic,random,0.5,0.699999988079071,59,0.49166666666666664,0.18228733328182734
12,140,120,150,0.2402471058618605,129,analytic,random,0.5,0.4000000059604645,63,0.4846153846153846,0.18228733328182734
13,150,130,160,0.2392733139111004,129,analytic,random,0.5,0.699999988079071,70,0.5,0.18228733328182734
14,160,140,170,0.23753001455079314,129,analytic,random,0.5,0.5,75,0.5,0.18228733328182734
15,170,150,180,0.2388016653031601,129,analytic,random,0.5,0.5,80,0.5,0.18228733328182734
16,180,160,190,0.23930460575579715,129,analytic,random,0.5,0.4000000059604645,84,0.49411764705882355,0.18228733328182734
17,190,170,200,0.23959903028288743,129,analytic,random,0.5,0.30000001192092896,87,0.48333333333333334,0.18228733328182734
18,200,180,210,0.23834837169375103,129,analytic,random,0.5,0.4000000059604645,91,0.4789473684210526,0.18228733328182734
19,210,190,220,0.23857614948180067,129,analytic,random,0.5,0.6000000238418579,97,0.485,0.18228733328182734
20,220,200,230,0.2380244620438202,129,analytic,random,0.5,0.30000001192092896,100,0.47619047619047616,0.18228733328182734
21,230,210,240,0.23823519022045211,129,analytic,random,0.5,0.6000000238418579,106,0.4818181818181818,0.18228733328182734
22,240,220,250,0.23816629399171915,129,analytic,random,0.5,0.800000011920929,114,0.4956521739130435,0.18228733328182734
23,250,230,260,0.23795367852798577,129,analytic,random,0.5,0.699999988079071,121,0.5041666666666667,0.18228733328182734
24,260,240,270,0.23765131898237488,129,analytic,random,0.5,0.4000000059604645,125,0.5,0.18228733328182734
25,270,250,280,0.23602284259486941,129,analytic,random,0.5,0.5,130,0.5,0.18228733328182734
26,280,260,290,0.23547986453529843,129,analytic,random,0.5,0.4000000059604645,134,0.4962962962962963,0.18228733328182734
27,290,270,300,0.23373525187431612,129,analytic,random,0.5,0.4000000059604645,138,0.4928571428571429,0.18228733328182734
28,300,280,310,0.23293577902168122,129,analytic,random,0.5,0.30000001192092896,141,0.4862068965517241,0.18228733328182734
29,310,290,320,0.23198226545228623,129,analytic,random,0.5,0.6000000238418579,147,0.49,0.18228733328182734
30,320,300,330,0.2321685305171655,129,analytic,random,0.5,0.5,152,0.49032258064516127,0.18228733328182734
31,330,310,340,0.23107942399814074,129,analytic,random,0.5,0.10000000149011612,153,0.478125,0.18228733328182734
32,340,320,350,0.2285665247799861,129,analytic,random,0.5,0.6000000238418579,159,0.4818181818181818,0.18228733328182734
33,350,330,360,0.22797760649348875,129,analytic,random,0.5,0.4000000059604645,163,0.47941176470588237,0.18228733328182734
34,360,340,370,0.22653024554888362,129,analytic,random,0.5,0.5,168,0.48,0.18228733328182734
35,370,350,380,0.2272669006710502,129,analytic,random,0.5,0.800000011920929,176,0.4888888888888889,0.18228733328182734
36,380,360,390,0.22751988451905145,129,analytic,random,0.5,0.800000011920929,184,0.4972972972972973,0.18228733328182734
37,390,370,400,0.22788951887372969,129,analytic,random,0.5,0.6000000238418579,190,0.5,0.18228733328182734
38,400,380,410,0.2280345497054668,129,analytic,random,0.5,0.6000000238418579,196,0.5025641025641026,0.18228733328182734
39,410,390,420,0.22859658021146118,129,analytic,random,0.5,0.4000000059604645,200,0.5,0.18228733328182734
