step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.26521811667769324,129,vi_full,trace,0.5,0.0,0,0.0,0.19014804573509295
1,30,10,40,0.26318761317083766,129,vi_full,trace,0.5,1.0,10,0.5,0.19014804573509295
2,40,20,50,0.26559181778035823,129,vi_full,trace,0.5,0.0,10,0.3333333333333333,0.19014804573509295
3,50,30,60,0.26799660933897557,129,vi_full,trace,0.5,0.0,10,0.25,0.19014804573509295
4,60,40,70,0.27034809194871806,129,vi_full,trace,0.5,0.0,10,0.2,0.19014804573509295
5,70,50,80,0.2677548617964294,129,vi_full,trace,0.5,0.800000011920929,18,0.3,0.19014804573509295
6,80,60,90,0.2660149068455798,129,vi_full,trace,0.5,0.0,18,0.2571428571428571,0.19014804573509295
7,90,70,100,0.26233755204113934,129,vi_full,trace,0.5,0.0,18,0.225,0.19014804573509295
8,100,80,110,0.25830752664278384,129,vi_full,trace,0.5,0.0,18,0.2,0.19014804573509295
9,110,90,120,0.25414141993804357,129,vi_full,trace,0.5,0.0,18,0.18,0.19014804573509295
10,120,100,130,0.2548834177435343,129,vi_full,trace,0.5,0.0,18,0.16363636363636364,0.19014804573509295
11,130,110,140,0.24814410741920712,129,vi_full,trace,0.5,0.0,18,0.15,0.19014804573509295
12,140,120,150,0.24754362581106285,129,vi_full,trace,0.5,0.0,18,0.13846153846153847,0.19014804573509295
13,150,130,160,0.24520038242030232,129,vi_full,trace,0.5,0.10000000149011612,19,0.1357142857142857,0.19014804573509295
14,160,140,170,0.24318680930254008,129,vi_full,trace,0.5,0.0,19,0.12666666666666668,0.19014804573509295
15,170,150,180,0.24265768874332005,129,vi_full,trace,0.5,0.0,19,0.11875,0.19014804573509295
16,180,160,190,0.24176524682077966,129,vi_full,trace,0.5,0.0,19,0.11176470588235295,0.19014804573509295
17,190,170,200,0.24242163078057308,129,vi_full,trace,0.5,0.0,19,0.10555555555555556,0.19014804573509295
18,200,180,210,0.23899384226507803,129,vi_full,trace,0.5,0.0,19,0.1,0.19014804573509295
19,210,190,220,0.23894174850721986,129,vi_full,trace,0.5,0.0,19,0.095,0.19014804573509295
20,220,200,230,0.23965849930487026,129,vi_full,trace,0.5,0.0,19,0.09047619047619047,0.19014804573509295
21,230,210,240,0.23772689614016648,129,vi_full,trace,0.5,0.10000000149011612,20,0.09090909090909091,0.19014804573509295
22,240,220,250,0.23704032406823738,129,vi_full,trace,0.5,0.0,20,0.08695652173913043,0.19014804573509295
23,250,230,260,0.23703462835430292,129,vi_full,trace,0.5,0.0,20,0.08333333333333333,0.19014804573509295
24,260,240,270,0.23687979258014497,129,vi_full,trace,0.5,0.30000001192092896,23,0.092,0.19014804573509295
25,270,250,280,0.23624627973261295,129,vi_full,trace,0.5,0.0,23,0.08846153846153847,0.19014804573509295
26,280,260,290,0.2357985621543577,129,vi_full,trace,0.5,0.10000000149011612,24,0.08888888888888889,0.19014804573509295
27,290,270,300,0.23613334173327788,129,vi_full,trace,0.5,0.0,24,0.08571428571428572,0.19014804573509295
28,300,280,310,0.23482796853161997,129,vi_full,trace,0.5,0.10000000149011612,25,0.08620689655172414,0.19014804573509295
29,310,290,320,0.23393275985379325,129,vi_full,trace,0.5,0.0,25,0.08333333333333333,0.19014804573509295
30,320,300,330,0.2334435763098066,129,vi_full,trace,0.5,0.0,25,0.08064516129032258,0.19014804573509295
31,330,310,340,0.23289606302356208,129,vi_full,trace,0.5,0.6000000238418579,31,0.096875,0.19014804573509295
32,340,320,350,0.23222413069058953,129,vi_full,trace,0.5,0.0,31,0.09393939393939393,0.19014804573509295
33,350,330,360,0.2304713029519619,129,vi_full,trace,0.5,0.0,31,0.09117647058823529,0.19014804573509295
34,360,340,370,0.2308049243104174,129,vi_full,trace,0.5,0.0,31,0.08857142857142856,0.19014804573509295
35,370,350,380,0.23129766189574313,129,vi_full,trace,0.5,0.30000001192092896,34,0.09444444444444444,0.19014804573509295
36,380,360,390,0.23123501851809233,129,vi_full,trace,0.5,0.0,34,0.0918918918918919,0.19014804573509295
37,390,370,400,0.23088835742356087,129,vi_full,trace,0.5,0.0,34,0.08947368421052632,0.19014804573509295
