step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.26521811667769324,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
1,30,10,40,0.2626920242591598,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
2,40,20,50,0.26295217750809746,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
3,50,30,60,0.262783933123417,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
4,60,40,70,0.26211394602944155,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
5,70,50,80,0.2622566301145931,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
6,80,60,90,0.2639403563662632,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
7,90,70,100,0.26422267701102986,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
8,100,80,110,0.26439673743377584,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
9,110,90,120,0.2642857876221544,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
10,120,100,130,0.2643480704369714,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
11,130,110,140,0.26577207325427366,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
12,140,120,150,0.2661360341477174,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
13,150,130,160,0.2665375776010533,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
14,160,140,170,0.2666943456907879,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
15,170,150,180,0.26671069481099274,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
16,180,160,190,0.2671340498437769,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
17,190,170,200,0.26798479361593447,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
18,200,180,210,0.26765536522037064,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
19,210,190,220,0.26744811850852496,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
20,220,200,230,0.2675774475356387,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
21,230,210,240,0.267690444035877,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
22,240,220,250,0.2681852714892263,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
23,250,230,260,0.26876293573519394,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
24,260,240,270,0.26907326125402165,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
25,270,250,280,0.27028297345964564,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
26,280,260,290,0.27004486389417776,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
27,290,270,300,0.27075888900747563,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
28,300,280,310,0.2709672525474711,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
29,310,290,320,0.27094393374714076,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
30,320,300,330,0.2713370036158909,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
31,330,310,340,0.27183304273947273,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
32,340,320,350,0.27214531281846926,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
33,350,330,360,0.27239330085661523,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
34,360,340,370,0.272441919699181,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
35,370,350,380,0.27378693743379173,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
36,380,360,390,0.2738810509657888,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
37,390,370,400,0.27441026076103187,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
38,400,380,410,0.27574099387491335,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
39,410,390,420,0.2770297606417946,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
40,420,400,430,0.27763121545833963,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
41,430,410,440,0.2774308489994624,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
42,440,420,450,0.2729869055210112,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
43,450,430,460,0.27430409106500764,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
44,460,440,470,0.2748720671881967,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
45,470,450,480,0.27493017579469153,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
46,480,460,490,0.27483293042944745,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
47,490,470,500,0.2755476790638963,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
48,500,480,510,0.2759078675340511,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
49,510,490,520,0.27078248521068526,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
50,520,500,,0.2709736225199097,129,vi,trace,0.5,0.0,0,0.0,0.1901480778338457
