step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.24566315503588954,129,vi_full,random,0.5,0.6000000238418579,6,0.6,0.18228774177322307
1,30,10,40,0.2522441173279617,129,vi_full,random,0.5,0.4000000059604645,10,0.5,0.18228774177322307
2,40,20,50,0.26138052772430753,129,vi_full,random,0.5,0.30000001192092896,13,0.43333333333333335,0.18228774177322307
3,50,30,60,0.2588645956986973,129,vi_full,random,0.5,0.6000000238418579,19,0.475,0.18228774177322307
4,60,40,70,0.25956304365762956,129,vi_full,random,0.5,0.30000001192092896,22,0.44,0.18228774177322307
5,70,50,80,0.2460597694793889,129,vi_full,random,0.5,0.30000001192092896,25,0.4166666666666667,0.18228774177322307
6,80,60,90,0.24157119162888607,129,vi_full,random,0.5,0.30000001192092896,28,0.4,0.18228774177322307
7,90,70,100,0.23993986266419448,129,vi_full,random,0.5,0.8999999761581421,37,0.4625,0.18228774177322307
8,100,80,110,0.24326381801708613,129,vi_full,random,0.5,0.4000000059604645,41,0.45555555555555555,0.18228774177322307
9,110,90,120,0.24364028981330757,129,vi_full,random,0.5,0.699999988079071,48,0.48,0.18228774177322307
10,120,100,130,0.24145145207875124,129,vi_full,random,0.5,0.4000000059604645,52,0.4727272727272727,0.18228774177322307
11,130,110,140,0.24147435325775282,129,vi_full,random,0.5,0.699999988079071,59,0.49166666666666664,0.18228774177322307
12,140,120,150,0.2402468518101486,129,vi_full,random,0.5,0.4000000059604645,63,0.4846153846153846,0.18228774177322307
13,150,130,160,0.2392729567911144,129,vi_full,random,0.5,0.699999988079071,70,0.5,0.18228774177322307
14,160,140,170,0.23752978842794645,129,vi_full,random,0.5,0.5,75,0.5,0.18228774177322307
15,170,150,180,0.23880230938738847,129,vi_full,random,0.5,0.5,80,0.5,0.18228774177322307
16,180,160,190,0.2393048302015914,129,vi_full,random,0.5,0.4000000059604645,84,0.49411764705882355,0.18228774177322307
17,190,170,200,0.23959862270054894,129,vi_full,random,0.5,0.30000001192092896,87,0.48333333333333334,0.18228774177322307
18,200,180,210,0.23834897603094501,129,vi_full,random,0.5,0.4000000059604645,91,0.4789473684210526,0.18228774177322307
19,210,190,220,0.23857608808237155,129,vi_full,random,0.5,0.6000000238418579,97,0.485,0.18228774177322307
20,220,200,230,0.23802433896032565,129,vi_full,random,0.5,0.30000001192092896,100,0.47619047619047616,0.18228774177322307
21,230,210,240,0.2382353336907647,129,vi_full,random,0.5,0.6000000238418579,106,0.4818181818181818,0.18228774177322307
22,240,220,250,0.23816624273747844,129,vi_full,random,0.5,0.800000011920929,114,0.4956521739130435,0.18228774177322307
23,250,230,260,0.23795397606798357,129,vi_full,random,0.5,0.699999988079071,121,0.5041666666666667,0.18228774177322307
24,260,240,270,0.23765099024422873,129,vi_full,random,0.5,0.4000000059604645,125,0.5,0.18228774177322307
25,270,250,280,0.23602267709176272,129,vi_full,random,0.5,0.5,130,0.5,0.18228774177322307
26,280,260,290,0.2354796053403564,129,vi_full,random,0.5,0.4000000059604645,134,0.4962962962962963,0.18228774177322307
27,290,270,300,0.23373571146168487,129,vi_full,random,0.5,0.4000000059604645,138,0.4928571428571429,0.18228774177322307
28,300,280,310,0.2329359571990765,129,vi_full,random,0.5,0.30000001192092896,141,0.4862068965517241,0.18228774177322307
29,310,290,320,0.23198301266270016,129,vi_full,random,0.5,0.6000000238418579,147,0.49,0.18228774177322307
30,320,300,330,0.2321685410328292,129,vi_full,random,0.5,0.5,152,0.49032258064516127,0.18228774177322307
31,330,310,340,0.23107851538695132,129,vi_full,random,0.5,0.10000000149011612,153,0.478125,0.18228774177322307
32,340,320,350,0.2285662150197126,129,vi_full,random,0.5,0.6000000238418579,159,0.4818181818181818,0.18228774177322307
33,350,330,360,0.22797774571010762,129,vi_full,random,0.5,0.4000000059604645,163,0.47941176470588237,0.18228774177322307
34,360,340,370,0.2265306766443289,129,vi_full,random,0.5,0.5,168,0.48,0.18228774177322307
35,370,350,380,0.22726719071736357,129,vi_full,random,0.5,0.800000011920929,176,0.4888888888888889,0.18228774177322307
36,380,360,390,0.2275196269864701,129,vi_full,random,0.5,0.800000011920929,184,0.4972972972972973,0.18228774177322307
37,390,370,400,0.2278891010619255,129,vi_full,random,0.5,0.6000000238418579,190,0.5,0.18228774177322307
38,400,380,410,0.22803378955691522,129,vi_full,random,0.5,0.6000000238418579,196,0.5025641025641026,0.18228774177322307
39,410,390,420,0.22859652681156925,129,vi_full,random,0.5,0.4000000059604645,200,0.5,0.18228774177322307
40,420,400,430,0.22861329376468356,129,vi_full,random,0.5,0.4000000059604645,204,0.4975609756097561,0.18228774177322307
41,430,410,440,0.22800110077173968,129,vi_full,random,0.5,0.6000000238418579,210,0.5,0.18228774177322307
42,440,420,450,0.22837206227585063,129,vi_full,random,0.5,0.30000001192092896,213,0.49534883720930234,0.18228774177322307
43,450,430,460,0.22726377459284508,129,vi_full,random,0.5,0.6000000238418579,219,0.49772727272727274,0.18228774177322307
44,460,440,470,0.22703876665120432,129,vi_full,random,0.5,0.5,224,0.49777777777777776,0.18228774177322307
45,470,450,480,0.22586056132946827,129,vi_full,random,0.5,0.6000000238418579,230,0.5,0.18228774177322307
