step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.2456556914667356,129,analytic,trace,0.0,0.0,0,0.0,0.18266833925989678
1,30,10,40,0.24330812311437014,129,analytic,trace,0.0,0.0,0,0.0,0.18266833925989678
2,40,20,50,0.2409605918733134,129,analytic,trace,0.0,0.0,0,0.0,0.18266833925989678
3,50,30,60,0.2397920037827054,129,analytic,trace,0.0,0.0,0,0.0,0.18266833925989678
4,60,40,70,0.24475798194658024,129,analytic,trace,0.0,0.0,0,0.0,0.18266833925989678
5,70,50,80,0.2558008926483399,129,analytic,trace,0.0,0.0,0,0.0,0.18266833925989678
6,80,60,90,0.24848235640647104,129,analytic,trace,0.0,0.0,0,0.0,0.18266833925989678
7,90,70,100,0.24586309627387148,129,analytic,trace,0.0,0.0,0,0.0,0.18266833925989678
8,100,80,110,0.24651015366385012,129,analytic,trace,0.0,0.0,0,0.0,0.18266833925989678
9,110,90,120,0.24520885549363833,129,analytic,trace,0.0,0.0,0,0.0,0.18266833925989678
10,120,100,130,0.24278364130306432,129,analytic,trace,0.0,0.0,0,0.0,0.18266833925989678
11,130,110,140,0.23930208582720294,129,analytic,trace,0.0,0.0,0,0.0,0.18266833925989678
12,140,120,150,0.2383521513367878,129,analytic,trace,0.0,0.0,0,0.0,0.18266833925989678
13,150,130,160,0.23683805780532824,129,analytic,trace,0.0,0.0,0,0.0,0.18266833925989678
14,160,140,170,0.23705937745109346,129,analytic,trace,0.0,0.0,0,0.0,0.18266833925989678
15,170,150,180,0.2366763575902492,129,analytic,trace,0.0,0.0,0,0.0,0.18266833925989678
16,180,160,190,0.23321084838550607,129,analytic,trace,0.0,0.0,0,0.0,0.18266833925989678
17,190,170,200,0.23365073510610876,129,analytic,trace,0.0,0.0,0,0.0,0.18266833925989678
18,200,180,210,0.23209467777854148,129,analytic,trace,0.0,0.0,0,0.0,0.18266833925989678
19,210,190,220,0.22905854575372755,129,analytic,trace,0.0,0.0,0,0.0,0.18266833925989678
