step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.2652231611215591,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
1,30,10,40,0.2647326186456818,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
2,40,20,50,0.2654313172549304,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
3,50,30,60,0.25707061818569427,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
4,60,40,70,0.24773069661807154,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
5,70,50,80,0.24282187079729867,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
6,80,60,90,0.23748920616919625,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
7,90,70,100,0.2347313020874879,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
8,100,80,110,0.23473958102211373,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
9,110,90,120,0.2312198037717574,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
10,120,100,130,0.23053988309035056,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
11,130,110,140,0.228341571000278,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
12,140,120,150,0.22378495711564259,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
13,150,130,160,0.22386027528698008,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
14,160,140,170,0.22070600938380677,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
15,170,150,180,0.21875097097998789,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
16,180,160,190,0.21754564670072693,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
17,190,170,200,0.21584932850761315,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
18,200,180,210,0.21453192143012192,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
19,210,190,220,0.21406172445114982,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
20,220,200,230,0.21219481762050646,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
21,230,210,240,0.21140175762041336,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
22,240,220,250,0.21015825974875457,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
23,250,230,260,0.21030799586558757,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
24,260,240,270,0.20954743365912407,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
25,270,250,280,0.20883268151126994,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
26,280,260,290,0.20945865865965055,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
27,290,270,300,0.2092817772876738,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
28,300,280,310,0.2084516252710086,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
29,310,290,320,0.20780098652316353,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
30,320,300,330,0.2079034340520257,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
31,330,310,340,0.20739643499829016,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
32,340,320,350,0.20708400271312002,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
33,350,330,360,0.20714568771157174,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
34,360,340,370,0.20714216368610835,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
35,370,350,380,0.20656135353312705,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
36,380,360,390,0.20658657433461766,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
37,390,370,400,0.20613093153988316,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
38,400,380,410,0.2055493069268904,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
39,410,390,420,0.20528166387536298,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
40,420,400,430,0.20470151431031844,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
41,430,410,440,0.2045945399595258,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
42,440,420,450,0.20418124416495753,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
43,450,430,460,0.20396467074977104,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
44,460,440,470,0.2042290428737426,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
45,470,450,480,0.20369546097130514,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
46,480,460,490,0.20350693659476943,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
47,490,470,500,0.2031557909354912,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
48,500,480,510,0.2028834862288575,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
49,510,490,520,0.20282995398701592,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
50,520,500,530,0.20255475243591545,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
51,530,510,540,0.2020497139667921,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
52,540,520,550,0.2014969673023176,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
53,550,530,560,0.20143136480340518,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
54,560,540,570,0.20122987938044576,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
55,570,550,580,0.2011612466852618,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
56,580,560,590,0.2008765824260944,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
57,590,570,600,0.2008943322118465,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
58,600,580,610,0.20082069772988725,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
59,610,590,620,0.200424671206229,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
60,620,600,630,0.20035341089637707,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
61,630,610,640,0.2004391297291088,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
62,640,620,650,0.20047482088430393,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
63,650,630,660,0.20029816641384912,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
64,660,640,670,0.20015268829774058,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
65,670,650,680,0.1997846191351295,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
66,680,660,690,0.1997103371135305,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
67,690,670,700,0.19960922517117663,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
68,700,680,710,0.19930514058222382,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
69,710,690,720,0.19939992986771585,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
70,720,700,730,0.1992937420128107,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
71,730,710,740,0.19908794725494433,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
72,740,720,750,0.19888627894634914,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
73,750,730,760,0.19876439609811913,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
74,760,740,770,0.1987357871293882,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
75,770,750,780,0.19878629532977743,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
76,780,760,790,0.19878405393204016,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
77,790,770,800,0.19877092436041482,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
78,800,780,810,0.1986848114398154,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
79,810,790,820,0.1985080214256152,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
80,820,800,830,0.19840000876149805,129,mfvi,random,0.0,0.0,0,0.0,0.19033601943134346
