step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.2456556914667356,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
1,30,10,40,0.24479912444313398,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
2,40,20,50,0.24834461707096653,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
3,50,30,60,0.24119591362624698,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
4,60,40,70,0.23989147530055127,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
5,70,50,80,0.23758991924440417,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
6,80,60,90,0.23615848508602227,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
7,90,70,100,0.2360664796460946,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
8,100,80,110,0.23621521321270778,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
9,110,90,120,0.23531304988315566,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
10,120,100,130,0.23363382808360608,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
11,130,110,140,0.23359761702484788,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
12,140,120,150,0.23346133370632813,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
13,150,130,160,0.23400977794074118,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
14,160,140,170,0.23231261349876162,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
15,170,150,180,0.23194787011982887,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
16,180,160,190,0.2331005977510032,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
17,190,170,200,0.23157741812607183,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
18,200,180,210,0.23015423454650472,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
19,210,190,220,0.22941171793987553,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
20,220,200,230,0.22871548151442436,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
21,230,210,240,0.22834090810124236,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
22,240,220,250,0.22762263821880174,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
23,250,230,260,0.22708843051427674,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
24,260,240,270,0.22708924758162263,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
25,270,250,280,0.2272003521124032,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
26,280,260,290,0.22736315424063328,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
27,290,270,300,0.22690994909875592,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
28,300,280,310,0.22649801884136314,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
29,310,290,320,0.22688466318952677,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
30,320,300,330,0.22651060828151626,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
31,330,310,340,0.22615693225681255,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
32,340,320,350,0.2262443671605439,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
33,350,330,360,0.2261741067463294,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
34,360,340,370,0.22621510003617132,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
35,370,350,380,0.22640664898170504,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
36,380,360,390,0.22642120594149304,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
37,390,370,400,0.22639172443052108,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
38,400,380,410,0.2262646317782565,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
39,410,390,420,0.2256201739442309,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
40,420,400,430,0.2260910936264131,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
41,430,410,440,0.22614096561243607,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
42,440,420,450,0.2261665505634067,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
43,450,430,460,0.22627419155888062,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
44,460,440,470,0.22623872338955925,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
45,470,450,480,0.22654219736618605,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
46,480,460,490,0.22727255113629538,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
47,490,470,500,0.2272523978833887,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
48,500,480,510,0.22699830929298792,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
49,510,490,520,0.2279396614409447,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
50,520,500,530,0.2279401969781493,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
51,530,510,540,0.2279190101665776,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
52,540,520,550,0.22758568527177847,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
53,550,530,560,0.2272487989001537,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
54,560,540,570,0.2271536468931877,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
55,570,550,580,0.2274940010369779,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
56,580,560,590,0.22787374862519816,129,mfvi,trace,0.0,0.0,0,0.0,0.18266869343842146
