step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.2456556815284098,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
1,30,10,40,0.24533475217547146,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
2,40,20,50,0.24216715640363992,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
3,50,30,60,0.23267503282139554,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
4,60,40,70,0.23025944945322005,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
5,70,50,80,0.22449805121648608,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
6,80,60,90,0.22176150266107958,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
7,90,70,100,0.21685031154505519,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
8,100,80,110,0.2149092627388068,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
9,110,90,120,0.21343477761807,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
10,120,100,130,0.21252750281581206,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
11,130,110,140,0.21049028982206044,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
12,140,120,150,0.20936800361444918,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
13,150,130,160,0.2077946655881113,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
14,160,140,170,0.20674338477551707,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
15,170,150,180,0.20636239835087447,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
16,180,160,190,0.20541526157396386,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
17,190,170,200,0.2054016287704713,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
18,200,180,210,0.20559456699184078,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
19,210,190,220,0.20530509166618957,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
20,220,200,230,0.2052126136397931,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
21,230,210,240,0.20504189263263983,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
22,240,220,250,0.20376736170278228,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
23,250,230,260,0.20297743437926172,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
24,260,240,270,0.2023245888610984,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
25,270,250,280,0.20163393840618077,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
26,280,260,290,0.2002294947951912,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
27,290,270,300,0.1997003431413708,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
28,300,280,310,0.19937583267851197,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
29,310,290,320,0.1984285308012371,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
30,320,300,330,0.1983718949130805,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
31,330,310,340,0.19763105694189045,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
32,340,320,350,0.19742230473340647,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
33,350,330,360,0.19720463475473896,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
34,360,340,370,0.19664911396555415,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
35,370,350,380,0.1962387536586492,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
36,380,360,390,0.19617812552268346,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
37,390,370,400,0.195965944406643,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
38,400,380,410,0.1956892117060238,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
39,410,390,420,0.1954102005637756,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
40,420,400,430,0.19542622314164046,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
41,430,410,440,0.19526135580373424,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
42,440,420,450,0.19507153886058698,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
43,450,430,460,0.19485413715296115,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
44,460,440,470,0.19435296172291472,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
45,470,450,480,0.19454972301846768,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
46,480,460,490,0.19432701377124592,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
47,490,470,500,0.19414331927204898,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
48,500,480,510,0.19376391079094166,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
49,510,490,520,0.19365908905454837,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
50,520,500,530,0.1935409027949583,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
51,530,510,540,0.19365327726861478,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
52,540,520,550,0.1932614303702371,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
53,550,530,560,0.19308122987003423,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
54,560,540,570,0.19293514383481952,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
55,570,550,580,0.1925865521736266,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
56,580,560,590,0.1921828632570748,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
57,590,570,600,0.19169901080127538,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
58,600,580,610,0.19168523673060675,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
59,610,590,620,0.19170917355870715,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
60,620,600,630,0.19144307043805478,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
61,630,610,640,0.19115445811036882,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
62,640,620,650,0.1911420242581416,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
63,650,630,660,0.19105429375981714,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
64,660,640,670,0.19091849844076136,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
65,670,650,680,0.1906848458824632,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
66,680,660,690,0.19066215698315372,129,vi_full,random,0.0,0.0,0,0.0,0.182669067664041
