step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.26272784940230925,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
1,30,10,40,0.26162504852484025,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
2,40,20,50,0.26057979786370145,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
3,50,30,60,0.26008304150129147,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
4,60,40,70,0.2604632197973209,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
5,70,50,80,0.26094306693163455,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
6,80,60,90,0.2658796757052427,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
7,90,70,100,0.2659976613795223,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
8,100,80,110,0.2666376194710482,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
9,110,90,120,0.2677498468136817,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
10,120,100,130,0.270319084096115,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
11,130,110,140,0.2707767959818335,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
12,140,120,150,0.2683854631606144,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
13,150,130,160,0.2684917454649444,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
14,160,140,170,0.26858834164130246,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
15,170,150,180,0.26857466118904905,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
16,180,160,190,0.26835388686164025,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
17,190,170,200,0.2683948416337859,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
18,200,180,210,0.26816381384274707,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
19,210,190,220,0.2685076396288614,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
20,220,200,230,0.2666883495416513,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
21,230,210,240,0.26438381892796975,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
22,240,220,250,0.26343325545216384,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
23,250,230,260,0.26356106236269045,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
24,260,240,270,0.2644006525675097,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
25,270,250,280,0.26477630040812283,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
26,280,260,290,0.2651043610837532,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
27,290,270,300,0.2652615068044881,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
28,300,280,310,0.26586669151334097,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
29,310,290,320,0.26620189192720817,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
30,320,300,330,0.26776303145808794,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
31,330,310,340,0.2676410259097062,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
32,340,320,350,0.2678750565066436,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
33,350,330,360,0.26751838977383874,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
34,360,340,370,0.2672612928068943,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
35,370,350,380,0.26570278272912384,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
36,380,360,390,0.2640567861807854,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
37,390,370,400,0.26512002551615654,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
38,400,380,410,0.2656167553867555,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
39,410,390,420,0.2661721753924046,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
40,420,400,430,0.266236162712614,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
41,430,410,440,0.26583344762275496,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
42,440,420,450,0.26601392482936864,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
43,450,430,460,0.26589330199701344,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
44,460,440,470,0.26548798856127653,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
45,470,450,480,0.2648970355687753,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
46,480,460,490,0.26376448605064806,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
47,490,470,500,0.2634470360818517,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
48,500,480,510,0.2631753217913868,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
49,510,490,520,0.26333361867897254,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
50,520,500,530,0.2632819825657464,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
51,530,510,540,0.26339015737115157,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
52,540,520,550,0.2631962585368806,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
53,550,530,560,0.2632190208356674,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
54,560,540,570,0.2632965592729992,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
55,570,550,580,0.2636324808534364,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
56,580,560,590,0.2639433162986894,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
57,590,570,600,0.26387564579800177,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
58,600,580,610,0.26423484575456263,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
59,610,590,620,0.2642020895841382,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
60,620,600,630,0.26332381888798057,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
61,630,610,640,0.26332148246012893,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
62,640,620,650,0.263791401149303,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
63,650,630,660,0.2638196646000588,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
64,660,640,670,0.26395196466106763,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
65,670,650,680,0.2633992966071189,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
66,680,660,690,0.26390218876389604,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
67,690,670,700,0.2641139650291849,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
68,700,680,710,0.2632038925671503,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
69,710,690,720,0.2629191315339424,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
70,720,700,730,0.26298923902652366,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
71,730,710,740,0.2628824130403887,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
72,740,720,750,0.2624817702003322,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
73,750,730,760,0.2624170069695846,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
74,760,740,770,0.2627035111406488,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
75,770,750,780,0.2634259709814125,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
76,780,760,790,0.26381694388877397,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
77,790,770,800,0.2642867945350751,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
78,800,780,810,0.2643994429451157,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
79,810,790,820,0.26499218738483593,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
80,820,800,830,0.26521938700288766,129,vi,trace,0.0,0.0,0,0.0,0.18336565618236011
