step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.2456556815284098,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
1,30,10,40,0.25436257071906726,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
2,40,20,50,0.2523068471468571,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
3,50,30,60,0.2488295746621822,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
4,60,40,70,0.25129739524988115,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
5,70,50,80,0.25105819015469305,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
6,80,60,90,0.2494106432077679,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
7,90,70,100,0.2508204311292742,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
8,100,80,110,0.24849803704267465,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
9,110,90,120,0.2524561185570178,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
10,120,100,130,0.25197133897342866,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
11,130,110,140,0.25134488840970587,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
12,140,120,150,0.25335144192405934,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
13,150,130,160,0.25492878716111583,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
14,160,140,170,0.2541295556496479,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
15,170,150,180,0.2541741087110615,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
16,180,160,190,0.25509989618039836,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
17,190,170,200,0.2552587917805183,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
18,200,180,210,0.2561122438410794,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
19,210,190,220,0.25664302938371425,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
20,220,200,230,0.2561531257434213,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
21,230,210,240,0.2551307205538222,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
22,240,220,250,0.25258673479371396,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
23,250,230,260,0.2512313814618906,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
24,260,240,270,0.24985639430168183,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
25,270,250,280,0.24891485193861976,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
26,280,260,290,0.2491589367878463,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
27,290,270,300,0.2486186348324226,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
28,300,280,310,0.2479312550417202,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
29,310,290,320,0.24744892741672472,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
30,320,300,330,0.2483966849334699,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
31,330,310,340,0.24769847826099478,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
32,340,320,350,0.24739298901873716,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
33,350,330,360,0.24746127972056053,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
34,360,340,370,0.24811751208789656,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
35,370,350,380,0.24821746348653131,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
36,380,360,390,0.24932095278977257,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
37,390,370,400,0.24966250657137126,129,vi,trace,0.0,0.0,0,0.0,0.18266891396432577
