step,acquired,acquired_from_pool,test_rmse,K,inference_method,acquisition,upper_bound_rmse
0,20,0,0.26824179784175134,129,analytic,random,0.199166819211936
1,30,10,0.274931543326016,129,analytic,random,0.199166819211936
2,40,20,0.2735160512171772,129,analytic,random,0.199166819211936
3,50,30,0.2668274529512237,129,analytic,random,0.199166819211936
4,60,40,0.25823767970369854,129,analytic,random,0.199166819211936
5,70,50,0.25442158280475147,129,analytic,random,0.199166819211936
6,80,60,0.2470095954297626,129,analytic,random,0.199166819211936
7,90,70,0.24610191454710384,129,analytic,random,0.199166819211936
8,100,80,0.24365495943611018,129,analytic,random,0.199166819211936
9,110,90,0.24353273570379608,129,analytic,random,0.199166819211936
10,120,100,0.23989517974654054,129,analytic,random,0.199166819211936
11,130,110,0.23792533870286914,129,analytic,random,0.199166819211936
12,140,120,0.23513517347408386,129,analytic,random,0.199166819211936
13,150,130,0.23347715526631294,129,analytic,random,0.199166819211936
14,160,140,0.23158291070640338,129,analytic,random,0.199166819211936
15,170,150,0.22953261146635026,129,analytic,random,0.199166819211936
16,180,160,0.22924305426705407,129,analytic,random,0.199166819211936
17,190,170,0.22926588642815462,129,analytic,random,0.199166819211936
18,200,180,0.2280826480378056,129,analytic,random,0.199166819211936
19,210,190,0.22618060486174538,129,analytic,random,0.199166819211936
20,220,200,0.22568215818588208,129,analytic,random,0.199166819211936
21,230,210,0.2248052651219773,129,analytic,random,0.199166819211936
22,240,220,0.22464933611909474,129,analytic,random,0.199166819211936
23,250,230,0.22471032785635933,129,analytic,random,0.199166819211936
24,260,240,0.22397940186753224,129,analytic,random,0.199166819211936
25,270,250,0.22334148942468685,129,analytic,random,0.199166819211936
26,280,260,0.22191425709043572,129,analytic,random,0.199166819211936
27,290,270,0.22131447683387095,129,analytic,random,0.199166819211936
28,300,280,0.2216849538196041,129,analytic,random,0.199166819211936
29,310,290,0.2212480579010808,129,analytic,random,0.199166819211936
30,320,300,0.21994941268533771,129,analytic,random,0.199166819211936
31,330,310,0.21787473330806972,129,analytic,random,0.199166819211936
32,340,320,0.2167505384040314,129,analytic,random,0.199166819211936
33,350,330,0.21585129655983654,129,analytic,random,0.199166819211936
34,360,340,0.2157353205101682,129,analytic,random,0.199166819211936
35,370,350,0.21569931916689608,129,analytic,random,0.199166819211936
36,380,360,0.2156802465456677,129,analytic,random,0.199166819211936
37,390,370,0.21541000377550365,129,analytic,random,0.199166819211936
38,400,380,0.21513120542328348,129,analytic,random,0.199166819211936
39,410,390,0.2153888539326896,129,analytic,random,0.199166819211936
40,420,400,0.21543408667879138,129,analytic,random,0.199166819211936
41,430,410,0.21546494285976664,129,analytic,random,0.199166819211936
42,440,420,0.21555125550550616,129,analytic,random,0.199166819211936
43,450,430,0.21498379526504433,129,analytic,random,0.199166819211936
44,460,440,0.21477759208655822,129,analytic,random,0.199166819211936
45,470,450,0.21485529514434243,129,analytic,random,0.199166819211936
46,480,460,0.21478715163578221,129,analytic,random,0.199166819211936
47,490,470,0.21428927312892962,129,analytic,random,0.199166819211936
48,500,480,0.21389027058649138,129,analytic,random,0.199166819211936
49,510,490,0.2136964365453657,129,analytic,random,0.199166819211936
50,520,500,0.21353279580151732,129,analytic,random,0.199166819211936
51,530,510,0.21338942998219243,129,analytic,random,0.199166819211936
52,540,520,0.2129912634835347,129,analytic,random,0.199166819211936
53,550,530,0.21243180201611175,129,analytic,random,0.199166819211936
54,560,540,0.2122048731842061,129,analytic,random,0.199166819211936
55,570,550,0.21199281154897093,129,analytic,random,0.199166819211936
56,580,560,0.21150920211216578,129,analytic,random,0.199166819211936
57,590,570,0.21142849106952805,129,analytic,random,0.199166819211936
58,600,580,0.21143125083138725,129,analytic,random,0.199166819211936
59,610,590,0.2112602623246975,129,analytic,random,0.199166819211936
60,620,600,0.21102524795255542,129,analytic,random,0.199166819211936
61,630,610,0.21112500925103592,129,analytic,random,0.199166819211936
62,640,620,0.21102352412556996,129,analytic,random,0.199166819211936
63,650,630,0.21091858711508807,129,analytic,random,0.199166819211936
64,660,640,0.210714303212015,129,analytic,random,0.199166819211936
65,670,650,0.21055251905700392,129,analytic,random,0.199166819211936
66,680,660,0.21042689357366492,129,analytic,random,0.199166819211936
67,690,670,0.21010292074287662,129,analytic,random,0.199166819211936
68,700,680,0.209855093233998,129,analytic,random,0.199166819211936
69,710,690,0.209712449614794,129,analytic,random,0.199166819211936
70,720,700,0.20971258931496578,129,analytic,random,0.199166819211936
71,730,710,0.20923727979930465,129,analytic,random,0.199166819211936
72,740,720,0.20925084938597022,129,analytic,random,0.199166819211936
73,750,730,0.2090101181574411,129,analytic,random,0.199166819211936
74,760,740,0.20891647553508078,129,analytic,random,0.199166819211936
75,770,750,0.2089350087721658,129,analytic,random,0.199166819211936
76,780,760,0.20867726558462232,129,analytic,random,0.199166819211936
77,790,770,0.20867380252292092,129,analytic,random,0.199166819211936
78,800,780,0.2084478188038016,129,analytic,random,0.199166819211936
79,810,790,0.20836123511074464,129,analytic,random,0.199166819211936
80,820,800,0.2082376056110543,129,analytic,random,0.199166819211936
81,830,810,0.2082601264607258,129,analytic,random,0.199166819211936
82,840,820,0.2081878306999775,129,analytic,random,0.199166819211936
83,850,830,0.20816287427531957,129,analytic,random,0.199166819211936
84,860,840,0.20792359577423505,129,analytic,random,0.199166819211936
85,870,850,0.20797810600667802,129,analytic,random,0.199166819211936
86,880,860,0.2079072622288601,129,analytic,random,0.199166819211936
87,890,870,0.20788374013871913,129,analytic,random,0.199166819211936
88,900,880,0.20775356307113002,129,analytic,random,0.199166819211936
89,910,890,0.2078506896300503,129,analytic,random,0.199166819211936
90,920,900,0.20770870293138297,129,analytic,random,0.199166819211936
91,930,910,0.2075852493367183,129,analytic,random,0.199166819211936
92,940,920,0.20749395228385573,129,analytic,random,0.199166819211936
93,950,930,0.20756663086825877,129,analytic,random,0.199166819211936
94,960,940,0.20753565911593963,129,analytic,random,0.199166819211936
95,970,950,0.207467912146222,129,analytic,random,0.199166819211936
96,980,960,0.20750738879917024,129,analytic,random,0.199166819211936
97,990,970,0.20745344922114456,129,analytic,random,0.199166819211936
98,1000,980,0.20734822433002048,129,analytic,random,0.199166819211936
99,1010,990,0.20730698619061902,129,analytic,random,0.199166819211936
100,1020,1000,0.2073043010701599,129,analytic,random,0.199166819211936
