step,acquired,acquired_from_pool,test_rmse,K,inference_method,acquisition,upper_bound_rmse
0,20,0,0.2580745543170374,129,analytic,trace,0.20215384428155825
1,30,10,0.25744029002797425,129,analytic,trace,0.20215384428155825
2,40,20,0.2536302153388127,129,analytic,trace,0.20215384428155825
3,50,30,0.24748833029622325,129,analytic,trace,0.20215384428155825
4,60,40,0.24509849343554727,129,analytic,trace,0.20215384428155825
5,70,50,0.24320938646372697,129,analytic,trace,0.20215384428155825
6,80,60,0.2436543582394177,129,analytic,trace,0.20215384428155825
7,90,70,0.24222386823711242,129,analytic,trace,0.20215384428155825
8,100,80,0.2479352332420959,129,analytic,trace,0.20215384428155825
9,110,90,0.247911924411927,129,analytic,trace,0.20215384428155825
10,120,100,0.2463379740538139,129,analytic,trace,0.20215384428155825
11,130,110,0.24657727300483312,129,analytic,trace,0.20215384428155825
12,140,120,0.24533459295419388,129,analytic,trace,0.20215384428155825
13,150,130,0.24719115436616051,129,analytic,trace,0.20215384428155825
14,160,140,0.2489054358900685,129,analytic,trace,0.20215384428155825
15,170,150,0.24876069779132112,129,analytic,trace,0.20215384428155825
16,180,160,0.24843545596643407,129,analytic,trace,0.20215384428155825
17,190,170,0.2455214575812316,129,analytic,trace,0.20215384428155825
18,200,180,0.24456835780743386,129,analytic,trace,0.20215384428155825
19,210,190,0.24441226138560437,129,analytic,trace,0.20215384428155825
20,220,200,0.24660459875071267,129,analytic,trace,0.20215384428155825
21,230,210,0.24456746936236737,129,analytic,trace,0.20215384428155825
22,240,220,0.2451822305385833,129,analytic,trace,0.20215384428155825
23,250,230,0.246191726528203,129,analytic,trace,0.20215384428155825
24,260,240,0.24453443488341267,129,analytic,trace,0.20215384428155825
25,270,250,0.24405045584878549,129,analytic,trace,0.20215384428155825
26,280,260,0.24566230036436706,129,analytic,trace,0.20215384428155825
27,290,270,0.2457567533882589,129,analytic,trace,0.20215384428155825
28,300,280,0.24572576654423117,129,analytic,trace,0.20215384428155825
29,310,290,0.24491235278538934,129,analytic,trace,0.20215384428155825
30,320,300,0.2422908650388,129,analytic,trace,0.20215384428155825
31,330,310,0.2430272839460366,129,analytic,trace,0.20215384428155825
32,340,320,0.24409149755714046,129,analytic,trace,0.20215384428155825
33,350,330,0.2429283728508004,129,analytic,trace,0.20215384428155825
34,360,340,0.24343586528655242,129,analytic,trace,0.20215384428155825
35,370,350,0.24325155366281836,129,analytic,trace,0.20215384428155825
36,380,360,0.24357816459121495,129,analytic,trace,0.20215384428155825
