step,acquired,acquired_from_pool,test_rmse,K,inference_method,acquisition,upper_bound_rmse
0,20,0,0.26824179784175134,129,mfvi,trace,0.19916681308288725
1,30,10,0.26389807195736104,129,mfvi,trace,0.19916681308288725
2,40,20,0.26325431056537324,129,mfvi,trace,0.19916681308288725
3,50,30,0.26381637012975045,129,mfvi,trace,0.19916681308288725
4,60,40,0.2574693644549046,129,mfvi,trace,0.19916681308288725
5,70,50,0.2560512949098286,129,mfvi,trace,0.19916681308288725
6,80,60,0.256714907914037,129,mfvi,trace,0.19916681308288725
7,90,70,0.25696789682759985,129,mfvi,trace,0.19916681308288725
8,100,80,0.2542860716791228,129,mfvi,trace,0.19916681308288725
9,110,90,0.25569152175399756,129,mfvi,trace,0.19916681308288725
10,120,100,0.25601431615854026,129,mfvi,trace,0.19916681308288725
11,130,110,0.25564291654816096,129,mfvi,trace,0.19916681308288725
12,140,120,0.25527802513570863,129,mfvi,trace,0.19916681308288725
13,150,130,0.2561950779557445,129,mfvi,trace,0.19916681308288725
14,160,140,0.2568525024363448,129,mfvi,trace,0.19916681308288725
15,170,150,0.25662214783181225,129,mfvi,trace,0.19916681308288725
16,180,160,0.25680220607867643,129,mfvi,trace,0.19916681308288725
17,190,170,0.2560713458778383,129,mfvi,trace,0.19916681308288725
18,200,180,0.2538422034607573,129,mfvi,trace,0.19916681308288725
19,210,190,0.25441391555826404,129,mfvi,trace,0.19916681308288725
20,220,200,0.2540656903243726,129,mfvi,trace,0.19916681308288725
21,230,210,0.253719402404014,129,mfvi,trace,0.19916681308288725
22,240,220,0.2528144313894086,129,mfvi,trace,0.19916681308288725
23,250,230,0.2544389508064754,129,mfvi,trace,0.19916681308288725
24,260,240,0.25554959538830224,129,mfvi,trace,0.19916681308288725
25,270,250,0.2568666741351435,129,mfvi,trace,0.19916681308288725
26,280,260,0.25582720456149693,129,mfvi,trace,0.19916681308288725
27,290,270,0.25548395405827345,129,mfvi,trace,0.19916681308288725
28,300,280,0.2535063678009391,129,mfvi,trace,0.19916681308288725
29,310,290,0.25292343440629417,129,mfvi,trace,0.19916681308288725
30,320,300,0.255129505257869,129,mfvi,trace,0.19916681308288725
31,330,310,0.25453450159064883,129,mfvi,trace,0.19916681308288725
32,340,320,0.25441638176913844,129,mfvi,trace,0.19916681308288725
33,350,330,0.25262910529816235,129,mfvi,trace,0.19916681308288725
