step,acquired,acquired_from_pool,test_rmse,K,inference_method,acquisition,upper_bound_rmse
0,20,0,0.27178840215666855,129,vi,trace,0.1968398282074794
1,30,10,0.26811634965649705,129,vi,trace,0.1968398282074794
2,40,20,0.26103416996750634,129,vi,trace,0.1968398282074794
3,50,30,0.26538854365168535,129,vi,trace,0.1968398282074794
4,60,40,0.2640493339913017,129,vi,trace,0.1968398282074794
5,70,50,0.26697816177954986,129,vi,trace,0.1968398282074794
6,80,60,0.2678130287334337,129,vi,trace,0.1968398282074794
7,90,70,0.26378303443893525,129,vi,trace,0.1968398282074794
8,100,80,0.26007501547029654,129,vi,trace,0.1968398282074794
9,110,90,0.26255861510753653,129,vi,trace,0.1968398282074794
10,120,100,0.26388875571085824,129,vi,trace,0.1968398282074794
11,130,110,0.26170330178288254,129,vi,trace,0.1968398282074794
12,140,120,0.26030941437246846,129,vi,trace,0.1968398282074794
13,150,130,0.2607323669733008,129,vi,trace,0.1968398282074794
14,160,140,0.2607985782888779,129,vi,trace,0.1968398282074794
15,170,150,0.26066731895631834,129,vi,trace,0.1968398282074794
16,180,160,0.2608612163943694,129,vi,trace,0.1968398282074794
17,190,170,0.2615266365795748,129,vi,trace,0.1968398282074794
18,200,180,0.26161646322073273,129,vi,trace,0.1968398282074794
19,210,190,0.2609501961731635,129,vi,trace,0.1968398282074794
20,220,200,0.2613347836408789,129,vi,trace,0.1968398282074794
21,230,210,0.2604894919005851,129,vi,trace,0.1968398282074794
22,240,220,0.26106214276070844,129,vi,trace,0.1968398282074794
23,250,230,0.2611363295621417,129,vi,trace,0.1968398282074794
24,260,240,0.26124077622772157,129,vi,trace,0.1968398282074794
25,270,250,0.26111225435624424,129,vi,trace,0.1968398282074794
26,280,260,0.26086228332086453,129,vi,trace,0.1968398282074794
27,290,270,0.26125380342626114,129,vi,trace,0.1968398282074794
28,300,280,0.2593170492490804,129,vi,trace,0.1968398282074794
29,310,290,0.25767758780656985,129,vi,trace,0.1968398282074794
30,320,300,0.25789696533027,129,vi,trace,0.1968398282074794
31,330,310,0.2589487178507793,129,vi,trace,0.1968398282074794
32,340,320,0.25925513043380644,129,vi,trace,0.1968398282074794
33,350,330,0.2582954094727343,129,vi,trace,0.1968398282074794
34,360,340,0.2584524066136259,129,vi,trace,0.1968398282074794
35,370,350,0.258681763722943,129,vi,trace,0.1968398282074794
36,380,360,0.2581106892976103,129,vi,trace,0.1968398282074794
37,390,370,0.25846594273653833,129,vi,trace,0.1968398282074794
38,400,380,0.25657709687465285,129,vi,trace,0.1968398282074794
39,410,390,0.2566009410909282,129,vi,trace,0.1968398282074794
40,420,400,0.25699027978943095,129,vi,trace,0.1968398282074794
41,430,410,0.2547751191308229,129,vi,trace,0.1968398282074794
42,440,420,0.25458824753167614,129,vi,trace,0.1968398282074794
43,450,430,0.2548761858573443,129,vi,trace,0.1968398282074794
44,460,440,0.25418683535074155,129,vi,trace,0.1968398282074794
45,470,450,0.253871161036952,129,vi,trace,0.1968398282074794
46,480,460,0.2547695611663116,129,vi,trace,0.1968398282074794
47,490,470,0.2548910517107015,129,vi,trace,0.1968398282074794
48,500,480,0.2542240030956951,129,vi,trace,0.1968398282074794
49,510,490,0.25456960461482825,129,vi,trace,0.1968398282074794
50,520,500,0.2550349336518676,129,vi,trace,0.1968398282074794
51,530,510,0.2537792470829717,129,vi,trace,0.1968398282074794
52,540,520,0.2538702185972687,129,vi,trace,0.1968398282074794
53,550,530,0.2539715396825991,129,vi,trace,0.1968398282074794
54,560,540,0.2539207207414846,129,vi,trace,0.1968398282074794
55,570,550,0.2533777287716898,129,vi,trace,0.1968398282074794
56,580,560,0.253363265561402,129,vi,trace,0.1968398282074794
57,590,570,0.2518914483618142,129,vi,trace,0.1968398282074794
58,600,580,0.25179506912554406,129,vi,trace,0.1968398282074794
59,610,590,0.2520700431241781,129,vi,trace,0.1968398282074794
60,620,600,0.2523476489636866,129,vi,trace,0.1968398282074794
61,630,610,0.25223985864462917,129,vi,trace,0.1968398282074794
62,640,620,0.25178559595045347,129,vi,trace,0.1968398282074794
63,650,630,0.25160814803231235,129,vi,trace,0.1968398282074794
64,660,640,0.2503390669422174,129,vi,trace,0.1968398282074794
65,670,650,0.2507218679695192,129,vi,trace,0.1968398282074794
66,680,660,0.2505292347430485,129,vi,trace,0.1968398282074794
67,690,670,0.250922613973163,129,vi,trace,0.1968398282074794
68,700,680,0.2505362607862383,129,vi,trace,0.1968398282074794
69,710,690,0.2503547970662086,129,vi,trace,0.1968398282074794
70,720,700,0.2504884681103104,129,vi,trace,0.1968398282074794
71,730,710,0.25003505613588467,129,vi,trace,0.1968398282074794
72,740,720,0.2497644691285422,129,vi,trace,0.1968398282074794
73,750,730,0.2499790225573938,129,vi,trace,0.1968398282074794
74,760,740,0.24971174788393516,129,vi,trace,0.1968398282074794
75,770,750,0.24963398988569244,129,vi,trace,0.1968398282074794
76,780,760,0.24957624242152937,129,vi,trace,0.1968398282074794
77,790,770,0.24991871725498072,129,vi,trace,0.1968398282074794
78,800,780,0.24959707765091121,129,vi,trace,0.1968398282074794
79,810,790,0.24961900656300193,129,vi,trace,0.1968398282074794
80,820,800,0.2493923180860078,129,vi,trace,0.1968398282074794
81,830,810,0.24942373035784907,129,vi,trace,0.1968398282074794
82,840,820,0.24951425466543992,129,vi,trace,0.1968398282074794
83,850,830,0.24948457609827807,129,vi,trace,0.1968398282074794
84,860,840,0.24969552748359852,129,vi,trace,0.1968398282074794
85,870,850,0.2495857994539403,129,vi,trace,0.1968398282074794
86,880,860,0.24999141586825036,129,vi,trace,0.1968398282074794
87,890,870,0.2505112545812563,129,vi,trace,0.1968398282074794
88,900,880,0.2500306719465884,129,vi,trace,0.1968398282074794
89,910,890,0.24985878824347965,129,vi,trace,0.1968398282074794
90,920,900,0.24963655221766903,129,vi,trace,0.1968398282074794
91,930,910,0.24954963340235545,129,vi,trace,0.1968398282074794
92,940,920,0.24902354227938972,129,vi,trace,0.1968398282074794
93,950,930,0.2490698320752636,129,vi,trace,0.1968398282074794
94,960,940,0.24938307670191356,129,vi,trace,0.1968398282074794
95,970,950,0.2493338292298851,129,vi,trace,0.1968398282074794
96,980,960,0.2483097450608564,129,vi,trace,0.1968398282074794
97,990,970,0.2484480147145978,129,vi,trace,0.1968398282074794
98,1000,980,0.24854754834651357,129,vi,trace,0.1968398282074794
99,1010,990,0.2477384228816253,129,vi,trace,0.1968398282074794
100,1020,1000,0.24769408228384768,129,vi,trace,0.1968398282074794
