step,acquired,acquired_from_pool,test_rmse,K,inference_method,acquisition,upper_bound_rmse
0,20,0,0.25807446917629223,129,vi_full,random,0.20215359066499414
1,30,10,0.2582378026070399,129,vi_full,random,0.20215359066499414
2,40,20,0.2664494191563382,129,vi_full,random,0.20215359066499414
3,50,30,0.25786381118176993,129,vi_full,random,0.20215359066499414
4,60,40,0.24414815238395723,129,vi_full,random,0.20215359066499414
5,70,50,0.2391062051552615,129,vi_full,random,0.20215359066499414
6,80,60,0.24009427062939778,129,vi_full,random,0.20215359066499414
7,90,70,0.23755953201250418,129,vi_full,random,0.20215359066499414
8,100,80,0.23434789426592892,129,vi_full,random,0.20215359066499414
9,110,90,0.2344852240813907,129,vi_full,random,0.20215359066499414
10,120,100,0.23454309596998907,129,vi_full,random,0.20215359066499414
11,130,110,0.23483371776642298,129,vi_full,random,0.20215359066499414
12,140,120,0.2334810869615567,129,vi_full,random,0.20215359066499414
13,150,130,0.23185284597670996,129,vi_full,random,0.20215359066499414
14,160,140,0.2313556029990683,129,vi_full,random,0.20215359066499414
15,170,150,0.23080949387089236,129,vi_full,random,0.20215359066499414
16,180,160,0.22970284812666122,129,vi_full,random,0.20215359066499414
17,190,170,0.22750254334086575,129,vi_full,random,0.20215359066499414
18,200,180,0.22633693512797465,129,vi_full,random,0.20215359066499414
19,210,190,0.22537938934300314,129,vi_full,random,0.20215359066499414
20,220,200,0.22469069451832,129,vi_full,random,0.20215359066499414
21,230,210,0.22388895606625508,129,vi_full,random,0.20215359066499414
22,240,220,0.2232588337243064,129,vi_full,random,0.20215359066499414
23,250,230,0.22296734845389918,129,vi_full,random,0.20215359066499414
24,260,240,0.22273848262171717,129,vi_full,random,0.20215359066499414
25,270,250,0.22107261383069932,129,vi_full,random,0.20215359066499414
26,280,260,0.22045425404151311,129,vi_full,random,0.20215359066499414
27,290,270,0.2187588949084414,129,vi_full,random,0.20215359066499414
28,300,280,0.2183954045633172,129,vi_full,random,0.20215359066499414
29,310,290,0.21768448085043868,129,vi_full,random,0.20215359066499414
30,320,300,0.21708870279867742,129,vi_full,random,0.20215359066499414
31,330,310,0.21657434807055867,129,vi_full,random,0.20215359066499414
32,340,320,0.21690660792723673,129,vi_full,random,0.20215359066499414
33,350,330,0.21636915295753806,129,vi_full,random,0.20215359066499414
34,360,340,0.21560722299907997,129,vi_full,random,0.20215359066499414
35,370,350,0.21531155886949613,129,vi_full,random,0.20215359066499414
36,380,360,0.21556445028474083,129,vi_full,random,0.20215359066499414
37,390,370,0.21523736669880883,129,vi_full,random,0.20215359066499414
38,400,380,0.21458618652027092,129,vi_full,random,0.20215359066499414
39,410,390,0.2145413212311908,129,vi_full,random,0.20215359066499414
40,420,400,0.21429957218955198,129,vi_full,random,0.20215359066499414
41,430,410,0.21424646520202498,129,vi_full,random,0.20215359066499414
42,440,420,0.21383838633124316,129,vi_full,random,0.20215359066499414
43,450,430,0.2136772080001749,129,vi_full,random,0.20215359066499414
44,460,440,0.2131829100209489,129,vi_full,random,0.20215359066499414
45,470,450,0.21298923461644723,129,vi_full,random,0.20215359066499414
46,480,460,0.21280366629977265,129,vi_full,random,0.20215359066499414
47,490,470,0.21281634311874992,129,vi_full,random,0.20215359066499414
48,500,480,0.21280051131796535,129,vi_full,random,0.20215359066499414
49,510,490,0.21250808808137162,129,vi_full,random,0.20215359066499414
50,520,500,0.212330906988361,129,vi_full,random,0.20215359066499414
51,530,510,0.21244597199199847,129,vi_full,random,0.20215359066499414
52,540,520,0.21275672681418914,129,vi_full,random,0.20215359066499414
53,550,530,0.21267396371852856,129,vi_full,random,0.20215359066499414
54,560,540,0.212526365551871,129,vi_full,random,0.20215359066499414
55,570,550,0.21217365796161525,129,vi_full,random,0.20215359066499414
56,580,560,0.2120287974250196,129,vi_full,random,0.20215359066499414
57,590,570,0.2118162252549365,129,vi_full,random,0.20215359066499414
58,600,580,0.21150026780420397,129,vi_full,random,0.20215359066499414
59,610,590,0.21142159728106066,129,vi_full,random,0.20215359066499414
60,620,600,0.21169296429690926,129,vi_full,random,0.20215359066499414
61,630,610,0.21154964418104089,129,vi_full,random,0.20215359066499414
62,640,620,0.21148135907066373,129,vi_full,random,0.20215359066499414
63,650,630,0.21141810988536436,129,vi_full,random,0.20215359066499414
64,660,640,0.2111526449115071,129,vi_full,random,0.20215359066499414
65,670,650,0.21093533563704422,129,vi_full,random,0.20215359066499414
66,680,660,0.21085145235671843,129,vi_full,random,0.20215359066499414
67,690,670,0.21086716419940776,129,vi_full,random,0.20215359066499414
68,700,680,0.2107022414933275,129,vi_full,random,0.20215359066499414
69,710,690,0.21065076576454095,129,vi_full,random,0.20215359066499414
70,720,700,0.21066853222242282,129,vi_full,random,0.20215359066499414
71,730,710,0.2105020505393,129,vi_full,random,0.20215359066499414
72,740,720,0.21057269380192675,129,vi_full,random,0.20215359066499414
73,750,730,0.21068075810556952,129,vi_full,random,0.20215359066499414
