step,acquired,acquired_from_pool,test_rmse,K,inference_method,acquisition,upper_bound_rmse
0,20,0,0.27178840215666855,129,vi_full,trace,0.19683965456527047
1,30,10,0.2705870625111953,129,vi_full,trace,0.19683965456527047
2,40,20,0.26510447159445466,129,vi_full,trace,0.19683965456527047
3,50,30,0.26193477092350687,129,vi_full,trace,0.19683965456527047
4,60,40,0.2544420500545016,129,vi_full,trace,0.19683965456527047
5,70,50,0.24950510586271074,129,vi_full,trace,0.19683965456527047
6,80,60,0.24554083720305062,129,vi_full,trace,0.19683965456527047
7,90,70,0.24617195186050847,129,vi_full,trace,0.19683965456527047
8,100,80,0.24233641591094496,129,vi_full,trace,0.19683965456527047
9,110,90,0.24251647012368047,129,vi_full,trace,0.19683965456527047
10,120,100,0.24333860515300998,129,vi_full,trace,0.19683965456527047
11,130,110,0.2428887730107909,129,vi_full,trace,0.19683965456527047
12,140,120,0.24075284752988904,129,vi_full,trace,0.19683965456527047
13,150,130,0.24032798227110383,129,vi_full,trace,0.19683965456527047
14,160,140,0.24118995164276122,129,vi_full,trace,0.19683965456527047
15,170,150,0.24060231224211043,129,vi_full,trace,0.19683965456527047
16,180,160,0.24124180280762908,129,vi_full,trace,0.19683965456527047
17,190,170,0.24098870645867412,129,vi_full,trace,0.19683965456527047
18,200,180,0.24152372748345036,129,vi_full,trace,0.19683965456527047
19,210,190,0.24018280188288357,129,vi_full,trace,0.19683965456527047
20,220,200,0.23928108879124776,129,vi_full,trace,0.19683965456527047
21,230,210,0.23747823707855314,129,vi_full,trace,0.19683965456527047
22,240,220,0.2369210459863159,129,vi_full,trace,0.19683965456527047
23,250,230,0.2364704659148791,129,vi_full,trace,0.19683965456527047
24,260,240,0.23526948062939443,129,vi_full,trace,0.19683965456527047
25,270,250,0.23291540301349223,129,vi_full,trace,0.19683965456527047
26,280,260,0.2329694835669202,129,vi_full,trace,0.19683965456527047
27,290,270,0.23256071745823176,129,vi_full,trace,0.19683965456527047
28,300,280,0.23219951811090714,129,vi_full,trace,0.19683965456527047
29,310,290,0.23095945641564994,129,vi_full,trace,0.19683965456527047
30,320,300,0.2298825596058507,129,vi_full,trace,0.19683965456527047
31,330,310,0.22939339163323777,129,vi_full,trace,0.19683965456527047
32,340,320,0.22907322195233776,129,vi_full,trace,0.19683965456527047
33,350,330,0.22954888461869621,129,vi_full,trace,0.19683965456527047
34,360,340,0.23000470231266468,129,vi_full,trace,0.19683965456527047
35,370,350,0.22959176363643252,129,vi_full,trace,0.19683965456527047
36,380,360,0.2298771538439064,129,vi_full,trace,0.19683965456527047
37,390,370,0.2294505154984403,129,vi_full,trace,0.19683965456527047
38,400,380,0.22883041619286543,129,vi_full,trace,0.19683965456527047
39,410,390,0.2284190634660065,129,vi_full,trace,0.19683965456527047
40,420,400,0.22872352988925299,129,vi_full,trace,0.19683965456527047
41,430,410,0.22902826313033944,129,vi_full,trace,0.19683965456527047
42,440,420,0.22990521144593482,129,vi_full,trace,0.19683965456527047
43,450,430,0.22984560884700408,129,vi_full,trace,0.19683965456527047
44,460,440,0.23004434440043292,129,vi_full,trace,0.19683965456527047
45,470,450,0.2299847247814787,129,vi_full,trace,0.19683965456527047
46,480,460,0.2295276654757548,129,vi_full,trace,0.19683965456527047
47,490,470,0.22982244122841333,129,vi_full,trace,0.19683965456527047
48,500,480,0.22968316322436436,129,vi_full,trace,0.19683965456527047
49,510,490,0.22977649211380394,129,vi_full,trace,0.19683965456527047
50,520,500,0.22978929504480294,129,vi_full,trace,0.19683965456527047
51,530,510,0.22943598048393588,129,vi_full,trace,0.19683965456527047
52,540,520,0.23068475047467377,129,vi_full,trace,0.19683965456527047
53,550,530,0.23118323571695787,129,vi_full,trace,0.19683965456527047
54,560,540,0.23108395643548038,129,vi_full,trace,0.19683965456527047
55,570,550,0.2309832921446917,129,vi_full,trace,0.19683965456527047
56,580,560,0.2305985121984203,129,vi_full,trace,0.19683965456527047
57,590,570,0.23042392572576964,129,vi_full,trace,0.19683965456527047
58,600,580,0.23009549223501752,129,vi_full,trace,0.19683965456527047
59,610,590,0.22975019339967376,129,vi_full,trace,0.19683965456527047
60,620,600,0.22975249930631875,129,vi_full,trace,0.19683965456527047
61,630,610,0.22914761166044803,129,vi_full,trace,0.19683965456527047
62,640,620,0.2280033494134461,129,vi_full,trace,0.19683965456527047
63,650,630,0.22787458430433835,129,vi_full,trace,0.19683965456527047
64,660,640,0.2280359736388921,129,vi_full,trace,0.19683965456527047
65,670,650,0.22843814124397002,129,vi_full,trace,0.19683965456527047
66,680,660,0.22805693547952557,129,vi_full,trace,0.19683965456527047
67,690,670,0.22779013307551865,129,vi_full,trace,0.19683965456527047
68,700,680,0.22760246233152884,129,vi_full,trace,0.19683965456527047
69,710,690,0.22698392917024435,129,vi_full,trace,0.19683965456527047
70,720,700,0.22702236734171702,129,vi_full,trace,0.19683965456527047
71,730,710,0.22702058216505944,129,vi_full,trace,0.19683965456527047
72,740,720,0.22699659921392545,129,vi_full,trace,0.19683965456527047
73,750,730,0.2271855334337169,129,vi_full,trace,0.19683965456527047
74,760,740,0.22699023201381927,129,vi_full,trace,0.19683965456527047
75,770,750,0.22633351574957364,129,vi_full,trace,0.19683965456527047
76,780,760,0.22632580308180728,129,vi_full,trace,0.19683965456527047
77,790,770,0.22580804339291702,129,vi_full,trace,0.19683965456527047
78,800,780,0.22564191202198564,129,vi_full,trace,0.19683965456527047
79,810,790,0.22541516601664693,129,vi_full,trace,0.19683965456527047
80,820,800,0.22529052424036836,129,vi_full,trace,0.19683965456527047
81,830,810,0.225178108758517,129,vi_full,trace,0.19683965456527047
82,840,820,0.22482040358292105,129,vi_full,trace,0.19683965456527047
83,850,830,0.22468402292163545,129,vi_full,trace,0.19683965456527047
84,860,840,0.22462386094591555,129,vi_full,trace,0.19683965456527047
85,870,850,0.2241930843324566,129,vi_full,trace,0.19683965456527047
86,880,860,0.2244004490268179,129,vi_full,trace,0.19683965456527047
87,890,870,0.22396195006769565,129,vi_full,trace,0.19683965456527047
88,900,880,0.22367727519240752,129,vi_full,trace,0.19683965456527047
89,910,890,0.22301593754356996,129,vi_full,trace,0.19683965456527047
90,920,900,0.22276627763897525,129,vi_full,trace,0.19683965456527047
91,930,910,0.22280090695646865,129,vi_full,trace,0.19683965456527047
92,940,920,0.22269163096084235,129,vi_full,trace,0.19683965456527047
93,950,930,0.22336011553305013,129,vi_full,trace,0.19683965456527047
94,960,940,0.22358328941288858,129,vi_full,trace,0.19683965456527047
95,970,950,0.2235574852666535,129,vi_full,trace,0.19683965456527047
96,980,960,0.2235431677586289,129,vi_full,trace,0.19683965456527047
97,990,970,0.22325125542060228,129,vi_full,trace,0.19683965456527047
98,1000,980,0.22321669596912996,129,vi_full,trace,0.19683965456527047
99,1010,990,0.22335761246681296,129,vi_full,trace,0.19683965456527047
100,1020,1000,0.22321617097418145,129,vi_full,trace,0.19683965456527047
