step,acquired,acquired_from_pool,test_rmse,K,inference_method,acquisition,upper_bound_rmse
0,20,0,0.26824179784175134,129,analytic,trace,0.19916692953478118
1,30,10,0.2603951418187607,129,analytic,trace,0.19916692953478118
2,40,20,0.24944146592311994,129,analytic,trace,0.19916692953478118
3,50,30,0.24493830935691746,129,analytic,trace,0.19916692953478118
4,60,40,0.24314278333098333,129,analytic,trace,0.19916692953478118
5,70,50,0.24393838873781223,129,analytic,trace,0.19916692953478118
6,80,60,0.2431092439463944,129,analytic,trace,0.19916692953478118
7,90,70,0.24200953138512954,129,analytic,trace,0.19916692953478118
8,100,80,0.241544640753138,129,analytic,trace,0.19916692953478118
9,110,90,0.24291560914042248,129,analytic,trace,0.19916692953478118
10,120,100,0.2421501684937727,129,analytic,trace,0.19916692953478118
11,130,110,0.24197258609577035,129,analytic,trace,0.19916692953478118
12,140,120,0.24009111836381516,129,analytic,trace,0.19916692953478118
13,150,130,0.23807136247943075,129,analytic,trace,0.19916692953478118
14,160,140,0.2386887601433088,129,analytic,trace,0.19916692953478118
15,170,150,0.2363869580694174,129,analytic,trace,0.19916692953478118
16,180,160,0.234721473073673,129,analytic,trace,0.19916692953478118
17,190,170,0.2355318429075727,129,analytic,trace,0.19916692953478118
18,200,180,0.235096836348211,129,analytic,trace,0.19916692953478118
19,210,190,0.23466142914446975,129,analytic,trace,0.19916692953478118
20,220,200,0.2346396526624656,129,analytic,trace,0.19916692953478118
21,230,210,0.23458288697041607,129,analytic,trace,0.19916692953478118
22,240,220,0.23405597036953577,129,analytic,trace,0.19916692953478118
23,250,230,0.234129840529913,129,analytic,trace,0.19916692953478118
24,260,240,0.23359894434024098,129,analytic,trace,0.19916692953478118
25,270,250,0.2316126379593739,129,analytic,trace,0.19916692953478118
26,280,260,0.23079699083082192,129,analytic,trace,0.19916692953478118
27,290,270,0.23054974212466603,129,analytic,trace,0.19916692953478118
28,300,280,0.2298686891636451,129,analytic,trace,0.19916692953478118
29,310,290,0.2292729464729212,129,analytic,trace,0.19916692953478118
30,320,300,0.22943865133530247,129,analytic,trace,0.19916692953478118
31,330,310,0.22865721308051928,129,analytic,trace,0.19916692953478118
32,340,320,0.22878688227256386,129,analytic,trace,0.19916692953478118
33,350,330,0.22877911358447914,129,analytic,trace,0.19916692953478118
34,360,340,0.22879242050314408,129,analytic,trace,0.19916692953478118
35,370,350,0.22779642432992667,129,analytic,trace,0.19916692953478118
36,380,360,0.22787297722634864,129,analytic,trace,0.19916692953478118
37,390,370,0.22752852242218996,129,analytic,trace,0.19916692953478118
38,400,380,0.22712275556128234,129,analytic,trace,0.19916692953478118
39,410,390,0.22745553523230094,129,analytic,trace,0.19916692953478118
40,420,400,0.22744908427492075,129,analytic,trace,0.19916692953478118
41,430,410,0.22727488218083516,129,analytic,trace,0.19916692953478118
42,440,420,0.22692204229922222,129,analytic,trace,0.19916692953478118
43,450,430,0.22736813657865518,129,analytic,trace,0.19916692953478118
44,460,440,0.22760757887411723,129,analytic,trace,0.19916692953478118
45,470,450,0.22741421803066755,129,analytic,trace,0.19916692953478118
46,480,460,0.22804223669914747,129,analytic,trace,0.19916692953478118
47,490,470,0.22809065452071353,129,analytic,trace,0.19916692953478118
48,500,480,0.22767280739377396,129,analytic,trace,0.19916692953478118
49,510,490,0.2272513128228031,129,analytic,trace,0.19916692953478118
50,520,500,0.22690086801563805,129,analytic,trace,0.19916692953478118
51,530,510,0.22683604176530237,129,analytic,trace,0.19916692953478118
52,540,520,0.225753274650945,129,analytic,trace,0.19916692953478118
53,550,530,0.2260337472211008,129,analytic,trace,0.19916692953478118
54,560,540,0.22523123968074454,129,analytic,trace,0.19916692953478118
55,570,550,0.22509266754911186,129,analytic,trace,0.19916692953478118
56,580,560,0.22465722588117437,129,analytic,trace,0.19916692953478118
57,590,570,0.2245770003841945,129,analytic,trace,0.19916692953478118
58,600,580,0.2245765872807927,129,analytic,trace,0.19916692953478118
59,610,590,0.2244992365834737,129,analytic,trace,0.19916692953478118
60,620,600,0.2243361952865052,129,analytic,trace,0.19916692953478118
61,630,610,0.2246506619662515,129,analytic,trace,0.19916692953478118
62,640,620,0.22475238110529552,129,analytic,trace,0.19916692953478118
63,650,630,0.22477358399620717,129,analytic,trace,0.19916692953478118
64,660,640,0.22472425594701054,129,analytic,trace,0.19916692953478118
65,670,650,0.2244418315336682,129,analytic,trace,0.19916692953478118
66,680,660,0.22420207908408207,129,analytic,trace,0.19916692953478118
67,690,670,0.22399502121978068,129,analytic,trace,0.19916692953478118
68,700,680,0.22405543921929233,129,analytic,trace,0.19916692953478118
69,710,690,0.22427793208497465,129,analytic,trace,0.19916692953478118
70,720,700,0.2241560561305449,129,analytic,trace,0.19916692953478118
71,730,710,0.22397145552642417,129,analytic,trace,0.19916692953478118
72,740,720,0.2237756073859202,129,analytic,trace,0.19916692953478118
73,750,730,0.22363182109496405,129,analytic,trace,0.19916692953478118
74,760,740,0.22353623255665958,129,analytic,trace,0.19916692953478118
75,770,750,0.2231299894400123,129,analytic,trace,0.19916692953478118
76,780,760,0.22288491547629463,129,analytic,trace,0.19916692953478118
77,790,770,0.22285270938026533,129,analytic,trace,0.19916692953478118
78,800,780,0.22276339527273664,129,analytic,trace,0.19916692953478118
79,810,790,0.2229213881898729,129,analytic,trace,0.19916692953478118
80,820,800,0.2229483719664712,129,analytic,trace,0.19916692953478118
81,830,810,0.22292252718153005,129,analytic,trace,0.19916692953478118
82,840,820,0.22264999991227824,129,analytic,trace,0.19916692953478118
83,850,830,0.22274645102742377,129,analytic,trace,0.19916692953478118
84,860,840,0.2226066611445792,129,analytic,trace,0.19916692953478118
85,870,850,0.22266744489400556,129,analytic,trace,0.19916692953478118
86,880,860,0.22250766972384908,129,analytic,trace,0.19916692953478118
87,890,870,0.22225058439883796,129,analytic,trace,0.19916692953478118
88,900,880,0.22228813868842057,129,analytic,trace,0.19916692953478118
89,910,890,0.2222650181230731,129,analytic,trace,0.19916692953478118
90,920,900,0.22226864288372977,129,analytic,trace,0.19916692953478118
91,930,910,0.2222054427530129,129,analytic,trace,0.19916692953478118
92,940,920,0.2222951238113704,129,analytic,trace,0.19916692953478118
93,950,930,0.22224444374030478,129,analytic,trace,0.19916692953478118
94,960,940,0.22225312190228622,129,analytic,trace,0.19916692953478118
95,970,950,0.2222965186130903,129,analytic,trace,0.19916692953478118
96,980,960,0.22224078562872973,129,analytic,trace,0.19916692953478118
97,990,970,0.2220323495750394,129,analytic,trace,0.19916692953478118
98,1000,980,0.2219921125780711,129,analytic,trace,0.19916692953478118
99,1010,990,0.22216114910549728,129,analytic,trace,0.19916692953478118
100,1020,1000,0.22209225718859493,129,analytic,trace,0.19916692953478118
