step,acquired,acquired_from_pool,test_rmse,K,inference_method,acquisition,upper_bound_rmse
0,20,0,0.27178847401862904,129,mfvi,random,0.19683974138639407
1,30,10,0.27987575717293733,129,mfvi,random,0.19683974138639407
2,40,20,0.2746606659959021,129,mfvi,random,0.19683974138639407
3,50,30,0.27328314393283115,129,mfvi,random,0.19683974138639407
4,60,40,0.2697714237901227,129,mfvi,random,0.19683974138639407
5,70,50,0.25895488378468073,129,mfvi,random,0.19683974138639407
6,80,60,0.25385291747572547,129,mfvi,random,0.19683974138639407
7,90,70,0.2515163583459831,129,mfvi,random,0.19683974138639407
8,100,80,0.24864199523989305,129,mfvi,random,0.19683974138639407
9,110,90,0.2478101355498802,129,mfvi,random,0.19683974138639407
10,120,100,0.24777696190639376,129,mfvi,random,0.19683974138639407
11,130,110,0.24555638752255052,129,mfvi,random,0.19683974138639407
12,140,120,0.24170920512829047,129,mfvi,random,0.19683974138639407
13,150,130,0.2405449948164584,129,mfvi,random,0.19683974138639407
14,160,140,0.23393732049819455,129,mfvi,random,0.19683974138639407
15,170,150,0.2319625424368124,129,mfvi,random,0.19683974138639407
16,180,160,0.22847716823842595,129,mfvi,random,0.19683974138639407
17,190,170,0.22780810609617252,129,mfvi,random,0.19683974138639407
18,200,180,0.22721620133352619,129,mfvi,random,0.19683974138639407
19,210,190,0.22691335979082963,129,mfvi,random,0.19683974138639407
20,220,200,0.22593149196714477,129,mfvi,random,0.19683974138639407
21,230,210,0.22485932016971744,129,mfvi,random,0.19683974138639407
22,240,220,0.2234063570953723,129,mfvi,random,0.19683974138639407
23,250,230,0.22294424357266437,129,mfvi,random,0.19683974138639407
24,260,240,0.2210000243035903,129,mfvi,random,0.19683974138639407
25,270,250,0.21986869083827623,129,mfvi,random,0.19683974138639407
26,280,260,0.22011889764752707,129,mfvi,random,0.19683974138639407
27,290,270,0.2190324069915226,129,mfvi,random,0.19683974138639407
28,300,280,0.21904156907850847,129,mfvi,random,0.19683974138639407
29,310,290,0.21948054352123106,129,mfvi,random,0.19683974138639407
30,320,300,0.21909564210779045,129,mfvi,random,0.19683974138639407
31,330,310,0.21782712692996367,129,mfvi,random,0.19683974138639407
32,340,320,0.2173708533603919,129,mfvi,random,0.19683974138639407
33,350,330,0.21688462469637515,129,mfvi,random,0.19683974138639407
34,360,340,0.21642555193703444,129,mfvi,random,0.19683974138639407
35,370,350,0.2146235007409778,129,mfvi,random,0.19683974138639407
36,380,360,0.21386002057055334,129,mfvi,random,0.19683974138639407
37,390,370,0.21339868561787698,129,mfvi,random,0.19683974138639407
38,400,380,0.21315021157698272,129,mfvi,random,0.19683974138639407
