step,acquired,acquired_from_pool,test_rmse,K,inference_method,acquisition,upper_bound_rmse
0,20,0,0.27178847401862904,129,mfvi,trace,0.1968396297592281
1,30,10,0.271608418154703,129,mfvi,trace,0.1968396297592281
2,40,20,0.26561566160055394,129,mfvi,trace,0.1968396297592281
3,50,30,0.26367155787017965,129,mfvi,trace,0.1968396297592281
4,60,40,0.25292274906023676,129,mfvi,trace,0.1968396297592281
5,70,50,0.24991651926505878,129,mfvi,trace,0.1968396297592281
6,80,60,0.24747172739400958,129,mfvi,trace,0.1968396297592281
7,90,70,0.24528757835192144,129,mfvi,trace,0.1968396297592281
8,100,80,0.241780171575726,129,mfvi,trace,0.1968396297592281
9,110,90,0.24403946154067482,129,mfvi,trace,0.1968396297592281
10,120,100,0.24265556583934458,129,mfvi,trace,0.1968396297592281
11,130,110,0.24387662976774754,129,mfvi,trace,0.1968396297592281
12,140,120,0.24349857826522828,129,mfvi,trace,0.1968396297592281
13,150,130,0.2428770425801912,129,mfvi,trace,0.1968396297592281
14,160,140,0.24428894744492638,129,mfvi,trace,0.1968396297592281
15,170,150,0.2432173968868952,129,mfvi,trace,0.1968396297592281
16,180,160,0.2434624906941519,129,mfvi,trace,0.1968396297592281
17,190,170,0.2423904895289056,129,mfvi,trace,0.1968396297592281
18,200,180,0.24111950000207366,129,mfvi,trace,0.1968396297592281
19,210,190,0.24018622739059167,129,mfvi,trace,0.1968396297592281
20,220,200,0.23986175624591555,129,mfvi,trace,0.1968396297592281
21,230,210,0.2399721968758829,129,mfvi,trace,0.1968396297592281
22,240,220,0.2404661204372146,129,mfvi,trace,0.1968396297592281
23,250,230,0.23835317561997155,129,mfvi,trace,0.1968396297592281
24,260,240,0.2375039678944859,129,mfvi,trace,0.1968396297592281
25,270,250,0.23885446422063164,129,mfvi,trace,0.1968396297592281
26,280,260,0.23777968728951598,129,mfvi,trace,0.1968396297592281
27,290,270,0.2363290624981405,129,mfvi,trace,0.1968396297592281
