step,acquired,acquired_from_pool,test_rmse,K,inference_method,acquisition,upper_bound_rmse
0,20,0,0.2580745543170374,129,mfvi,random,0.2021532042010465
1,30,10,0.2582379066021292,129,mfvi,random,0.2021532042010465
2,40,20,0.2664496573874228,129,mfvi,random,0.2021532042010465
3,50,30,0.2578636691645413,129,mfvi,random,0.2021532042010465
4,60,40,0.2441481123851872,129,mfvi,random,0.2021532042010465
5,70,50,0.23910619494470967,129,mfvi,random,0.2021532042010465
6,80,60,0.2400942502923331,129,mfvi,random,0.2021532042010465
7,90,70,0.23755967589086957,129,mfvi,random,0.2021532042010465
8,100,80,0.23434749838647734,129,mfvi,random,0.2021532042010465
9,110,90,0.23448534902259885,129,mfvi,random,0.2021532042010465
10,120,100,0.23454298146874913,129,mfvi,random,0.2021532042010465
11,130,110,0.2348332915169557,129,mfvi,random,0.2021532042010465
12,140,120,0.23348087783049815,129,mfvi,random,0.2021532042010465
13,150,130,0.23185279332679498,129,mfvi,random,0.2021532042010465
14,160,140,0.2313558140512412,129,mfvi,random,0.2021532042010465
15,170,150,0.23080945156056218,129,mfvi,random,0.2021532042010465
16,180,160,0.2297028268695773,129,mfvi,random,0.2021532042010465
17,190,170,0.22750218920649973,129,mfvi,random,0.2021532042010465
18,200,180,0.22633689198156584,129,mfvi,random,0.2021532042010465
19,210,190,0.22537986596937845,129,mfvi,random,0.2021532042010465
20,220,200,0.22469032508655107,129,mfvi,random,0.2021532042010465
21,230,210,0.22388982842781738,129,mfvi,random,0.2021532042010465
22,240,220,0.22325884465962373,129,mfvi,random,0.2021532042010465
23,250,230,0.22296754554685194,129,mfvi,random,0.2021532042010465
24,260,240,0.22273781400800022,129,mfvi,random,0.2021532042010465
25,270,250,0.22107231565711705,129,mfvi,random,0.2021532042010465
26,280,260,0.22045430941367988,129,mfvi,random,0.2021532042010465
27,290,270,0.21875930783768952,129,mfvi,random,0.2021532042010465
28,300,280,0.21839566167637695,129,mfvi,random,0.2021532042010465
29,310,290,0.21768473880318873,129,mfvi,random,0.2021532042010465
30,320,300,0.21708842164542078,129,mfvi,random,0.2021532042010465
31,330,310,0.21657461861835867,129,mfvi,random,0.2021532042010465
32,340,320,0.21690677676063397,129,mfvi,random,0.2021532042010465
33,350,330,0.21636948017944907,129,mfvi,random,0.2021532042010465
34,360,340,0.2156074268201353,129,mfvi,random,0.2021532042010465
35,370,350,0.21531126405668494,129,mfvi,random,0.2021532042010465
36,380,360,0.21556408786382417,129,mfvi,random,0.2021532042010465
37,390,370,0.2152383988961426,129,mfvi,random,0.2021532042010465
38,400,380,0.21458554939187424,129,mfvi,random,0.2021532042010465
39,410,390,0.21454041085684766,129,mfvi,random,0.2021532042010465
40,420,400,0.2142994582645976,129,mfvi,random,0.2021532042010465
41,430,410,0.21424659055046827,129,mfvi,random,0.2021532042010465
42,440,420,0.21383758713536544,129,mfvi,random,0.2021532042010465
43,450,430,0.21367764217536891,129,mfvi,random,0.2021532042010465
44,460,440,0.2131827840470766,129,mfvi,random,0.2021532042010465
45,470,450,0.21298924607902742,129,mfvi,random,0.2021532042010465
46,480,460,0.21280435465322367,129,mfvi,random,0.2021532042010465
47,490,470,0.21281584982679275,129,mfvi,random,0.2021532042010465
48,500,480,0.21280049984521887,129,mfvi,random,0.2021532042010465
49,510,490,0.21250755960818193,129,mfvi,random,0.2021532042010465
50,520,500,0.2123314014069457,129,mfvi,random,0.2021532042010465
51,530,510,0.2124461328784311,129,mfvi,random,0.2021532042010465
52,540,520,0.21275702516676742,129,mfvi,random,0.2021532042010465
53,550,530,0.21267309126920594,129,mfvi,random,0.2021532042010465
54,560,540,0.21252659530265267,129,mfvi,random,0.2021532042010465
55,570,550,0.2121741412400142,129,mfvi,random,0.2021532042010465
56,580,560,0.21202811806824703,129,mfvi,random,0.2021532042010465
57,590,570,0.21181601778577794,129,mfvi,random,0.2021532042010465
58,600,580,0.21150026780420397,129,mfvi,random,0.2021532042010465
59,610,590,0.21142241715712765,129,mfvi,random,0.2021532042010465
60,620,600,0.2116933794762191,129,mfvi,random,0.2021532042010465
61,630,610,0.2115498519114348,129,mfvi,random,0.2021532042010465
62,640,620,0.21148131289342093,129,mfvi,random,0.2021532042010465
63,650,630,0.2114175902353858,129,mfvi,random,0.2021532042010465
64,660,640,0.21115261022466073,129,mfvi,random,0.2021532042010465
65,670,650,0.2109354745273125,129,mfvi,random,0.2021532042010465
66,680,660,0.21085182287790993,129,mfvi,random,0.2021532042010465
67,690,670,0.21086701368620342,129,mfvi,random,0.2021532042010465
68,700,680,0.2107019170571604,129,mfvi,random,0.2021532042010465
69,710,690,0.21065046442878427,129,mfvi,random,0.2021532042010465
70,720,700,0.21066787165687487,129,mfvi,random,0.2021532042010465
71,730,710,0.21050208533334652,129,mfvi,random,0.2021532042010465
72,740,720,0.21057251988997164,129,mfvi,random,0.2021532042010465
73,750,730,0.2106806306355665,129,mfvi,random,0.2021532042010465
74,760,740,0.2103069859046829,129,mfvi,random,0.2021532042010465
75,770,750,0.2101084982924001,129,mfvi,random,0.2021532042010465
76,780,760,0.2098348029552057,129,mfvi,random,0.2021532042010465
77,790,770,0.20977273323617396,129,mfvi,random,0.2021532042010465
78,800,780,0.2097044283405217,129,mfvi,random,0.2021532042010465
79,810,790,0.20951593903791066,129,mfvi,random,0.2021532042010465
80,820,800,0.20956768186256677,129,mfvi,random,0.2021532042010465
81,830,810,0.20938041037785746,129,mfvi,random,0.2021532042010465
82,840,820,0.20920514332154336,129,mfvi,random,0.2021532042010465
83,850,830,0.2091158260652156,129,mfvi,random,0.2021532042010465
84,860,840,0.2090349734307336,129,mfvi,random,0.2021532042010465
85,870,850,0.20906571139162802,129,mfvi,random,0.2021532042010465
86,880,860,0.20901639065513497,129,mfvi,random,0.2021532042010465
87,890,870,0.20895028051324194,129,mfvi,random,0.2021532042010465
88,900,880,0.20891891790312456,129,mfvi,random,0.2021532042010465
89,910,890,0.20891869587084588,129,mfvi,random,0.2021532042010465
90,920,900,0.20891582111582646,129,mfvi,random,0.2021532042010465
91,930,910,0.20881344937677027,129,mfvi,random,0.2021532042010465
92,940,920,0.20864356848912213,129,mfvi,random,0.2021532042010465
93,950,930,0.208549445201252,129,mfvi,random,0.2021532042010465
94,960,940,0.2085904962293045,129,mfvi,random,0.2021532042010465
95,970,950,0.2086271625861551,129,mfvi,random,0.2021532042010465
96,980,960,0.20865697777692457,129,mfvi,random,0.2021532042010465
97,990,970,0.2086890465838169,129,mfvi,random,0.2021532042010465
98,1000,980,0.20869108216078017,129,mfvi,random,0.2021532042010465
99,1010,990,0.20872077125088076,129,mfvi,random,0.2021532042010465
100,1020,1000,0.20859165495202583,129,mfvi,random,0.2021532042010465
