step,acquired,acquired_from_pool,test_rmse,K,inference_method,acquisition,upper_bound_rmse
0,20,0,0.26824179784175134,129,mfvi,trace,0.19916659243700674
1,30,10,0.26389796094146406,129,mfvi,trace,0.19916659243700674
2,40,20,0.2632547000708154,129,mfvi,trace,0.19916659243700674
3,50,30,0.25583333121267643,129,mfvi,trace,0.19916659243700674
4,60,40,0.2543275351140484,129,mfvi,trace,0.19916659243700674
5,70,50,0.25512493109994167,129,mfvi,trace,0.19916659243700674
6,80,60,0.2557901934142022,129,mfvi,trace,0.19916659243700674
7,90,70,0.2546728427530849,129,mfvi,trace,0.19916659243700674
8,100,80,0.25534068846836766,129,mfvi,trace,0.19916659243700674
9,110,90,0.2547008336233659,129,mfvi,trace,0.19916659243700674
10,120,100,0.2547764606902981,129,mfvi,trace,0.19916659243700674
11,130,110,0.25105976551286546,129,mfvi,trace,0.19916659243700674
12,140,120,0.25148653744410454,129,mfvi,trace,0.19916659243700674
13,150,130,0.253273095180257,129,mfvi,trace,0.19916659243700674
14,160,140,0.2547065272800493,129,mfvi,trace,0.19916659243700674
15,170,150,0.25387399795161675,129,mfvi,trace,0.19916659243700674
16,180,160,0.2547450088446288,129,mfvi,trace,0.19916659243700674
17,190,170,0.2535862310191545,129,mfvi,trace,0.19916659243700674
18,200,180,0.2552328708442057,129,mfvi,trace,0.19916659243700674
19,210,190,0.25719928967509803,129,mfvi,trace,0.19916659243700674
20,220,200,0.25618930302488235,129,mfvi,trace,0.19916659243700674
21,230,210,0.25621004833375977,129,mfvi,trace,0.19916659243700674
22,240,220,0.25833944255209074,129,mfvi,trace,0.19916659243700674
23,250,230,0.2585661994387269,129,mfvi,trace,0.19916659243700674
24,260,240,0.255941830702066,129,mfvi,trace,0.19916659243700674
25,270,250,0.25489973902129637,129,mfvi,trace,0.19916659243700674
26,280,260,0.25361116506746106,129,mfvi,trace,0.19916659243700674
27,290,270,0.25312886764020515,129,mfvi,trace,0.19916659243700674
28,300,280,0.2510329830794153,129,mfvi,trace,0.19916659243700674
29,310,290,0.2506760098494918,129,mfvi,trace,0.19916659243700674
30,320,300,0.24835306151538075,129,mfvi,trace,0.19916659243700674
31,330,310,0.24964245917286387,129,mfvi,trace,0.19916659243700674
32,340,320,0.24787653846282529,129,mfvi,trace,0.19916659243700674
33,350,330,0.24583501279440445,129,mfvi,trace,0.19916659243700674
34,360,340,0.24578569012200446,129,mfvi,trace,0.19916659243700674
35,370,350,0.2459733931876576,129,mfvi,trace,0.19916659243700674
36,380,360,0.24555078991867954,129,mfvi,trace,0.19916659243700674
37,390,370,0.24445030609192842,129,mfvi,trace,0.19916659243700674
38,400,380,0.24593401562017098,129,mfvi,trace,0.19916659243700674
39,410,390,0.24526013573283267,129,mfvi,trace,0.19916659243700674
40,420,400,0.24459029838180418,129,mfvi,trace,0.19916659243700674
41,430,410,0.24458565688667744,129,mfvi,trace,0.19916659243700674
42,440,420,0.2444292119376027,129,mfvi,trace,0.19916659243700674
43,450,430,0.244374170794629,129,mfvi,trace,0.19916659243700674
44,460,440,0.24479908455072907,129,mfvi,trace,0.19916659243700674
45,470,450,0.24666460575926777,129,mfvi,trace,0.19916659243700674
46,480,460,0.24613808132453824,129,mfvi,trace,0.19916659243700674
47,490,470,0.2459514270993106,129,mfvi,trace,0.19916659243700674
48,500,480,0.246515798809123,129,mfvi,trace,0.19916659243700674
49,510,490,0.24553245513259037,129,mfvi,trace,0.19916659243700674
50,520,500,0.2445928736249791,129,mfvi,trace,0.19916659243700674
51,530,510,0.24460388298290053,129,mfvi,trace,0.19916659243700674
52,540,520,0.24431659907983638,129,mfvi,trace,0.19916659243700674
53,550,530,0.24342993810463207,129,mfvi,trace,0.19916659243700674
54,560,540,0.24175689542260217,129,mfvi,trace,0.19916659243700674
55,570,550,0.24198367431050488,129,mfvi,trace,0.19916659243700674
56,580,560,0.2406725906671499,129,mfvi,trace,0.19916659243700674
57,590,570,0.24095160464551799,129,mfvi,trace,0.19916659243700674
58,600,580,0.2398784991113991,129,mfvi,trace,0.19916659243700674
59,610,590,0.24055767118107563,129,mfvi,trace,0.19916659243700674
60,620,600,0.24053916894525723,129,mfvi,trace,0.19916659243700674
61,630,610,0.2409053358881347,129,mfvi,trace,0.19916659243700674
62,640,620,0.23969796057682155,129,mfvi,trace,0.19916659243700674
63,650,630,0.23937441865138284,129,mfvi,trace,0.19916659243700674
64,660,640,0.23863799115042955,129,mfvi,trace,0.19916659243700674
65,670,650,0.23782257082815436,129,mfvi,trace,0.19916659243700674
66,680,660,0.23761249391735487,129,mfvi,trace,0.19916659243700674
67,690,670,0.23712230452803781,129,mfvi,trace,0.19916659243700674
68,700,680,0.23708677044227922,129,mfvi,trace,0.19916659243700674
69,710,690,0.23546445749239417,129,mfvi,trace,0.19916659243700674
70,720,700,0.23476281456304468,129,mfvi,trace,0.19916659243700674
71,730,710,0.23539876406854815,129,mfvi,trace,0.19916659243700674
72,740,720,0.23463252518566133,129,mfvi,trace,0.19916659243700674
73,750,730,0.23395568741083214,129,mfvi,trace,0.19916659243700674
74,760,740,0.23367039921382854,129,mfvi,trace,0.19916659243700674
75,770,750,0.23403397064114964,129,mfvi,trace,0.19916659243700674
76,780,760,0.23299603713435235,129,mfvi,trace,0.19916659243700674
77,790,770,0.23239085139587573,129,mfvi,trace,0.19916659243700674
78,800,780,0.2319662893073043,129,mfvi,trace,0.19916659243700674
79,810,790,0.2326490512653931,129,mfvi,trace,0.19916659243700674
80,820,800,0.23271736730823292,129,mfvi,trace,0.19916659243700674
81,830,810,0.2327921656388215,129,mfvi,trace,0.19916659243700674
82,840,820,0.23290226876712686,129,mfvi,trace,0.19916659243700674
83,850,830,0.2329274254931673,129,mfvi,trace,0.19916659243700674
84,860,840,0.2327478727413529,129,mfvi,trace,0.19916659243700674
85,870,850,0.23323164869529392,129,mfvi,trace,0.19916659243700674
86,880,860,0.23298575767898347,129,mfvi,trace,0.19916659243700674
87,890,870,0.23319649540409051,129,mfvi,trace,0.19916659243700674
