step,acquired,acquired_from_pool,test_rmse,K,inference_method,acquisition,upper_bound_rmse
0,20,0,0.2682418524508247,129,vi_full,trace,0.19916678856669037
1,30,10,0.26396550548497333,129,vi_full,trace,0.19916678856669037
2,40,20,0.2572914336621752,129,vi_full,trace,0.19916678856669037
3,50,30,0.2523197163477569,129,vi_full,trace,0.19916678856669037
4,60,40,0.2521935020971,129,vi_full,trace,0.19916678856669037
5,70,50,0.2469193690350911,129,vi_full,trace,0.19916678856669037
6,80,60,0.24837239713029707,129,vi_full,trace,0.19916678856669037
7,90,70,0.24955932841398154,129,vi_full,trace,0.19916678856669037
8,100,80,0.25212834265880346,129,vi_full,trace,0.19916678856669037
9,110,90,0.2486551817559057,129,vi_full,trace,0.19916678856669037
10,120,100,0.245239419846963,129,vi_full,trace,0.19916678856669037
11,130,110,0.24177650610894766,129,vi_full,trace,0.19916678856669037
12,140,120,0.24001664167563466,129,vi_full,trace,0.19916678856669037
13,150,130,0.24012436759742337,129,vi_full,trace,0.19916678856669037
14,160,140,0.23931567476348056,129,vi_full,trace,0.19916678856669037
15,170,150,0.2379551970040789,129,vi_full,trace,0.19916678856669037
16,180,160,0.23640915191543452,129,vi_full,trace,0.19916678856669037
17,190,170,0.23464659263986767,129,vi_full,trace,0.19916678856669037
18,200,180,0.2343896974558342,129,vi_full,trace,0.19916678856669037
19,210,190,0.23372098332600563,129,vi_full,trace,0.19916678856669037
20,220,200,0.23335314741020743,129,vi_full,trace,0.19916678856669037
21,230,210,0.23317221581175254,129,vi_full,trace,0.19916678856669037
22,240,220,0.23226668400784473,129,vi_full,trace,0.19916678856669037
23,250,230,0.2320014395833569,129,vi_full,trace,0.19916678856669037
24,260,240,0.23202417918519289,129,vi_full,trace,0.19916678856669037
25,270,250,0.23199126338951323,129,vi_full,trace,0.19916678856669037
26,280,260,0.23156291118384548,129,vi_full,trace,0.19916678856669037
27,290,270,0.23171020508519904,129,vi_full,trace,0.19916678856669037
28,300,280,0.2324280067468473,129,vi_full,trace,0.19916678856669037
29,310,290,0.2320163294866064,129,vi_full,trace,0.19916678856669037
30,320,300,0.23213184898350334,129,vi_full,trace,0.19916678856669037
31,330,310,0.23221824325405616,129,vi_full,trace,0.19916678856669037
32,340,320,0.23206451781710943,129,vi_full,trace,0.19916678856669037
33,350,330,0.23259922067998745,129,vi_full,trace,0.19916678856669037
34,360,340,0.23319412932817368,129,vi_full,trace,0.19916678856669037
35,370,350,0.2328752327394167,129,vi_full,trace,0.19916678856669037
36,380,360,0.23313999616646647,129,vi_full,trace,0.19916678856669037
37,390,370,0.23240026422639884,129,vi_full,trace,0.19916678856669037
38,400,380,0.23153344115915522,129,vi_full,trace,0.19916678856669037
39,410,390,0.2314565800263626,129,vi_full,trace,0.19916678856669037
40,420,400,0.23085315399824516,129,vi_full,trace,0.19916678856669037
41,430,410,0.2301660830384225,129,vi_full,trace,0.19916678856669037
42,440,420,0.2301115027784085,129,vi_full,trace,0.19916678856669037
43,450,430,0.23014928069896284,129,vi_full,trace,0.19916678856669037
44,460,440,0.22959507068832075,129,vi_full,trace,0.19916678856669037
45,470,450,0.22969337790098018,129,vi_full,trace,0.19916678856669037
46,480,460,0.2291841849364829,129,vi_full,trace,0.19916678856669037
47,490,470,0.22904769520710638,129,vi_full,trace,0.19916678856669037
48,500,480,0.22934351367680972,129,vi_full,trace,0.19916678856669037
49,510,490,0.22929988552112274,129,vi_full,trace,0.19916678856669037
50,520,500,0.22871067797273917,129,vi_full,trace,0.19916678856669037
51,530,510,0.2287327093875076,129,vi_full,trace,0.19916678856669037
52,540,520,0.22851380608250457,129,vi_full,trace,0.19916678856669037
53,550,530,0.22870810536781921,129,vi_full,trace,0.19916678856669037
54,560,540,0.2286081249752237,129,vi_full,trace,0.19916678856669037
55,570,550,0.22823353582460223,129,vi_full,trace,0.19916678856669037
56,580,560,0.22822718173866802,129,vi_full,trace,0.19916678856669037
57,590,570,0.2281162455511992,129,vi_full,trace,0.19916678856669037
58,600,580,0.22736900632905643,129,vi_full,trace,0.19916678856669037
59,610,590,0.22691042251018353,129,vi_full,trace,0.19916678856669037
60,620,600,0.22698865094151735,129,vi_full,trace,0.19916678856669037
61,630,610,0.22692774438546512,129,vi_full,trace,0.19916678856669037
62,640,620,0.22656090516680058,129,vi_full,trace,0.19916678856669037
63,650,630,0.22658191727138113,129,vi_full,trace,0.19916678856669037
64,660,640,0.226277223413974,129,vi_full,trace,0.19916678856669037
65,670,650,0.22569043372504738,129,vi_full,trace,0.19916678856669037
66,680,660,0.22557339047899133,129,vi_full,trace,0.19916678856669037
67,690,670,0.2258613071735064,129,vi_full,trace,0.19916678856669037
68,700,680,0.22580969760231734,129,vi_full,trace,0.19916678856669037
69,710,690,0.22566053217443674,129,vi_full,trace,0.19916678856669037
70,720,700,0.22575156595525533,129,vi_full,trace,0.19916678856669037
71,730,710,0.22574905696093173,129,vi_full,trace,0.19916678856669037
72,740,720,0.22560237291319102,129,vi_full,trace,0.19916678856669037
73,750,730,0.22551676766927997,129,vi_full,trace,0.19916678856669037
74,760,740,0.2255150788334341,129,vi_full,trace,0.19916678856669037
75,770,750,0.22570790331130963,129,vi_full,trace,0.19916678856669037
76,780,760,0.22533659718574345,129,vi_full,trace,0.19916678856669037
77,790,770,0.22518048316850198,129,vi_full,trace,0.19916678856669037
78,800,780,0.22498833520109993,129,vi_full,trace,0.19916678856669037
79,810,790,0.2250701930440257,129,vi_full,trace,0.19916678856669037
80,820,800,0.22498970245532904,129,vi_full,trace,0.19916678856669037
81,830,810,0.22499291438495903,129,vi_full,trace,0.19916678856669037
82,840,820,0.22501165334405462,129,vi_full,trace,0.19916678856669037
83,850,830,0.2240342773369178,129,vi_full,trace,0.19916678856669037
84,860,840,0.22390584656279078,129,vi_full,trace,0.19916678856669037
85,870,850,0.22386337255190386,129,vi_full,trace,0.19916678856669037
