step,acquired,acquired_from_pool,test_rmse,K,inference_method,acquisition,upper_bound_rmse
0,20,0,0.2682418524508247,129,vi,trace,0.19916680695383832
1,30,10,0.26914648261042257,129,vi,trace,0.19916680695383832
2,40,20,0.26299584864831993,129,vi,trace,0.19916680695383832
3,50,30,0.2649592392001079,129,vi,trace,0.19916680695383832
4,60,40,0.2665278956143709,129,vi,trace,0.19916680695383832
5,70,50,0.26827647236572943,129,vi,trace,0.19916680695383832
6,80,60,0.26788215619815925,129,vi,trace,0.19916680695383832
7,90,70,0.2673176309567188,129,vi,trace,0.19916680695383832
8,100,80,0.2691828091940958,129,vi,trace,0.19916680695383832
9,110,90,0.2678816913974105,129,vi,trace,0.19916680695383832
10,120,100,0.26801348934102176,129,vi,trace,0.19916680695383832
11,130,110,0.2663108058500443,129,vi,trace,0.19916680695383832
12,140,120,0.26488311838667633,129,vi,trace,0.19916680695383832
13,150,130,0.26516637797392884,129,vi,trace,0.19916680695383832
14,160,140,0.2636115417083914,129,vi,trace,0.19916680695383832
15,170,150,0.2619585748202853,129,vi,trace,0.19916680695383832
16,180,160,0.2633050341630881,129,vi,trace,0.19916680695383832
17,190,170,0.26472725129484687,129,vi,trace,0.19916680695383832
18,200,180,0.26238548469403755,129,vi,trace,0.19916680695383832
19,210,190,0.2638317316343648,129,vi,trace,0.19916680695383832
20,220,200,0.2626671528819791,129,vi,trace,0.19916680695383832
21,230,210,0.26141563603890455,129,vi,trace,0.19916680695383832
22,240,220,0.2608838923226911,129,vi,trace,0.19916680695383832
23,250,230,0.2599353979988345,129,vi,trace,0.19916680695383832
24,260,240,0.2602306106189758,129,vi,trace,0.19916680695383832
25,270,250,0.260428517438687,129,vi,trace,0.19916680695383832
26,280,260,0.26037277025869565,129,vi,trace,0.19916680695383832
27,290,270,0.25983950312223986,129,vi,trace,0.19916680695383832
28,300,280,0.25798696748212885,129,vi,trace,0.19916680695383832
29,310,290,0.2583709009562367,129,vi,trace,0.19916680695383832
30,320,300,0.26006205126433285,129,vi,trace,0.19916680695383832
31,330,310,0.26004894558825364,129,vi,trace,0.19916680695383832
32,340,320,0.25997167814494715,129,vi,trace,0.19916680695383832
33,350,330,0.26050918252470007,129,vi,trace,0.19916680695383832
34,360,340,0.26037802109085073,129,vi,trace,0.19916680695383832
35,370,350,0.2593620666956234,129,vi,trace,0.19916680695383832
36,380,360,0.25924326473893206,129,vi,trace,0.19916680695383832
37,390,370,0.2587364598661397,129,vi,trace,0.19916680695383832
38,400,380,0.2583999746033269,129,vi,trace,0.19916680695383832
39,410,390,0.25895427096907475,129,vi,trace,0.19916680695383832
40,420,400,0.2566938229681423,129,vi,trace,0.19916680695383832
41,430,410,0.2564917590507295,129,vi,trace,0.19916680695383832
42,440,420,0.25630059523377524,129,vi,trace,0.19916680695383832
43,450,430,0.25534594716653525,129,vi,trace,0.19916680695383832
44,460,440,0.25513260568648416,129,vi,trace,0.19916680695383832
45,470,450,0.25451471324426905,129,vi,trace,0.19916680695383832
46,480,460,0.25499220652918986,129,vi,trace,0.19916680695383832
47,490,470,0.25467018729500907,129,vi,trace,0.19916680695383832
48,500,480,0.2544754869088573,129,vi,trace,0.19916680695383832
49,510,490,0.254186950607963,129,vi,trace,0.19916680695383832
50,520,500,0.2537929843519123,129,vi,trace,0.19916680695383832
51,530,510,0.2544855027182295,129,vi,trace,0.19916680695383832
52,540,520,0.25405856969592167,129,vi,trace,0.19916680695383832
53,550,530,0.25394327614646545,129,vi,trace,0.19916680695383832
54,560,540,0.2539025095878337,129,vi,trace,0.19916680695383832
55,570,550,0.25318429089548583,129,vi,trace,0.19916680695383832
56,580,560,0.2533988391443171,129,vi,trace,0.19916680695383832
57,590,570,0.2526254232894771,129,vi,trace,0.19916680695383832
58,600,580,0.25168411268517726,129,vi,trace,0.19916680695383832
59,610,590,0.2504523544228273,129,vi,trace,0.19916680695383832
60,620,600,0.25061158590972504,129,vi,trace,0.19916680695383832
61,630,610,0.25112213980762926,129,vi,trace,0.19916680695383832
62,640,620,0.25072189718204213,129,vi,trace,0.19916680695383832
63,650,630,0.25029987873923354,129,vi,trace,0.19916680695383832
64,660,640,0.24933760880393174,129,vi,trace,0.19916680695383832
65,670,650,0.24955131611554365,129,vi,trace,0.19916680695383832
66,680,660,0.24942987726388152,129,vi,trace,0.19916680695383832
67,690,670,0.24952217031070106,129,vi,trace,0.19916680695383832
68,700,680,0.24987259448879642,129,vi,trace,0.19916680695383832
69,710,690,0.24922051331664596,129,vi,trace,0.19916680695383832
70,720,700,0.24907244922097968,129,vi,trace,0.19916680695383832
71,730,710,0.24901565000078307,129,vi,trace,0.19916680695383832
72,740,720,0.24889745158649174,129,vi,trace,0.19916680695383832
73,750,730,0.24842543209683665,129,vi,trace,0.19916680695383832
74,760,740,0.24816096047663802,129,vi,trace,0.19916680695383832
75,770,750,0.24770912290489525,129,vi,trace,0.19916680695383832
