step,acquired,acquired_from_pool,test_rmse,K,inference_method,acquisition,upper_bound_rmse
0,20,0,0.27178840215666855,129,vi_full,random,0.19683962355771703
1,30,10,0.2798754344151385,129,vi_full,random,0.19683962355771703
2,40,20,0.2746608259944208,129,vi_full,random,0.19683962355771703
3,50,30,0.2732830545966718,129,vi_full,random,0.19683962355771703
4,60,40,0.26977213873181477,129,vi_full,random,0.19683962355771703
5,70,50,0.2589548366450702,129,vi_full,random,0.19683962355771703
6,80,60,0.2538527635972031,129,vi_full,random,0.19683962355771703
7,90,70,0.25151647482694844,129,vi_full,random,0.19683962355771703
8,100,80,0.24864124899767737,129,vi_full,random,0.19683962355771703
9,110,90,0.2478102734767568,129,vi_full,random,0.19683962355771703
10,120,100,0.2477765480699041,129,vi_full,random,0.19683962355771703
11,130,110,0.24555706360105994,129,vi_full,random,0.19683962355771703
12,140,120,0.2417091243235348,129,vi_full,random,0.19683962355771703
13,150,130,0.24054485272371762,129,vi_full,random,0.19683962355771703
14,160,140,0.2339378005608542,129,vi_full,random,0.19683962355771703
15,170,150,0.231962395086736,129,vi_full,random,0.19683962355771703
16,180,160,0.22847792691185181,129,vi_full,random,0.19683962355771703
17,190,170,0.22780807394534439,129,vi_full,random,0.19683962355771703
18,200,180,0.22721619058866602,129,vi_full,random,0.19683962355771703
19,210,190,0.2269134135868239,129,vi_full,random,0.19683962355771703
20,220,200,0.22593135148964497,129,vi_full,random,0.19683962355771703
21,230,210,0.2248598087559224,129,vi_full,random,0.19683962355771703
22,240,220,0.22340664122570303,129,vi_full,random,0.19683962355771703
23,250,230,0.22294452829193298,129,vi_full,random,0.19683962355771703
24,260,240,0.2210004882807106,129,vi_full,random,0.19683962355771703
25,270,250,0.21986905726761555,129,vi_full,random,0.19683962355771703
26,280,260,0.22011911947355345,129,vi_full,random,0.19683962355771703
27,290,270,0.2190326076252689,129,vi_full,random,0.19683962355771703
28,300,280,0.2190416136619364,129,vi_full,random,0.19683962355771703
29,310,290,0.21948006520738392,129,vi_full,random,0.19683962355771703
30,320,300,0.2190952743849408,129,vi_full,random,0.19683962355771703
31,330,310,0.217827351089831,129,vi_full,random,0.19683962355771703
32,340,320,0.21737180803795025,129,vi_full,random,0.19683962355771703
33,350,330,0.2168853000976265,129,vi_full,random,0.19683962355771703
34,360,340,0.21642625133200685,129,vi_full,random,0.19683962355771703
35,370,350,0.2146226134659102,129,vi_full,random,0.19683962355771703
36,380,360,0.21386020322499813,129,vi_full,random,0.19683962355771703
37,390,370,0.21339865129611293,129,vi_full,random,0.19683962355771703
38,400,380,0.21315033757010568,129,vi_full,random,0.19683962355771703
39,410,390,0.21229145327311813,129,vi_full,random,0.19683962355771703
40,420,400,0.21217670719974188,129,vi_full,random,0.19683962355771703
41,430,410,0.21189272141964904,129,vi_full,random,0.19683962355771703
42,440,420,0.21165364543281553,129,vi_full,random,0.19683962355771703
43,450,430,0.2111028402928002,129,vi_full,random,0.19683962355771703
44,460,440,0.21020442059457267,129,vi_full,random,0.19683962355771703
45,470,450,0.20990753172528134,129,vi_full,random,0.19683962355771703
46,480,460,0.20988465256614763,129,vi_full,random,0.19683962355771703
47,490,470,0.20914561828648837,129,vi_full,random,0.19683962355771703
48,500,480,0.20919054374839702,129,vi_full,random,0.19683962355771703
49,510,490,0.2092441638784401,129,vi_full,random,0.19683962355771703
50,520,500,0.20932102849152542,129,vi_full,random,0.19683962355771703
51,530,510,0.20872380075113617,129,vi_full,random,0.19683962355771703
52,540,520,0.2084465304453099,129,vi_full,random,0.19683962355771703
53,550,530,0.20837062036114282,129,vi_full,random,0.19683962355771703
54,560,540,0.20819661399293937,129,vi_full,random,0.19683962355771703
55,570,550,0.20833899471474368,129,vi_full,random,0.19683962355771703
56,580,560,0.2080296562767554,129,vi_full,random,0.19683962355771703
57,590,570,0.20788334083912904,129,vi_full,random,0.19683962355771703
58,600,580,0.207722019776431,129,vi_full,random,0.19683962355771703
59,610,590,0.20758384977521732,129,vi_full,random,0.19683962355771703
60,620,600,0.20717847359673977,129,vi_full,random,0.19683962355771703
61,630,610,0.20686502761084943,129,vi_full,random,0.19683962355771703
62,640,620,0.20645051805759654,129,vi_full,random,0.19683962355771703
63,650,630,0.20635488573616934,129,vi_full,random,0.19683962355771703
64,660,640,0.20635275612634182,129,vi_full,random,0.19683962355771703
65,670,650,0.2061265373843516,129,vi_full,random,0.19683962355771703
66,680,660,0.20585525671876828,129,vi_full,random,0.19683962355771703
67,690,670,0.20548335261797973,129,vi_full,random,0.19683962355771703
68,700,680,0.20539349857727363,129,vi_full,random,0.19683962355771703
69,710,690,0.20543477618364667,129,vi_full,random,0.19683962355771703
70,720,700,0.20529681494500224,129,vi_full,random,0.19683962355771703
71,730,710,0.20514042208554972,129,vi_full,random,0.19683962355771703
72,740,720,0.20502409109586975,129,vi_full,random,0.19683962355771703
73,750,730,0.20488852247167239,129,vi_full,random,0.19683962355771703
74,760,740,0.20477148801697834,129,vi_full,random,0.19683962355771703
75,770,750,0.2047146689984013,129,vi_full,random,0.19683962355771703
76,780,760,0.20464710956455018,129,vi_full,random,0.19683962355771703
77,790,770,0.20449987822811166,129,vi_full,random,0.19683962355771703
78,800,780,0.2044855396782374,129,vi_full,random,0.19683962355771703
79,810,790,0.2043802918848525,129,vi_full,random,0.19683962355771703
80,820,800,0.20446980312658639,129,vi_full,random,0.19683962355771703
81,830,810,0.2045319661943152,129,vi_full,random,0.19683962355771703
82,840,820,0.20428298530699393,129,vi_full,random,0.19683962355771703
83,850,830,0.20417799182024982,129,vi_full,random,0.19683962355771703
84,860,840,0.204077167351899,129,vi_full,random,0.19683962355771703
85,870,850,0.20387197987876485,129,vi_full,random,0.19683962355771703
86,880,860,0.2036221320393488,129,vi_full,random,0.19683962355771703
87,890,870,0.20361018976220224,129,vi_full,random,0.19683962355771703
88,900,880,0.20358133835920472,129,vi_full,random,0.19683962355771703
89,910,890,0.20357887992511037,129,vi_full,random,0.19683962355771703
90,920,900,0.20345580034816532,129,vi_full,random,0.19683962355771703
91,930,910,0.20332115528763847,129,vi_full,random,0.19683962355771703
92,940,920,0.20316487589363227,129,vi_full,random,0.19683962355771703
93,950,930,0.2031694182203611,129,vi_full,random,0.19683962355771703
94,960,940,0.20319885676505417,129,vi_full,random,0.19683962355771703
95,970,950,0.20312531249975962,129,vi_full,random,0.19683962355771703
96,980,960,0.20300271559529076,129,vi_full,random,0.19683962355771703
97,990,970,0.20288796265580913,129,vi_full,random,0.19683962355771703
98,1000,980,0.20277232604805198,129,vi_full,random,0.19683962355771703
99,1010,990,0.20274073027129377,129,vi_full,random,0.19683962355771703
100,1020,1000,0.20268407673257782,129,vi_full,random,0.19683962355771703
