step,acquired,acquired_from_pool,test_rmse,K,inference_method,acquisition,upper_bound_rmse
0,20,0,0.27178840215666855,129,vi_full,trace,0.19683972898337876
1,30,10,0.2705870625111953,129,vi_full,trace,0.19683972898337876
2,40,20,0.26510447159445466,129,vi_full,trace,0.19683972898337876
3,50,30,0.26193436081392607,129,vi_full,trace,0.19683972898337876
4,60,40,0.2544421556009833,129,vi_full,trace,0.19683972898337876
5,70,50,0.2488039161104081,129,vi_full,trace,0.19683972898337876
6,80,60,0.24656137119513472,129,vi_full,trace,0.19683972898337876
7,90,70,0.24194032749897754,129,vi_full,trace,0.19683972898337876
8,100,80,0.24071380260721445,129,vi_full,trace,0.19683972898337876
9,110,90,0.24117963675961535,129,vi_full,trace,0.19683972898337876
10,120,100,0.24220631983329316,129,vi_full,trace,0.19683972898337876
11,130,110,0.24184525212739344,129,vi_full,trace,0.19683972898337876
12,140,120,0.24272008979931492,129,vi_full,trace,0.19683972898337876
13,150,130,0.2403235733794648,129,vi_full,trace,0.19683972898337876
14,160,140,0.23982263750725763,129,vi_full,trace,0.19683972898337876
15,170,150,0.2402824773996483,129,vi_full,trace,0.19683972898337876
16,180,160,0.24024130325375465,129,vi_full,trace,0.19683972898337876
17,190,170,0.24130204061442892,129,vi_full,trace,0.19683972898337876
18,200,180,0.24190252387002395,129,vi_full,trace,0.19683972898337876
19,210,190,0.24040554115650078,129,vi_full,trace,0.19683972898337876
20,220,200,0.23994206047046546,129,vi_full,trace,0.19683972898337876
21,230,210,0.23564708948181387,129,vi_full,trace,0.19683972898337876
22,240,220,0.2360553513611797,129,vi_full,trace,0.19683972898337876
23,250,230,0.23596418516310372,129,vi_full,trace,0.19683972898337876
24,260,240,0.2347280569982794,129,vi_full,trace,0.19683972898337876
25,270,250,0.23314463514830766,129,vi_full,trace,0.19683972898337876
26,280,260,0.23250983892152285,129,vi_full,trace,0.19683972898337876
27,290,270,0.2318302370034213,129,vi_full,trace,0.19683972898337876
28,300,280,0.23230402737105635,129,vi_full,trace,0.19683972898337876
29,310,290,0.2319582271458053,129,vi_full,trace,0.19683972898337876
30,320,300,0.23070523883640462,129,vi_full,trace,0.19683972898337876
31,330,310,0.22998802618288633,129,vi_full,trace,0.19683972898337876
32,340,320,0.22870464671643098,129,vi_full,trace,0.19683972898337876
