step,acquired,acquired_from_pool,test_rmse,K,inference_method,acquisition,upper_bound_rmse
0,20,0,0.2682418524508247,129,vi,random,0.19916696018000513
1,30,10,0.2749316410065646,129,vi,random,0.19916696018000513
2,40,20,0.27351602443915424,129,vi,random,0.19916696018000513
3,50,30,0.2668272974053161,129,vi,random,0.19916696018000513
4,60,40,0.25823749062152074,129,vi,random,0.19916696018000513
5,70,50,0.25442158280475147,129,vi,random,0.19916696018000513
6,80,60,0.24700929891402873,129,vi,random,0.19916696018000513
7,90,70,0.24610189470649144,129,vi,random,0.19916696018000513
8,100,80,0.24365485923676444,129,vi,random,0.19916696018000513
9,110,90,0.24353296627779678,129,vi,random,0.19916696018000513
10,120,100,0.23989520010048138,129,vi,random,0.19916696018000513
11,130,110,0.23792547209880135,129,vi,random,0.19916696018000513
12,140,120,0.2351354018997618,129,vi,random,0.19916696018000513
13,150,130,0.23347738531413487,129,vi,random,0.19916696018000513
14,160,140,0.23158295287542216,129,vi,random,0.19916696018000513
15,170,150,0.22953265401204356,129,vi,random,0.19916696018000513
16,180,160,0.22924320336503434,129,vi,random,0.19916696018000513
17,190,170,0.22926582253535416,129,vi,random,0.19916696018000513
18,200,180,0.22808269085396968,129,vi,random,0.19916696018000513
19,210,190,0.22618025945167053,129,vi,random,0.19916696018000513
20,220,200,0.2256822230932523,129,vi,random,0.19916696018000513
21,230,210,0.22480515652101377,129,vi,random,0.19916696018000513
22,240,220,0.2246496730154253,129,vi,random,0.19916696018000513
23,250,230,0.224710262668258,129,vi,random,0.19916696018000513
24,260,240,0.2239794236678059,129,vi,random,0.19916696018000513
25,270,250,0.22334163153115902,129,vi,random,0.19916696018000513
26,280,260,0.22191436710615425,129,vi,random,0.19916696018000513
27,290,270,0.22131415692333714,129,vi,random,0.19916696018000513
28,300,280,0.22168467849557735,129,vi,random,0.19916696018000513
29,310,290,0.22124814617867422,129,vi,random,0.19916696018000513
30,320,300,0.21994940158548398,129,vi,random,0.19916696018000513
31,330,310,0.21787443075800567,129,vi,random,0.19916696018000513
32,340,320,0.21675074114997275,129,vi,random,0.19916696018000513
33,350,330,0.21585122869626547,129,vi,random,0.19916696018000513
34,360,340,0.2157352073434005,129,vi,random,0.19916696018000513
