step,acquired,acquired_from_pool,test_rmse,K,inference_method,acquisition,upper_bound_rmse
0,20,0,0.27178840215666855,129,vi,trace,0.19683986541650422
1,30,10,0.26811634965649705,129,vi,trace,0.19683986541650422
2,40,20,0.26103421673161453,129,vi,trace,0.19683986541650422
3,50,30,0.2653887000408552,129,vi,trace,0.19683986541650422
4,60,40,0.2640489549040812,129,vi,trace,0.19683986541650422
5,70,50,0.26697818921332317,129,vi,trace,0.19683986541650422
6,80,60,0.26781261850930865,129,vi,trace,0.19683986541650422
7,90,70,0.2637836545471497,129,vi,trace,0.19683986541650422
8,100,80,0.2600761607202783,129,vi,trace,0.19683986541650422
9,110,90,0.2625568483829978,129,vi,trace,0.19683986541650422
10,120,100,0.26388910727330145,129,vi,trace,0.19683986541650422
11,130,110,0.261704514538224,129,vi,trace,0.19683986541650422
12,140,120,0.2618532024042765,129,vi,trace,0.19683986541650422
13,150,130,0.26073386515276453,129,vi,trace,0.19683986541650422
14,160,140,0.2608002165062128,129,vi,trace,0.19683986541650422
15,170,150,0.2606661201074566,129,vi,trace,0.19683986541650422
16,180,160,0.26128401393407136,129,vi,trace,0.19683986541650422
17,190,170,0.26143550904692536,129,vi,trace,0.19683986541650422
18,200,180,0.2618763238331694,129,vi,trace,0.19683986541650422
19,210,190,0.26127580053520555,129,vi,trace,0.19683986541650422
20,220,200,0.26160537656339367,129,vi,trace,0.19683986541650422
21,230,210,0.260629327751838,129,vi,trace,0.19683986541650422
22,240,220,0.2607382847320278,129,vi,trace,0.19683986541650422
23,250,230,0.26122037436688395,129,vi,trace,0.19683986541650422
24,260,240,0.26115902834468024,129,vi,trace,0.19683986541650422
25,270,250,0.2611119271051449,129,vi,trace,0.19683986541650422
26,280,260,0.26077668135602633,129,vi,trace,0.19683986541650422
27,290,270,0.2589610212886777,129,vi,trace,0.19683986541650422
28,300,280,0.25777151189328507,129,vi,trace,0.19683986541650422
29,310,290,0.25781464014263233,129,vi,trace,0.19683986541650422
30,320,300,0.2581736580197765,129,vi,trace,0.19683986541650422
31,330,310,0.2572095790948016,129,vi,trace,0.19683986541650422
32,340,320,0.2580444600439525,129,vi,trace,0.19683986541650422
33,350,330,0.25817464148868785,129,vi,trace,0.19683986541650422
34,360,340,0.25835191675430824,129,vi,trace,0.19683986541650422
35,370,350,0.2580964534759728,129,vi,trace,0.19683986541650422
36,380,360,0.25626613897348005,129,vi,trace,0.19683986541650422
37,390,370,0.25666726697711184,129,vi,trace,0.19683986541650422
38,400,380,0.25657432790945295,129,vi,trace,0.19683986541650422
39,410,390,0.25424812560764337,129,vi,trace,0.19683986541650422
40,420,400,0.25442692766968966,129,vi,trace,0.19683986541650422
41,430,410,0.2547075624766813,129,vi,trace,0.19683986541650422
42,440,420,0.254105883058003,129,vi,trace,0.19683986541650422
43,450,430,0.2542699702549192,129,vi,trace,0.19683986541650422
44,460,440,0.25443455614238997,129,vi,trace,0.19683986541650422
45,470,450,0.2545718295614226,129,vi,trace,0.19683986541650422
46,480,460,0.2547649709628219,129,vi,trace,0.19683986541650422
47,490,470,0.25429611415016745,129,vi,trace,0.19683986541650422
48,500,480,0.25338843352092355,129,vi,trace,0.19683986541650422
49,510,490,0.25301881453325265,129,vi,trace,0.19683986541650422
50,520,500,0.2536390805911522,129,vi,trace,0.19683986541650422
51,530,510,0.2536536916989382,129,vi,trace,0.19683986541650422
52,540,520,0.2536221487487587,129,vi,trace,0.19683986541650422
53,550,530,0.25312161456069393,129,vi,trace,0.19683986541650422
54,560,540,0.2534236663918743,129,vi,trace,0.19683986541650422
55,570,550,0.2519726082583184,129,vi,trace,0.19683986541650422
56,580,560,0.2519552349717852,129,vi,trace,0.19683986541650422
57,590,570,0.25147571290223536,129,vi,trace,0.19683986541650422
58,600,580,0.2520384569645325,129,vi,trace,0.19683986541650422
59,610,590,0.2518924854352547,129,vi,trace,0.19683986541650422
60,620,600,0.2518242427145369,129,vi,trace,0.19683986541650422
61,630,610,0.25114146637465606,129,vi,trace,0.19683986541650422
62,640,620,0.2509871720763334,129,vi,trace,0.19683986541650422
63,650,630,0.2509897789564846,129,vi,trace,0.19683986541650422
64,660,640,0.25023078215107253,129,vi,trace,0.19683986541650422
65,670,650,0.25046356435679923,129,vi,trace,0.19683986541650422
66,680,660,0.2505202594414771,129,vi,trace,0.19683986541650422
67,690,670,0.25071921935329367,129,vi,trace,0.19683986541650422
68,700,680,0.2504517597949254,129,vi,trace,0.19683986541650422
69,710,690,0.25011700387018876,129,vi,trace,0.19683986541650422
70,720,700,0.24998491165405864,129,vi,trace,0.19683986541650422
71,730,710,0.2501862489820084,129,vi,trace,0.19683986541650422
72,740,720,0.24994442741712605,129,vi,trace,0.19683986541650422
73,750,730,0.24983749601303346,129,vi,trace,0.19683986541650422
74,760,740,0.24968497730265032,129,vi,trace,0.19683986541650422
75,770,750,0.2494489238802204,129,vi,trace,0.19683986541650422
76,780,760,0.2495290877332741,129,vi,trace,0.19683986541650422
77,790,770,0.24973307038778925,129,vi,trace,0.19683986541650422
78,800,780,0.24936152845818058,129,vi,trace,0.19683986541650422
79,810,790,0.24950827618099666,129,vi,trace,0.19683986541650422
80,820,800,0.24957293601395364,129,vi,trace,0.19683986541650422
81,830,810,0.2494685268694981,129,vi,trace,0.19683986541650422
82,840,820,0.24952566329062228,129,vi,trace,0.19683986541650422
