step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.26522317032666093,129,mfvi,random,0.0,0.0,0,0.0,0.19033508307103095
1,30,10,40,0.26500307707529547,129,mfvi,random,0.0,0.0,0,0.0,0.19033508307103095
2,40,20,50,0.2629182308128328,129,mfvi,random,0.0,0.0,0,0.0,0.19033508307103095
3,50,30,60,0.25314013264951196,129,mfvi,random,0.0,0.0,0,0.0,0.19033508307103095
4,60,40,70,0.24699487793588454,129,mfvi,random,0.0,0.0,0,0.0,0.19033508307103095
5,70,50,80,0.24370038557558235,129,mfvi,random,0.0,0.0,0,0.0,0.19033508307103095
6,80,60,90,0.23932124478015945,129,mfvi,random,0.0,0.0,0,0.0,0.19033508307103095
7,90,70,100,0.23543142122826874,129,mfvi,random,0.0,0.0,0,0.0,0.19033508307103095
8,100,80,110,0.23220269339590466,129,mfvi,random,0.0,0.0,0,0.0,0.19033508307103095
9,110,90,120,0.22855500996067665,129,mfvi,random,0.0,0.0,0,0.0,0.19033508307103095
10,120,100,130,0.2274415919183978,129,mfvi,random,0.0,0.0,0,0.0,0.19033508307103095
11,130,110,140,0.22580795689797448,129,mfvi,random,0.0,0.0,0,0.0,0.19033508307103095
12,140,120,150,0.22583902807433992,129,mfvi,random,0.0,0.0,0,0.0,0.19033508307103095
13,150,130,160,0.22609238942230564,129,mfvi,random,0.0,0.0,0,0.0,0.19033508307103095
14,160,140,170,0.22442924570591286,129,mfvi,random,0.0,0.0,0,0.0,0.19033508307103095
15,170,150,180,0.22180592014402478,129,mfvi,random,0.0,0.0,0,0.0,0.19033508307103095
16,180,160,190,0.22187777286999705,129,mfvi,random,0.0,0.0,0,0.0,0.19033508307103095
17,190,170,200,0.22000492714653005,129,mfvi,random,0.0,0.0,0,0.0,0.19033508307103095
18,200,180,210,0.21820261871137112,129,mfvi,random,0.0,0.0,0,0.0,0.19033508307103095
19,210,190,220,0.21601696710704232,129,mfvi,random,0.0,0.0,0,0.0,0.19033508307103095
20,220,200,230,0.2149934592028325,129,mfvi,random,0.0,0.0,0,0.0,0.19033508307103095
21,230,210,240,0.21513678878942347,129,mfvi,random,0.0,0.0,0,0.0,0.19033508307103095
22,240,220,250,0.21356490981227463,129,mfvi,random,0.0,0.0,0,0.0,0.19033508307103095
23,250,230,260,0.21314456471782245,129,mfvi,random,0.0,0.0,0,0.0,0.19033508307103095
24,260,240,270,0.21137596789769528,129,mfvi,random,0.0,0.0,0,0.0,0.19033508307103095
25,270,250,280,0.2101660894536747,129,mfvi,random,0.0,0.0,0,0.0,0.19033508307103095
26,280,260,290,0.20974561415259677,129,mfvi,random,0.0,0.0,0,0.0,0.19033508307103095
27,290,270,300,0.20870998634094512,129,mfvi,random,0.0,0.0,0,0.0,0.19033508307103095
