step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.26522317032666093,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
1,30,10,40,0.2616636135951797,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
2,40,20,50,0.2584387564207669,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
3,50,30,60,0.25835363663494265,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
4,60,40,70,0.26069496587846686,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
5,70,50,80,0.2583458687314837,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
6,80,60,90,0.2512462297602692,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
7,90,70,100,0.2506360463588089,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
8,100,80,110,0.2502869154371888,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
9,110,90,120,0.24931258029893416,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
10,120,100,130,0.2494115633439787,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
11,130,110,140,0.2507374864462333,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
12,140,120,150,0.2503398081233786,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
13,150,130,160,0.2551812506888486,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
14,160,140,170,0.2536381661657754,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
15,170,150,180,0.25374288013410345,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
16,180,160,190,0.2559460468658385,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
17,190,170,200,0.2552341717362215,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
18,200,180,210,0.25287818792787864,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
19,210,190,220,0.2533423931442634,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
20,220,200,230,0.2537511737965462,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
21,230,210,240,0.2535198020649718,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
22,240,220,250,0.2539630513387971,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
23,250,230,260,0.25528659408043247,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
24,260,240,270,0.25543555785902244,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
25,270,250,280,0.2533303757879718,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
26,280,260,290,0.2516821532210816,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
27,290,270,300,0.2512801015861085,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
28,300,280,310,0.25056552247802866,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
29,310,290,320,0.24920899275570393,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
30,320,300,330,0.2452918781141153,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
31,330,310,340,0.24505623557410247,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
32,340,320,350,0.2410377345004823,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
33,350,330,360,0.2408982519102982,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
34,360,340,370,0.24025258315143563,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
35,370,350,380,0.2403250362464864,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
36,380,360,390,0.24048843527288377,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
37,390,370,400,0.24258837790329116,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
38,400,380,410,0.24210825316374493,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
39,410,390,420,0.24201295121271402,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
40,420,400,430,0.2420481857373651,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
41,430,410,440,0.24249855025339842,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
42,440,420,450,0.24265384536799536,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
43,450,430,460,0.24253025141528736,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
44,460,440,470,0.24176698371378688,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
45,470,450,480,0.24155319152505003,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
46,480,460,490,0.24155853813051195,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
47,490,470,500,0.2415002547553004,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
48,500,480,510,0.24105077995232665,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
49,510,490,520,0.2409012415973089,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
50,520,500,530,0.24122459791784295,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
51,530,510,540,0.24173578842664153,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
52,540,520,550,0.24207464104266993,129,mfvi,trace,0.0,0.0,0,0.0,0.1903350189365944
